"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","63,70","60,02","63,88","59,59","3,94M","7,17%"
"01/06/2020","59,44","59,18","59,69","57,66","2,30M","4,83%"
"29/05/2020","56,70","59,38","59,38","56,70","3,86M","-5,69%"
"28/05/2020","60,12","62,07","62,75","59,81","4,06M","-1,65%"
"27/05/2020","61,13","63,49","64,27","60,72","4,41M","-2,67%"
"26/05/2020","62,81","59,27","63,28","59,10","5,59M","7,11%"
"25/05/2020","58,64","54,97","58,88","54,51","3,48M","8,51%"
"22/05/2020","54,04","54,00","55,28","52,92","3,01M","-1,12%"
"21/05/2020","54,65","54,30","55,90","53,29","2,44M","-0,73%"
"20/05/2020","55,05","53,84","55,08","51,51","2,98M","1,51%"
"19/05/2020","54,23","56,34","57,19","52,98","4,18M","-2,01%"
"18/05/2020","55,34","50,02","55,34","49,81","3,79M","12,23%"
"15/05/2020","49,31","50,12","50,90","48,60","2,59M","-1,14%"
"14/05/2020","49,88","49,05","50,23","48,21","3,42M","0,56%"
"13/05/2020","49,60","51,00","51,52","49,12","3,58M","-3,16%"
"12/05/2020","51,22","54,30","54,37","51,22","3,64M","-6,02%"
"11/05/2020","54,50","56,53","56,68","53,41","2,05M","-2,80%"
"08/05/2020","56,07","56,78","57,74","55,41","1,29M","0,57%"
"07/05/2020","55,75","53,80","56,14","52,89","1,95M","3,82%"
"06/05/2020","53,70","55,90","56,40","53,36","2,37M","-4,85%"
"05/05/2020","56,44","56,27","57,90","55,68","2,53M","2,62%"
"04/05/2020","55,00","55,00","55,69","52,71","3,82M","-4,98%"
"30/04/2020","57,88","60,00","65,26","57,05","5,43M","-0,87%"
"29/04/2020","58,39","53,20","58,46","51,60","4,84M","10,42%"
"28/04/2020","52,88","51,07","54,10","51,07","3,71M","3,54%"
"27/04/2020","51,07","52,99","53,23","50,15","3,88M","-2,43%"
"24/04/2020","52,34","53,54","53,67","52,02","2,08M","-3,52%"
"23/04/2020","54,25","53,86","54,92","52,55","1,81M","1,35%"
"22/04/2020","53,53","52,50","53,79","51,70","2,01M","3,02%"
"21/04/2020","51,96","55,40","55,40","51,87","3,28M","-6,58%"
"20/04/2020","55,62","57,55","57,98","54,81","2,36M","-2,08%"
"17/04/2020","56,80","58,50","58,70","55,11","4,63M","6,77%"
"16/04/2020","53,20","56,49","57,00","52,62","3,22M","-2,92%"
"15/04/2020","54,80","61,00","61,20","54,53","3,15M","-8,67%"
"14/04/2020","60,00","61,66","62,03","59,21","3,25M","-1,64%"
"09/04/2020","61,00","62,50","63,20","57,15","5,87M","1,99%"
"08/04/2020","59,81","56,90","59,81","54,63","3,69M","4,86%"
"07/04/2020","57,04","57,34","59,74","56,34","4,73M","6,56%"
"06/04/2020","53,53","53,55","54,89","50,91","4,54M","8,13%"
"03/04/2020","49,51","50,56","51,90","49,51","3,61M","-1,52%"
"02/04/2020","50,27","54,71","54,97","50,00","4,73M","-3,70%"
"01/04/2020","52,20","58,00","58,80","52,10","5,47M","-12,03%"
"31/03/2020","59,34","63,00","64,64","59,34","4,39M","-2,61%"
"30/03/2020","60,93","67,31","67,40","60,37","3,94M","-10,62%"
"27/03/2020","68,17","72,28","74,74","65,04","4,58M","-5,70%"
"26/03/2020","72,29","60,00","75,19","59,00","6,00M","20,46%"
"25/03/2020","60,01","60,37","61,40","52,85","6,86M","7,20%"
"24/03/2020","55,98","60,00","60,37","54,42","5,92M","1,78%"
"23/03/2020","55,00","60,45","64,94","54,56","5,71M","-13,77%"
"20/03/2020","63,78","63,65","68,08","59,56","6,51M","18,70%"
"19/03/2020","53,73","51,34","54,79","49,59","5,95M","9,52%"
"18/03/2020","49,06","56,75","57,98","48,12","7,22M","-22,18%"
"17/03/2020","63,04","71,35","72,33","60,02","4,56M","-8,64%"
"16/03/2020","69,00","66,57","70,52","56,40","5,59M","-7,17%"
"13/03/2020","74,33","75,00","80,54","69,17","5,48M","4,16%"
"12/03/2020","71,36","77,00","80,75","70,84","6,95M","-16,73%"
"11/03/2020","85,70","91,48","92,94","85,65","4,04M","-4,37%"
"10/03/2020","89,62","91,42","96,41","88,94","4,34M","-0,41%"
"09/03/2020","89,99","89,30","95,46","87,01","6,10M","-9,56%"
"06/03/2020","99,50","103,90","104,98","99,50","4,27M","-7,63%"
"05/03/2020","107,72","110,88","111,50","105,80","2,69M","-2,92%"
"04/03/2020","110,96","112,12","112,50","109,94","2,05M","-1,03%"
"03/03/2020","112,12","109,58","114,46","108,64","4,12M","4,18%"
"02/03/2020","107,62","110,00","111,92","103,36","4,35M","-0,44%"
"28/02/2020","108,10","108,06","112,12","105,64","5,70M","-6,00%"
"27/02/2020","115,00","117,56","117,84","113,06","3,60M","-4,61%"
"26/02/2020","120,56","122,40","122,52","117,70","2,64M","-2,41%"
"25/02/2020","123,54","125,56","126,32","123,52","2,17M","-0,68%"
"24/02/2020","124,38","126,76","127,36","124,04","2,63M","-4,94%"
"21/02/2020","130,84","131,24","132,20","129,60","1,24M","-0,71%"
"20/02/2020","131,78","131,30","133,68","131,26","1,10M","-0,02%"
"19/02/2020","131,80","130,76","131,92","130,18","1,22M","1,18%"
"18/02/2020","130,26","130,50","132,06","130,06","1,23M","-0,55%"
