"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","123,30","123,10","123,50","121,85","1,01M","0,78%"
"01/06/2020","122,35","123,60","123,70","121,45","732,22K","0,20%"
"29/05/2020","122,10","119,80","122,75","119,35","1,73M","1,37%"
"28/05/2020","120,45","116,55","120,45","115,90","1,25M","3,70%"
"27/05/2020","116,15","117,05","117,55","115,40","1,44M","-0,56%"
"26/05/2020","116,80","119,90","119,90","116,40","1,11M","-1,89%"
"25/05/2020","119,05","118,50","119,10","117,05","502,03K","1,45%"
"22/05/2020","117,35","114,90","118,25","114,75","749,34K","1,12%"
"21/05/2020","116,05","115,05","117,20","115,00","563,51K","-0,30%"
"20/05/2020","116,40","115,20","117,40","114,90","964,00K","0,52%"
"19/05/2020","115,80","118,80","118,85","115,45","1,38M","-1,28%"
"18/05/2020","117,30","114,55","117,50","113,65","917,12K","4,50%"
"15/05/2020","112,25","112,75","114,15","112,05","929,02K","0,13%"
"14/05/2020","112,10","114,00","115,10","110,55","1,25M","-2,27%"
"13/05/2020","114,70","116,00","116,85","114,50","870,84K","-1,42%"
"12/05/2020","116,35","116,25","117,75","115,70","725,72K","-0,43%"
"11/05/2020","116,85","117,35","118,75","115,60","626,27K","-2,54%"
"08/05/2020","119,90","120,05","120,40","118,95","510,08K","-0,04%"
"07/05/2020","119,95","117,50","119,95","116,75","852,45K","3,09%"
"06/05/2020","116,35","116,65","116,90","115,25","915,01K","-0,26%"
"05/05/2020","116,65","114,60","116,65","113,25","954,02K","3,32%"
"04/05/2020","112,90","115,00","115,20","112,15","1,35M","-2,76%"
"30/04/2020","116,10","120,20","120,55","115,35","1,42M","-3,37%"
"29/04/2020","120,15","118,15","120,75","117,50","750,47K","0,46%"
"28/04/2020","119,60","117,80","120,00","117,30","777,94K","1,61%"
"27/04/2020","117,70","117,85","118,55","116,60","679,05K","2,08%"
"24/04/2020","115,30","115,50","117,70","115,10","943,41K","-1,96%"
"23/04/2020","117,60","116,45","118,90","115,60","791,75K","0,13%"
"22/04/2020","117,45","116,05","117,65","115,35","844,82K","1,47%"
"21/04/2020","115,75","119,50","120,65","115,55","1,13M","-4,77%"
"20/04/2020","121,55","122,00","122,30","119,10","1,21M","0,62%"
"17/04/2020","120,80","122,60","122,60","120,00","2,12M","0,79%"
"16/04/2020","119,85","121,30","121,90","119,75","1,34M","-0,54%"
"15/04/2020","120,50","123,70","124,70","119,65","996,18K","-3,37%"
"14/04/2020","124,70","120,15","124,95","119,55","1,21M","5,28%"
"09/04/2020","118,45","118,70","120,30","116,45","1,22M","0,25%"
"08/04/2020","118,15","120,00","120,80","116,00","1,12M","-1,58%"
"07/04/2020","120,05","119,30","120,35","118,45","1,47M","3,05%"
"06/04/2020","116,50","118,65","119,20","116,10","1,33M","1,13%"
"03/04/2020","115,20","113,75","115,50","112,90","1,06M","1,68%"
"02/04/2020","113,30","114,00","114,45","109,15","1,31M","-0,61%"
"01/04/2020","114,00","114,65","114,85","112,00","1,57M","-2,27%"
"31/03/2020","116,65","114,80","116,65","112,70","1,58M","3,60%"
"30/03/2020","112,60","109,60","112,60","106,30","1,17M","5,33%"
"27/03/2020","106,90","108,80","109,60","105,40","1,32M","-2,73%"
"26/03/2020","109,90","106,90","109,90","105,70","1,43M","1,48%"
"25/03/2020","108,30","111,85","111,85","105,60","1,84M","-0,46%"
"24/03/2020","108,80","108,85","110,65","102,65","2,43M","4,11%"
"23/03/2020","104,50","101,70","110,00","100,20","1,92M","-0,57%"
"20/03/2020","105,10","109,20","112,00","101,05","2,42M","0,10%"
"19/03/2020","105,00","99,52","106,90","98,50","2,14M","5,21%"
"18/03/2020","99,80","103,65","104,20","97,88","2,28M","-5,63%"
"17/03/2020","105,75","102,50","106,70","98,00","2,27M","6,58%"
"16/03/2020","99,22","100,65","102,60","94,86","3,70M","-5,82%"
"13/03/2020","105,35","103,50","111,75","102,45","4,47M","5,03%"
"12/03/2020","100,30","107,60","108,50","98,76","3,82M","-11,16%"
"11/03/2020","112,90","113,80","116,00","112,65","2,13M","0,71%"
"10/03/2020","112,10","115,30","119,10","111,35","2,92M","-1,62%"
"09/03/2020","113,95","118,05","118,05","112,70","3,66M","-7,58%"
"06/03/2020","123,30","125,15","126,10","122,65","1,99M","-3,29%"
"05/03/2020","127,50","129,95","130,10","126,40","1,31M","-1,01%"
"04/03/2020","128,80","127,05","129,45","126,10","1,40M","1,54%"
"03/03/2020","126,85","126,85","129,55","126,25","1,56M","1,44%"
"02/03/2020","125,05","124,10","126,60","121,55","2,24M","1,75%"
"28/02/2020","122,90","123,85","124,85","121,60","3,43M","-3,83%"
"27/02/2020","127,80","129,25","130,50","125,75","2,20M","-2,92%"
"26/02/2020","131,65","130,50","132,25","127,50","1,77M","0,38%"
"25/02/2020","131,15","134,50","135,30","130,90","1,64M","-1,94%"
"24/02/2020","133,75","137,05","137,55","133,65","1,96M","-3,95%"
"21/02/2020","139,25","138,05","139,70","137,75","889,95K","0,54%"
"20/02/2020","138,50","140,50","140,70","138,50","839,33K","-1,28%"
"19/02/2020","140,30","140,00","140,65","139,80","705,35K","0,39%"
"18/02/2020","139,75","138,95","140,25","138,80","709,61K","-0,04%"
"17/02/2020","139,80","139,05","140,00","138,75","660,56K","0,72%"
"14/02/2020","138,80","140,00","140,00","138,45","739,28K","-0,86%"
"13/02/2020","140,00","138,40","140,00","137,65","1,21M","0,86%"
"12/02/2020","138,80","138,00","139,05","137,90","1,06M","0,65%"
"11/02/2020","137,90","135,15","138,65","135,05","1,23M","2,41%"
"10/02/2020","134,65","134,00","135,00","133,55","821,03K","-0,19%"
"07/02/2020","134,90","134,90","135,50","134,25","759,21K","-0,26%"
"06/02/2020","135,25","135,70","135,95","133,65","844,40K","0,22%"
"05/02/2020","134,95","133,05","135,30","133,05","1,08M","1,47%"
"04/02/2020","133,00","132,60","133,30","132,30","884,17K","0,83%"
"03/02/2020","131,90","131,30","132,40","131,30","957,41K","0,88%"
"31/01/2020","130,75","131,25","132,30","130,75","1,72M","-0,11%"
"30/01/2020","130,90","129,85","130,90","129,40","1,20M","-0,11%"
"29/01/2020","131,05","129,25","131,25","129,25","833,29K","1,28%"
"28/01/2020","129,40","127,50","129,70","127,30","802,14K","1,41%"
"27/01/2020","127,60","129,35","129,60","126,90","1,15M","-2,30%"
"24/01/2020","130,60","129,00","130,70","128,90","911,90K","1,59%"
"23/01/2020","128,55","129,25","129,55","128,15","825,28K","-0,77%"
"22/01/2020","129,55","129,85","130,20","129,25","982,98K","-0,12%"
"21/01/2020","129,70","128,50","129,70","127,75","789,45K","0,66%"
"20/01/2020","128,85","129,40","129,45","128,65","416,86K","-0,43%"
"17/01/2020","129,40","127,70","129,85","127,65","909,99K","1,61%"
"16/01/2020","127,35","126,55","127,80","126,45","832,63K","0,43%"
"15/01/2020","126,80","126,50","127,60","126,50","828,42K","-0,16%"
"14/01/2020","127,00","126,50","127,55","125,30","1,09M","0,59%"
"13/01/2020","126,25","126,20","126,75","125,85","848,11K","0,36%"
"10/01/2020","125,80","125,50","126,15","125,20","599,52K","0,24%"
