"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"11/06/2020","38,57","39,02","39,24","38,31","1,06M","-3,05%"
"10/06/2020","39,79","39,29","40,24","39,07","569,24K","0,56%"
"09/06/2020","39,57","39,64","39,91","38,94","723,19K","-0,16%"
"08/06/2020","39,63","40,60","40,71","39,38","805,38K","-2,86%"
"05/06/2020","40,80","40,18","41,11","40,06","994,84K","2,33%"
"04/06/2020","39,87","38,24","39,93","38,23","977,55K","3,22%"
"03/06/2020","38,63","37,57","38,63","37,37","1,08M","3,63%"
"02/06/2020","37,28","36,53","37,37","36,32","794,21K","2,45%"
"01/06/2020","36,39","35,70","36,39","34,92","886,08K","3,70%"
"29/05/2020","35,09","36,14","36,24","35,09","1,42M","-3,62%"
"28/05/2020","36,40","36,60","37,03","36,23","798,07K","-0,53%"
"27/05/2020","36,60","36,90","37,14","36,11","805,64K","-0,13%"
"26/05/2020","36,65","37,09","37,37","35,85","1,10M","-0,95%"
"25/05/2020","37,00","36,63","37,00","36,15","477,09K","1,63%"
"22/05/2020","36,40","35,14","36,58","35,04","1,06M","2,91%"
"21/05/2020","35,37","35,48","35,75","35,07","443,94K","-0,91%"
"20/05/2020","35,70","35,26","35,85","35,07","801,22K","0,55%"
"19/05/2020","35,50","37,93","37,93","34,78","1,84M","-6,04%"
"18/05/2020","37,79","36,55","37,79","35,42","640,03K","6,40%"
"15/05/2020","35,51","35,68","36,13","34,84","501,80K","0,26%"
"14/05/2020","35,42","36,46","36,72","35,42","568,50K","-2,95%"
"13/05/2020","36,50","35,42","36,91","34,96","687,99K","1,71%"
"12/05/2020","35,88","35,16","36,28","33,95","752,58K","6,85%"
"11/05/2020","33,59","34,21","34,21","33,11","355,46K","-0,28%"
"08/05/2020","33,68","33,03","34,23","33,03","526,21K","3,09%"
"07/05/2020","32,67","33,38","33,64","32,06","951,60K","-1,18%"
"06/05/2020","33,06","34,88","35,09","33,06","638,12K","-5,51%"
"05/05/2020","34,99","35,01","35,24","34,41","462,76K","2,36%"
"04/05/2020","34,18","34,11","34,50","33,71","746,28K","-1,34%"
"30/04/2020","34,64","36,07","36,63","34,64","626,06K","-3,39%"
"29/04/2020","35,86","35,37","35,94","35,00","553,95K","1,36%"
"28/04/2020","35,37","35,46","35,88","34,80","498,44K","-0,16%"
"27/04/2020","35,43","35,57","36,50","35,35","424,86K","-1,01%"
"24/04/2020","35,79","35,70","36,52","35,44","339,55K","-1,51%"
"23/04/2020","36,34","36,90","37,37","35,76","349,07K","0,15%"
"22/04/2020","36,28","36,96","37,13","36,28","358,28K","-1,44%"
"21/04/2020","36,81","36,71","37,19","36,19","471,24K","-1,19%"
"20/04/2020","37,26","37,15","37,67","36,28","340,31K","0,73%"
"17/04/2020","36,99","35,55","37,50","35,24","1,05M","6,46%"
"16/04/2020","34,74","33,99","35,01","33,99","685,01K","2,83%"
"15/04/2020","33,79","35,66","36,59","33,79","697,80K","-5,84%"
"14/04/2020","35,88","36,81","36,91","35,87","533,35K","-0,72%"
"09/04/2020","36,14","37,33","37,41","35,42","496,86K","-0,43%"
"08/04/2020","36,30","36,14","37,50","35,47","506,25K","-1,34%"
"07/04/2020","36,79","35,74","36,79","35,18","664,96K","6,04%"
"06/04/2020","34,70","34,26","36,34","34,26","669,87K","3,83%"
"03/04/2020","33,42","34,36","34,91","33,42","775,80K","-2,83%"
"02/04/2020","34,39","34,50","35,67","33,95","550,15K","-0,32%"
"01/04/2020","34,50","34,53","36,00","34,31","916,16K","-2,44%"
