"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"03/06/2020","68,92","68,12","68,92","67,70","352,62K","2,59%"
"02/06/2020","67,18","68,24","68,40","66,96","356,33K","0,24%"
"01/06/2020","67,02","68,60","69,24","66,94","316,67K","-1,18%"
"29/05/2020","67,82","66,74","68,52","66,58","596,12K","0,80%"
"28/05/2020","67,28","66,66","68,10","66,24","366,86K","1,66%"
"27/05/2020","66,18","67,10","68,24","65,26","434,33K","-1,22%"
"26/05/2020","67,00","68,00","68,80","66,84","533,52K","-0,56%"
"25/05/2020","67,38","65,80","67,38","65,32","291,85K","3,85%"
"22/05/2020","64,88","62,54","66,12","62,32","519,82K","2,46%"
"21/05/2020","63,32","63,60","64,96","62,92","301,08K","-1,19%"
"20/05/2020","64,08","63,32","64,16","61,02","496,64K","1,30%"
"19/05/2020","63,26","65,76","65,76","62,76","537,25K","-2,89%"
"18/05/2020","65,14","64,22","65,14","63,38","259,80K","3,66%"
"15/05/2020","62,84","61,62","64,58","61,62","241,54K","1,95%"
"14/05/2020","61,64","61,78","62,00","60,62","250,52K","-2,22%"
"13/05/2020","63,04","64,50","64,50","62,16","222,99K","-2,26%"
"12/05/2020","64,50","63,00","64,50","62,54","313,71K","2,35%"
"11/05/2020","63,02","66,70","67,22","63,02","273,96K","-4,72%"
"08/05/2020","66,14","65,08","66,74","65,08","153,25K","2,64%"
"07/05/2020","64,44","64,00","64,88","63,30","212,63K","0,81%"
"06/05/2020","63,92","62,82","64,02","62,60","279,00K","1,27%"
"05/05/2020","63,12","63,46","63,68","62,54","255,83K","1,71%"
"04/05/2020","62,06","63,10","63,46","61,62","355,11K","-4,61%"
"30/04/2020","65,06","69,00","69,50","65,06","413,30K","-4,27%"
"29/04/2020","67,96","64,48","69,10","64,48","587,70K","6,22%"
"28/04/2020","63,98","64,20","64,36","62,86","403,30K","0,82%"
"27/04/2020","63,46","62,80","63,46","61,86","240,00K","4,20%"
"24/04/2020","60,90","60,66","62,90","59,86","293,49K","-1,52%"
"23/04/2020","61,84","62,02","63,40","60,48","276,72K","0,00%"
"22/04/2020","61,84","64,96","65,10","61,74","420,21K","-2,09%"
"21/04/2020","63,16","64,56","65,72","63,16","406,10K","-3,34%"
"20/04/2020","65,34","64,50","65,34","63,34","226,31K","1,59%"
"17/04/2020","64,32","61,90","64,46","61,90","568,28K","6,60%"
"16/04/2020","60,34","59,60","60,58","59,28","433,63K","3,15%"
"15/04/2020","58,50","61,60","61,60","58,30","518,65K","-4,38%"
"14/04/2020","61,18","63,32","63,48","61,18","320,39K","-1,13%"
"09/04/2020","61,88","61,66","63,14","60,66","344,90K","2,38%"
"08/04/2020","60,44","60,00","61,22","59,56","373,61K","-1,24%"
"07/04/2020","61,20","63,16","63,86","59,96","376,63K","-0,55%"
"06/04/2020","61,54","61,66","61,98","60,18","437,73K","2,88%"
"03/04/2020","59,82","60,12","60,62","59,44","231,43K","0,34%"
"02/04/2020","59,62","60,26","61,06","58,96","343,18K","-1,26%"
"01/04/2020","60,38","60,50","62,12","59,42","381,58K","-2,20%"
"31/03/2020","61,74","61,00","62,80","59,80","526,29K","2,87%"
"30/03/2020","60,02","62,50","63,78","59,98","559,61K","-2,72%"
"27/03/2020","61,70","62,44","63,90","60,18","471,90K","-5,08%"
"26/03/2020","65,00","61,30","65,00","59,80","540,70K","3,73%"
"25/03/2020","62,66","59,40","63,56","58,02","868,28K","10,39%"
"24/03/2020","56,76","52,98","58,88","51,18","792,13K","14,18%"
"23/03/2020","49,71","45,00","52,66","45,00","680,01K","4,35%"
"20/03/2020","47,64","51,20","53,00","46,50","847,34K","5,51%"
"19/03/2020","45,15","46,43","48,35","43,26","756,44K","-2,29%"
"18/03/2020","46,21","46,34","50,00","46,00","556,32K","0,57%"
"17/03/2020","45,95","49,51","49,80","45,21","814,38K","-3,53%"
"16/03/2020","47,63","47,50","48,64","43,60","974,92K","-5,68%"
"13/03/2020","50,50","52,54","54,58","49,71","1,16M","-1,44%"
"12/03/2020","51,24","55,00","55,48","50,76","1,37M","-12,62%"
"11/03/2020","58,64","59,88","60,40","58,32","904,22K","-0,71%"
"10/03/2020","59,06","59,06","62,00","58,54","1,18M","0,89%"
"09/03/2020","58,54","55,88","62,10","55,88","1,24M","-7,43%"
"06/03/2020","63,24","64,74","64,98","62,82","721,45K","-3,95%"
"05/03/2020","65,84","67,82","68,30","65,50","453,05K","-1,94%"
"04/03/2020","67,14","67,34","68,34","66,60","498,25K","-0,15%"
"03/03/2020","67,24","67,72","69,04","67,14","1,19M","1,17%"
"02/03/2020","66,46","68,76","69,16","65,20","913,64K","-1,25%"
"28/02/2020","67,30","65,38","67,58","65,00","1,23M","-3,11%"
"27/02/2020","69,46","70,00","70,30","68,36","1,12M","-2,96%"
"26/02/2020","71,58","70,52","71,84","69,20","691,59K","0,48%"
"25/02/2020","71,24","72,84","73,14","70,66","759,08K","-1,82%"
"24/02/2020","72,56","73,00","73,00","71,34","1,08M","-3,46%"
"21/02/2020","75,16","74,40","76,62","73,70","625,34K","0,59%"
"20/02/2020","74,72","78,02","78,12","74,72","914,88K","-4,33%"
"19/02/2020","78,10","80,70","81,06","77,30","799,53K","-3,65%"
"18/02/2020","81,06","80,08","81,06","79,96","432,39K","0,17%"
"17/02/2020","80,92","81,06","81,32","80,20","236,34K","0,10%"
"14/02/2020","80,84","80,80","81,54","80,58","232,07K","-0,12%"
"13/02/2020","80,94","79,80","81,06","79,52","331,03K","0,70%"
"12/02/2020","80,38","80,28","80,98","79,92","345,28K","0,17%"
"11/02/2020","80,24","81,28","81,60","80,24","346,06K","-0,57%"
"10/02/2020","80,70","80,98","81,00","80,10","260,88K","-0,42%"
"07/02/2020","81,04","81,16","82,46","80,80","469,18K","0,02%"
"06/02/2020","81,02","79,70","81,46","79,48","566,77K","2,51%"
"05/02/2020","79,04","78,62","79,68","77,74","495,04K","0,15%"
"04/02/2020","78,92","76,24","79,18","75,86","698,97K","4,31%"
"03/02/2020","75,66","75,20","76,00","74,46","346,02K","0,69%"
"31/01/2020","75,14","76,14","76,62","75,14","383,17K","-1,03%"
"30/01/2020","75,92","76,78","77,00","75,56","341,69K","-2,37%"
"29/01/2020","77,76","77,64","78,34","77,34","383,25K","0,60%"
"28/01/2020","77,30","77,64","77,74","76,38","431,62K","0,16%"
"27/01/2020","77,18","76,96","77,34","75,92","405,01K","-1,28%"
"24/01/2020","78,18","78,42","79,06","77,92","374,61K","0,75%"
"23/01/2020","77,60","77,50","77,92","76,62","356,38K","-0,33%"
"22/01/2020","77,86","78,00","78,30","77,50","296,39K","-0,05%"
"21/01/2020","77,90","77,94","78,04","76,96","200,05K","-0,43%"
"20/01/2020","78,24","78,28","78,66","77,78","152,23K","0,10%"
"17/01/2020","78,16","77,80","78,46","77,72","358,39K","1,19%"
"16/01/2020","77,24","77,96","77,96","76,92","324,43K","-0,54%"
"15/01/2020","77,66","77,60","78,34","77,24","387,36K","-0,05%"
"14/01/2020","77,70","78,28","78,46","76,68","403,18K","-0,66%"
"13/01/2020","78,22","79,00","79,20","77,88","393,96K","-1,26%"
"10/01/2020","79,22","78,10","79,38","78,02","431,78K","2,22%"
"09/01/2020","77,50","77,82","78,32","77,32","375,51K","0,62%"
"08/01/2020","77,02","76,34","77,38","75,88","399,07K","0,03%"
"07/01/2020","77,00","74,50","77,52","74,50","665,10K","3,83%"
"06/01/2020","74,16","74,50","74,72","72,60","502,28K","-1,23%"
"03/01/2020","75,08","74,70","75,40","73,42","453,20K","-0,48%"
"02/01/2020","75,44","72,40","75,68","71,94","636,32K","1,51%"
"31/12/2019","74,32","74,78","75,00","74,24","96,56K","-0,62%"
"30/12/2019","74,78","74,94","75,24","74,56","230,59K","0,00%"
"27/12/2019","74,78","76,12","76,12","74,62","238,98K","-1,42%"
"24/12/2019","75,86","75,02","75,86","74,96","62,44K","1,01%"
"23/12/2019","75,10","75,00","76,10","75,00","241,75K","0,05%"
"20/12/2019","75,06","75,94","76,22","75,06","925,59K","-1,00%"
"19/12/2019","75,82","75,88","76,24","75,38","374,77K","0,00%"
"18/12/2019","75,82","74,84","76,40","74,54","473,24K","1,47%"
"17/12/2019","74,72","75,28","75,38","74,02","404,85K","-0,74%"
"16/12/2019","75,28","75,28","75,96","74,98","423,47K","0,37%"
"13/12/2019","75,00","76,24","76,72","75,00","552,34K","0,32%"
"12/12/2019","74,76","75,46","75,62","73,88","436,30K","-0,66%"
"11/12/2019","75,26","76,06","76,08","75,22","262,01K","-1,23%"
"10/12/2019","76,20","75,84","76,58","74,42","358,94K","-0,24%"
"09/12/2019","76,38","75,76","76,86","75,54","325,14K","1,01%"
"06/12/2019","75,62","75,90","76,32","75,08","544,81K","-0,26%"
"05/12/2019","75,82","76,00","76,54","75,54","412,12K","-0,16%"
"04/12/2019","75,94","75,42","76,24","74,98","362,74K","0,96%"
"03/12/2019","75,22","75,90","76,30","74,48","441,69K","-0,34%"
"02/12/2019","75,48","77,10","77,78","75,20","473,22K","-2,08%"
"29/11/2019","77,08","77,00","77,72","76,90","296,80K","-0,70%"
"28/11/2019","77,62","76,96","77,76","76,78","440,99K","0,41%"
"27/11/2019","77,30","77,50","77,50","76,22","596,99K","-0,26%"
"26/11/2019","77,50","76,34","77,50","75,40","891,88K","1,87%"
"25/11/2019","76,08","74,62","76,82","74,56","655,09K","2,40%"
"22/11/2019","74,30","73,20","74,74","72,92","539,59K","1,67%"
"21/11/2019","73,08","71,90","73,58","71,16","494,93K","0,94%"
"20/11/2019","72,40","72,00","72,74","71,44","443,20K","-0,14%"
"19/11/2019","72,50","72,60","73,38","72,20","363,37K","-0,17%"
"18/11/2019","72,62","73,28","73,50","71,96","374,61K","-0,52%"
"15/11/2019","73,00","73,30","73,76","72,88","361,94K","-0,08%"
"14/11/2019","73,06","72,64","73,06","72,28","311,38K","0,72%"
"13/11/2019","72,54","73,16","73,32","72,24","404,79K","-1,44%"
"12/11/2019","73,60","72,92","73,74","72,56","398,56K","1,10%"
"11/11/2019","72,80","72,68","73,48","72,18","431,86K","0,28%"
"08/11/2019","72,60","70,74","72,60","70,64","581,71K","2,22%"
"07/11/2019","71,02","69,60","71,20","69,58","787,53K","2,45%"
"06/11/2019","69,32","68,80","69,42","68,18","491,19K","0,93%"
"05/11/2019","68,68","69,00","69,50","68,40","440,17K","0,09%"
"04/11/2019","68,62","69,14","69,44","68,22","457,78K","0,23%"
"01/11/2019","68,46","69,44","69,50","68,24","336,46K","-1,38%"
"31/10/2019","69,42","69,40","69,80","68,14","565,34K","0,49%"
"30/10/2019","69,08","68,80","69,16","67,52","694,80K","-0,12%"
"29/10/2019","69,16","67,38","69,54","67,06","650,90K","2,61%"
"28/10/2019","67,40","67,44","68,20","67,22","609,34K","-0,21%"
"25/10/2019","67,54","69,76","70,08","67,26","778,51K","-3,35%"
"24/10/2019","69,88","65,10","70,14","62,66","1,42M","9,87%"
"23/10/2019","63,60","64,60","64,74","63,50","645,64K","-2,36%"
"22/10/2019","65,14","67,40","67,70","64,96","590,54K","-3,50%"
"21/10/2019","67,50","65,52","67,66","65,42","574,01K","3,24%"
"18/10/2019","65,38","66,00","66,84","65,22","513,74K","-0,97%"
"17/10/2019","66,02","66,70","67,12","65,98","435,47K","-1,23%"
"16/10/2019","66,84","64,04","67,10","63,96","590,11K","3,89%"
"15/10/2019","64,34","65,60","65,94","63,92","640,79K","-1,59%"
"14/10/2019","65,38","66,22","66,30","64,50","480,78K","-2,16%"
"11/10/2019","66,82","66,38","67,18","65,80","755,44K","2,08%"
"10/10/2019","65,46","63,92","65,84","63,78","539,25K","2,63%"
"09/10/2019","63,78","62,96","63,98","62,60","361,15K","1,21%"
"08/10/2019","63,02","63,90","64,32","62,62","510,40K","-1,38%"
"07/10/2019","63,90","63,26","64,00","63,00","305,15K","1,01%"
"04/10/2019","63,26","62,94","63,46","62,34","375,41K","1,05%"
"03/10/2019","62,60","62,14","63,16","61,44","406,28K","0,55%"
"02/10/2019","62,26","64,60","64,62","62,02","510,26K","-3,56%"
