"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","17,26","16,75","17,53","16,65","12,17M","4,58%"
"01/06/2020","16,50","16,77","16,88","16,50","4,97M","0,73%"
"29/05/2020","16,38","16,74","16,94","16,38","12,38M","-3,27%"
"28/05/2020","16,93","17,06","17,35","16,83","9,21M","0,74%"
"27/05/2020","16,81","15,93","16,96","15,91","17,38M","6,22%"
"26/05/2020","15,83","15,33","16,07","15,16","12,93M","4,17%"
"25/05/2020","15,19","15,34","15,44","15,04","6,43M","-0,90%"
"22/05/2020","15,33","15,20","15,62","15,00","6,43M","-0,76%"
"21/05/2020","15,45","15,43","15,61","15,26","4,86M","-0,85%"
"20/05/2020","15,58","15,69","15,72","15,26","6,27M","-0,75%"
"19/05/2020","15,70","15,84","15,91","15,38","7,59M","1,15%"
"18/05/2020","15,52","15,38","15,71","15,20","7,20M","2,65%"
"15/05/2020","15,12","15,28","15,38","14,80","7,02M","-0,33%"
"14/05/2020","15,17","15,32","15,37","14,67","9,68M","-2,32%"
"13/05/2020","15,53","15,68","15,82","15,52","6,86M","-2,29%"
"12/05/2020","15,89","16,01","16,02","15,80","5,42M","-1,37%"
"11/05/2020","16,11","16,45","16,48","15,84","4,95M","-0,69%"
"08/05/2020","16,23","16,49","16,49","16,17","3,39M","-0,42%"
"07/05/2020","16,29","15,99","16,35","15,92","6,05M","2,13%"
"06/05/2020","15,95","15,93","16,50","15,77","8,85M","0,72%"
"05/05/2020","15,84","15,74","15,97","15,57","6,49M","2,74%"
"04/05/2020","15,42","15,54","15,91","15,40","9,57M","-4,80%"
"30/04/2020","16,20","16,83","17,00","16,04","13,25M","-2,37%"
"29/04/2020","16,59","15,97","16,97","15,91","10,78M","3,82%"
"28/04/2020","15,98","15,20","16,14","15,18","8,48M","5,33%"
"27/04/2020","15,17","14,94","15,28","14,80","7,00M","4,20%"
"24/04/2020","14,56","14,59","14,77","14,36","7,22M","-1,36%"
"23/04/2020","14,76","14,84","15,02","14,57","6,00M","0,18%"
"22/04/2020","14,73","14,86","14,89","14,53","5,61M","0,35%"
"21/04/2020","14,68","14,70","14,96","14,44","8,16M","-1,53%"
"20/04/2020","14,91","15,42","15,42","14,78","6,42M","-0,09%"
"17/04/2020","14,92","15,25","15,29","14,70","12,64M","1,44%"
"16/04/2020","14,71","15,00","15,23","14,44","7,33M","-1,41%"
"15/04/2020","14,92","15,40","15,49","14,85","9,10M","-3,69%"
"14/04/2020","15,49","15,92","15,92","15,49","8,23M","-0,23%"
"09/04/2020","15,53","15,69","15,84","15,15","10,56M","1,45%"
"08/04/2020","15,31","15,08","15,31","14,78","7,21M","-0,42%"
"07/04/2020","15,37","15,45","15,81","15,05","11,12M","4,10%"
"06/04/2020","14,77","14,56","14,87","14,48","10,63M","5,74%"
"03/04/2020","13,96","14,20","14,30","13,79","13,09M","-4,58%"
"02/04/2020","14,63","14,61","14,94","14,29","10,99M","-0,68%"
"01/04/2020","14,73","15,13","15,31","14,44","14,02M","-6,68%"
"31/03/2020","15,79","15,59","16,22","15,33","11,96M","2,88%"
"30/03/2020","15,35","15,51","15,70","14,78","8,78M","-0,93%"
"27/03/2020","15,49","15,73","15,96","15,18","15,23M","-5,29%"
"26/03/2020","16,36","16,10","16,36","15,40","12,37M","-0,56%"
"25/03/2020","16,45","17,15","17,26","15,54","13,72M","4,04%"
"24/03/2020","15,81","14,19","16,15","14,10","20,12M","17,56%"
"23/03/2020","13,45","13,11","14,08","12,95","18,61M","-1,98%"
"20/03/2020","13,72","12,94","14,30","12,74","22,54M","9,81%"
"19/03/2020","12,49","12,35","12,98","11,84","17,20M","-1,62%"
