"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"20/05/2020","28,82","28,02","28,93","27,16","5,23M","1,66%"
"19/05/2020","28,35","29,33","29,50","27,75","7,79M","-0,93%"
"18/05/2020","28,61","27,40","28,78","27,20","5,40M","7,82%"
"15/05/2020","26,54","26,61","27,17","25,91","5,43M","1,18%"
"14/05/2020","26,23","26,28","26,41","24,93","6,82M","-1,02%"
"13/05/2020","26,50","27,32","27,41","26,50","5,92M","-4,74%"
"12/05/2020","27,82","28,05","28,51","27,75","3,99M","-1,00%"
"11/05/2020","28,10","29,40","29,40","27,85","4,07M","-2,48%"
"08/05/2020","28,82","28,84","28,97","28,31","3,11M","1,12%"
"07/05/2020","28,50","28,20","28,67","27,92","4,24M","1,77%"
"06/05/2020","28,00","28,20","28,34","27,48","4,67M","-0,74%"
"05/05/2020","28,21","28,50","28,95","27,30","6,42M","4,06%"
"04/05/2020","27,11","27,00","27,98","26,76","7,55M","-5,46%"
"30/04/2020","28,67","30,69","30,85","28,20","9,22M","-6,60%"
"29/04/2020","30,70","29,47","31,09","29,27","7,28M","3,72%"
"28/04/2020","29,60","28,00","30,38","27,85","8,45M","6,51%"
"27/04/2020","27,79","27,80","27,84","27,22","4,93M","5,67%"
"24/04/2020","26,30","26,41","26,83","26,10","5,12M","-3,06%"
"23/04/2020","27,13","26,06","27,93","25,97","8,23M","6,25%"
"22/04/2020","25,53","25,01","25,67","24,78","4,32M","3,51%"
"21/04/2020","24,67","24,90","25,34","24,67","6,24M","-3,99%"
"20/04/2020","25,69","25,80","25,84","24,87","4,94M","0,88%"
"17/04/2020","25,47","25,60","26,59","25,25","9,19M","2,29%"
"16/04/2020","24,90","26,00","26,41","24,82","7,85M","-3,56%"
"15/04/2020","25,82","27,60","27,64","25,82","6,46M","-7,16%"
"14/04/2020","27,81","28,89","28,89","27,58","5,42M","-2,09%"
"09/04/2020","28,41","27,59","28,80","27,53","9,75M","5,38%"
"08/04/2020","26,95","26,10","26,95","25,64","5,22M","0,77%"
"07/04/2020","26,75","26,41","27,69","25,94","12,76M","4,31%"
"06/04/2020","25,65","25,80","25,83","25,01","8,64M","3,68%"
"03/04/2020","24,74","25,59","25,70","24,50","6,96M","-5,03%"
"02/04/2020","26,05","26,05","26,67","25,20","5,92M","0,68%"
"01/04/2020","25,87","26,70","26,90","25,82","8,11M","-5,96%"
"31/03/2020","27,51","28,50","28,84","26,95","8,37M","-2,62%"
"30/03/2020","28,25","29,39","29,50","27,03","6,72M","-5,44%"
"27/03/2020","29,88","30,18","30,74","28,93","6,38M","-3,57%"
"26/03/2020","30,98","29,20","31,07","28,81","7,41M","3,27%"
"25/03/2020","30,00","28,90","30,16","28,00","10,37M","7,99%"
"24/03/2020","27,78","27,50","27,78","26,14","10,50M","9,26%"
"23/03/2020","25,42","25,90","26,90","25,15","10,58M","-7,34%"
"20/03/2020","27,44","28,00","28,90","27,18","12,82M","0,94%"
"19/03/2020","27,18","27,56","28,01","25,10","8,96M","2,97%"
"18/03/2020","26,40","28,27","28,75","26,31","9,36M","-9,59%"
"17/03/2020","29,20","28,79","29,42","26,07","9,69M","6,41%"
"16/03/2020","27,44","29,56","30,45","26,48","12,73M","-13,52%"
"13/03/2020","31,73","32,36","34,98","31,07","11,71M","2,35%"
"12/03/2020","31,00","33,12","34,20","30,48","19,03M","-13,07%"
"11/03/2020","35,66","35,30","36,92","34,87","9,87M","2,97%"
"10/03/2020","34,63","34,52","37,28","33,73","15,22M","2,52%"
"09/03/2020","33,78","34,25","35,73","33,78","15,29M","-12,31%"
"06/03/2020","38,52","39,51","39,92","37,88","10,83M","-4,94%"
"05/03/2020","40,52","42,58","42,76","40,06","9,91M","-4,09%"
"04/03/2020","42,25","42,90","43,07","42,00","8,38M","-1,31%"
"03/03/2020","42,81","44,90","44,90","42,38","10,18M","-1,47%"
"02/03/2020","43,45","44,65","44,66","41,86","9,76M","-0,75%"
"28/02/2020","43,78","43,65","44,24","42,55","11,41M","-3,53%"
"27/02/2020","45,38","47,26","47,26","44,92","12,72M","-5,89%"
"26/02/2020","48,22","48,20","48,49","47,10","9,99M","-0,99%"
"25/02/2020","48,70","51,49","51,50","48,70","9,06M","-4,88%"
"24/02/2020","51,20","51,65","52,02","50,96","8,38M","-3,80%"
"21/02/2020","53,22","53,00","53,44","52,72","4,70M","-0,08%"
"20/02/2020","53,26","53,61","53,88","53,09","3,45M","-0,91%"
"19/02/2020","53,75","53,93","54,08","53,56","2,74M","0,15%"
"18/02/2020","53,67","53,82","54,03","53,62","3,24M","-0,94%"
"17/02/2020","54,18","53,79","54,22","53,69","2,15M","0,93%"
"14/02/2020","53,68","53,57","53,99","53,44","2,90M","0,21%"
"13/02/2020","53,57","53,32","53,58","52,79","3,53M","-0,02%"
"12/02/2020","53,58","52,78","53,69","52,74","4,31M","1,61%"
"11/02/2020","52,73","52,18","52,78","51,90","3,68M","2,11%"
"10/02/2020","51,64","51,59","51,82","51,41","3,60M","-0,37%"
"07/02/2020","51,83","50,45","51,83","50,26","4,63M","2,82%"
