"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"10/12/2020","10,44","10,52","10,54","10,26","5,47M","-0,19%"
"09/12/2020","10,46","10,53","10,62","10,43","6,51M","0,14%"
"08/12/2020","10,44","10,65","10,68","10,39","9,49M","-2,66%"
"07/12/2020","10,73","10,95","11,05","10,71","12,45M","-2,90%"
"04/12/2020","11,05","10,60","11,05","10,58","16,36M","4,00%"
"03/12/2020","10,63","10,28","10,70","10,21","10,60M","2,41%"
"02/12/2020","10,38","10,18","10,38","10,07","7,73M","1,67%"
"01/12/2020","10,20","9,73","10,24","9,68","10,96M","5,49%"
"30/11/2020","9,67","9,80","9,82","9,62","9,39M","-1,93%"
"27/11/2020","9,86","9,78","9,97","9,77","4,98M","0,37%"
"26/11/2020","9,83","9,93","9,95","9,74","5,18M","-0,47%"
"25/11/2020","9,87","10,00","10,10","9,56","10,03M","0,53%"
"24/11/2020","9,82","9,44","9,82","9,43","12,48M","5,48%"
"23/11/2020","9,31","9,14","9,34","9,12","11,91M","4,07%"
"20/11/2020","8,95","8,87","9,01","8,83","7,28M","0,86%"
"19/11/2020","8,87","8,77","8,90","8,71","7,00M","-0,58%"
"18/11/2020","8,92","8,75","8,97","8,72","7,22M","1,16%"
"17/11/2020","8,82","8,81","8,88","8,64","8,03M","0,32%"
"16/11/2020","8,79","8,84","9,03","8,73","12,78M","1,90%"
"13/11/2020","8,63","8,44","8,73","8,40","10,05M","1,01%"
"12/11/2020","8,54","8,52","8,65","8,37","8,48M","-2,42%"
"11/11/2020","8,76","8,85","9,00","8,64","8,50M","-1,04%"
"10/11/2020","8,85","8,45","8,89","8,27","19,26M","4,71%"
"09/11/2020","8,45","7,60","8,45","7,56","19,93M","13,67%"
"06/11/2020","7,43","7,54","7,69","7,43","6,32M","-1,48%"
"05/11/2020","7,55","7,46","7,58","7,27","7,19M","2,30%"
"04/11/2020","7,38","7,18","7,47","7,09","8,00M","1,24%"
"03/11/2020","7,29","7,16","7,40","7,12","12,65M","4,35%"
