"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","93,54","92,86","94,20","92,10","724,85K","1,04%"
"01/06/2020","92,58","93,60","94,00","91,70","227,01K","0,52%"
"29/05/2020","92,10","92,26","93,18","91,20","736,29K","-0,75%"
"28/05/2020","92,80","91,04","92,80","90,32","464,94K","3,04%"
"27/05/2020","90,06","92,08","93,40","89,56","619,72K","-2,32%"
"26/05/2020","92,20","89,70","92,50","89,54","756,73K","3,67%"
"25/05/2020","88,94","87,00","89,30","86,82","331,79K","2,94%"
"22/05/2020","86,40","84,00","87,56","83,54","485,80K","2,39%"
"21/05/2020","84,38","86,96","87,06","84,38","347,35K","-3,41%"
"20/05/2020","87,36","86,22","87,38","83,84","482,15K","0,81%"
"19/05/2020","86,66","86,92","87,20","85,10","524,03K","0,63%"
"18/05/2020","86,12","83,02","86,12","83,02","408,28K","5,62%"
"15/05/2020","81,54","82,00","83,64","80,84","385,70K","-0,15%"
"14/05/2020","81,66","84,04","84,04","81,04","569,31K","-3,93%"
"13/05/2020","85,00","89,00","89,00","85,00","388,05K","-3,93%"
"12/05/2020","88,48","86,16","88,48","84,62","441,73K","2,50%"
"11/05/2020","86,32","89,12","89,78","85,58","348,58K","-2,97%"
"08/05/2020","88,96","90,50","90,54","88,36","275,63K","-0,71%"
"07/05/2020","89,60","89,50","90,70","88,76","413,75K","0,27%"
"06/05/2020","89,36","87,00","89,88","85,72","537,11K","2,55%"
"05/05/2020","87,14","83,50","87,14","82,90","520,63K","6,22%"
"04/05/2020","82,04","82,98","85,34","81,50","479,72K","-4,32%"
"30/04/2020","85,74","89,10","89,60","85,72","572,13K","-2,70%"
"29/04/2020","88,12","85,78","89,68","85,44","616,22K","3,67%"
"28/04/2020","85,00","79,50","85,80","79,46","792,35K","7,87%"
"27/04/2020","78,80","79,50","79,90","77,12","326,24K","1,03%"
"24/04/2020","78,00","78,82","79,42","77,00","438,50K","-3,06%"
"23/04/2020","80,46","80,76","81,16","79,24","343,43K","0,20%"
"22/04/2020","80,30","80,18","81,28","79,36","298,45K","1,75%"
"21/04/2020","78,92","80,02","82,00","78,92","461,81K","-2,86%"
"20/04/2020","81,24","80,66","82,10","79,70","311,44K","1,17%"
"17/04/2020","80,30","81,88","82,70","79,60","747,97K","1,29%"
"16/04/2020","79,28","77,62","79,88","77,18","526,15K","2,93%"
"15/04/2020","77,02","82,74","83,90","77,02","558,49K","-6,07%"
"14/04/2020","82,00","82,00","83,60","81,56","558,86K","1,23%"
"09/04/2020","81,00","79,00","81,84","77,86","684,12K","4,98%"
"08/04/2020","77,16","75,22","77,16","74,62","485,29K","2,36%"
"07/04/2020","75,38","71,90","75,78","71,90","856,93K","8,21%"
"06/04/2020","69,66","69,38","69,66","68,28","725,29K","3,17%"
"03/04/2020","67,52","70,10","70,34","67,52","558,50K","-3,95%"
"02/04/2020","70,30","73,58","74,70","69,54","624,01K","-4,51%"
"01/04/2020","73,62","76,00","77,40","73,62","578,33K","-4,39%"
"31/03/2020","77,00","78,56","80,00","76,26","791,97K","-1,28%"
"30/03/2020","78,00","77,66","79,00","76,98","570,84K","0,00%"
"27/03/2020","78,00","76,30","78,24","75,04","1,06M","-1,52%"
"26/03/2020","79,20","71,78","79,20","70,96","940,14K","9,18%"
"25/03/2020","72,54","73,00","75,40","69,18","986,89K","0,81%"
"24/03/2020","71,96","67,60","74,00","66,10","1,04M","11,77%"
"23/03/2020","64,38","63,80","65,46","59,92","955,38K","-2,60%"
"20/03/2020","66,10","62,00","66,90","58,80","1,67M","11,69%"
"19/03/2020","59,18","56,02","59,52","51,78","1,22M","3,07%"
"18/03/2020","57,42","60,02","61,00","56,76","1,09M","-1,48%"
"17/03/2020","58,28","64,46","65,56","53,96","1,37M","-6,99%"
"16/03/2020","62,66","64,94","64,94","57,76","1,91M","-10,23%"
"13/03/2020","69,80","74,14","75,36","68,96","2,12M","-3,35%"
"12/03/2020","72,22","76,00","77,66","72,22","2,23M","-11,60%"
"11/03/2020","81,70","83,90","85,42","81,70","1,38M","-1,50%"
"10/03/2020","82,94","86,08","87,02","82,70","1,41M","-2,47%"
"09/03/2020","85,04","85,94","86,22","83,28","1,68M","-6,63%"
"06/03/2020","91,08","92,20","92,68","89,52","898,53K","-2,82%"
"05/03/2020","93,72","96,26","96,26","93,10","653,17K","-2,03%"
"04/03/2020","95,66","95,46","96,74","94,60","790,98K","0,21%"
"03/03/2020","95,46","97,40","98,52","95,44","1,22M","-0,06%"
"02/03/2020","95,52","100,00","100,70","95,08","1,45M","-3,73%"
"28/02/2020","99,22","99,00","100,05","97,02","1,49M","-3,15%"
"27/02/2020","102,45","105,70","105,70","101,70","1,07M","-4,25%"
"26/02/2020","107,00","107,40","107,95","104,70","832,62K","-0,88%"
"25/02/2020","107,95","110,95","111,30","107,90","862,10K","-2,26%"
"24/02/2020","110,45","111,85","111,85","108,75","909,04K","-2,56%"
"21/02/2020","113,35","113,65","114,55","112,15","541,76K","0,00%"
"20/02/2020","113,35","114,80","115,55","113,35","596,92K","-1,69%"
"19/02/2020","115,30","114,20","116,00","113,80","457,26K","1,18%"
"18/02/2020","113,95","114,50","114,55","112,55","647,76K","-1,04%"
"17/02/2020","115,15","115,00","115,50","114,30","370,32K","0,17%"
"14/02/2020","114,95","113,70","116,15","113,65","571,92K","1,37%"
"13/02/2020","113,40","115,80","116,20","111,50","1,02M","-3,37%"
"12/02/2020","117,35","115,05","117,60","114,70","519,84K","1,47%"
"11/02/2020","115,65","115,90","116,35","114,60","525,31K","-0,22%"
"10/02/2020","115,90","115,90","116,10","115,15","294,37K","-0,26%"
"07/02/2020","116,20","117,55","117,90","115,90","396,66K","-1,48%"
"06/02/2020","117,95","117,35","118,40","115,90","412,71K","1,55%"
"05/02/2020","116,15","116,25","117,45","115,80","482,70K","0,09%"
"04/02/2020","116,05","114,95","116,20","114,80","387,84K","1,80%"
"03/02/2020","114,00","112,80","114,60","112,65","406,58K","1,47%"
"31/01/2020","112,35","114,05","115,00","112,35","607,87K","-1,14%"
"30/01/2020","113,65","114,30","114,55","112,95","713,41K","-1,47%"
"29/01/2020","115,35","117,05","117,60","115,35","648,83K","-1,33%"
"28/01/2020","116,90","117,90","118,45","116,55","706,83K","-0,89%"
"27/01/2020","117,95","118,20","118,90","116,50","815,33K","-0,92%"
"24/01/2020","119,05","119,80","120,90","118,35","457,71K","0,51%"
