"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","13,91","14,00","14,02","13,80","2,85M","-0,04%"
"01/06/2020","13,92","13,74","13,94","13,68","2,84M","1,94%"
"29/05/2020","13,65","13,30","13,80","13,30","7,50M","2,28%"
"28/05/2020","13,35","13,48","13,65","13,32","3,39M","-0,56%"
"27/05/2020","13,43","12,99","13,44","12,84","5,78M","3,35%"
"26/05/2020","12,99","13,23","13,30","12,89","4,97M","-1,40%"
"25/05/2020","13,18","13,28","13,34","13,10","1,66M","-0,23%"
"22/05/2020","13,20","12,69","13,26","12,63","5,18M","3,08%"
"21/05/2020","12,81","12,43","12,85","12,33","4,43M","2,40%"
"20/05/2020","12,51","12,40","12,52","12,10","4,52M","0,36%"
"19/05/2020","12,47","12,90","13,06","12,44","4,34M","-2,39%"
"18/05/2020","12,77","12,86","12,94","12,66","3,27M","0,08%"
"15/05/2020","12,76","12,90","13,03","12,76","1,69M","-0,31%"
"14/05/2020","12,80","12,80","12,88","12,64","2,15M","-0,66%"
"13/05/2020","12,89","13,10","13,24","12,83","2,23M","-2,39%"
"12/05/2020","13,20","13,21","13,39","13,11","1,76M","-0,45%"
"11/05/2020","13,26","13,40","13,48","13,24","1,66M","-0,26%"
"08/05/2020","13,30","13,32","13,34","13,20","1,22M","-0,15%"
"07/05/2020","13,31","12,96","13,44","12,96","2,76M","3,06%"
"06/05/2020","12,92","13,28","13,28","12,92","2,82M","-2,75%"
"05/05/2020","13,28","13,29","13,41","13,23","2,56M","1,14%"
"04/05/2020","13,14","13,43","13,48","13,14","3,38M","-2,67%"
"30/04/2020","13,49","13,79","13,94","13,35","3,03M","-2,88%"
"29/04/2020","13,90","13,90","14,10","13,66","4,11M","3,73%"
"28/04/2020","13,40","13,20","13,53","13,18","2,48M","0,98%"
"27/04/2020","13,27","13,45","13,56","13,07","3,10M","-0,41%"
"24/04/2020","13,32","13,37","13,52","13,25","1,90M","-0,49%"
"23/04/2020","13,39","13,74","13,79","13,37","4,04M","-2,94%"
"22/04/2020","13,79","13,60","14,01","13,31","2,76M","1,25%"
"21/04/2020","13,62","13,93","13,97","13,62","2,50M","-3,51%"
