"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","62,12","62,22","62,80","61,90","1,38M","0,36%"
"01/06/2020","61,90","62,16","62,50","61,56","1,56M","0,55%"
"29/05/2020","61,56","62,32","62,70","61,50","2,84M","-1,03%"
"28/05/2020","62,20","61,66","62,64","61,22","2,33M","1,14%"
"27/05/2020","61,50","61,44","61,72","60,72","2,12M","-0,06%"
"26/05/2020","61,54","62,30","62,34","61,20","1,68M","-0,29%"
"25/05/2020","61,72","61,46","61,82","61,10","884,47K","0,88%"
"22/05/2020","61,18","60,86","61,32","60,64","1,24M","-0,13%"
"21/05/2020","61,26","61,72","61,72","61,06","1,28M","-1,38%"
"20/05/2020","62,12","61,90","62,62","60,86","1,77M","0,49%"
"19/05/2020","61,82","63,72","63,74","61,34","2,16M","-2,03%"
"18/05/2020","63,10","61,48","63,56","61,30","1,59M","4,02%"
"15/05/2020","60,66","60,46","61,56","60,12","1,63M","0,36%"
"14/05/2020","60,44","61,50","61,94","59,76","2,02M","-3,08%"
"13/05/2020","62,36","62,18","63,18","61,68","1,52M","-1,05%"
"12/05/2020","63,02","63,58","63,82","62,52","1,34M","-1,65%"
"11/05/2020","64,08","64,20","64,84","63,72","1,32M","0,03%"
"08/05/2020","64,06","63,28","64,58","63,20","1,18M","1,75%"
"07/05/2020","62,96","61,76","63,02","61,60","1,40M","2,37%"
"06/05/2020","61,50","61,50","61,90","61,10","1,36M","0,03%"
"05/05/2020","61,48","62,18","62,60","61,32","1,35M","-0,03%"
"04/05/2020","61,50","61,98","62,12","60,82","2,39M","-2,78%"
"30/04/2020","63,26","62,66","64,22","62,32","2,48M","1,15%"
"29/04/2020","62,54","62,50","63,08","61,26","1,84M","0,29%"
"28/04/2020","62,36","64,00","64,30","62,36","1,93M","-2,68%"
"27/04/2020","64,08","63,50","64,44","63,36","1,32M","2,53%"
"24/04/2020","62,50","61,16","63,00","60,82","1,98M","0,90%"
"23/04/2020","61,94","61,74","62,32","61,06","1,70M","-0,74%"
"22/04/2020","62,40","62,50","64,04","61,96","1,86M","-0,70%"
"21/04/2020","62,84","63,26","64,86","62,38","2,72M","-2,72%"
"20/04/2020","64,60","64,50","64,60","63,02","1,67M","1,54%"
"17/04/2020","63,62","62,54","64,38","62,20","2,76M","2,55%"
"16/04/2020","62,04","62,46","62,60","61,00","1,76M","0,06%"
"15/04/2020","62,00","62,00","62,98","61,18","2,39M","1,21%"
"14/04/2020","61,26","59,50","61,70","59,08","2,46M","4,54%"
"09/04/2020","58,60","56,90","59,46","56,38","2,92M","2,81%"
"08/04/2020","57,00","57,34","57,68","56,52","2,81M","-2,40%"
"07/04/2020","58,40","59,54","59,98","57,74","3,03M","-0,24%"
"06/04/2020","58,54","56,86","59,00","56,86","2,39M","3,57%"
"03/04/2020","56,52","55,96","56,96","55,36","2,29M","-0,49%"
"02/04/2020","56,80","56,58","57,70","55,64","3,19M","0,42%"
"01/04/2020","56,56","57,34","57,98","55,98","2,72M","-3,55%"
"31/03/2020","58,64","57,28","58,82","56,76","3,12M","2,66%"
"30/03/2020","57,12","55,52","57,34","54,50","2,30M","2,51%"
"27/03/2020","55,72","57,18","58,50","55,16","2,84M","-4,85%"
"26/03/2020","58,56","55,12","58,56","55,10","2,97M","4,35%"
"25/03/2020","56,12","55,50","57,00","54,42","2,99M","2,18%"
"24/03/2020","54,92","57,26","58,00","53,46","3,66M","-1,65%"
"23/03/2020","55,84","57,00","59,66","55,14","3,62M","-4,94%"
"20/03/2020","58,74","64,34","65,34","56,88","4,30M","-3,83%"
"19/03/2020","61,08","59,52","62,44","58,46","3,85M","2,14%"
"18/03/2020","59,80","60,76","61,44","57,54","4,14M","2,89%"
"17/03/2020","58,12","55,74","58,48","53,52","5,12M","7,71%"
"16/03/2020","53,96","51,72","54,84","50,26","6,14M","0,37%"
"13/03/2020","53,76","54,00","57,28","53,24","7,01M","1,63%"
"12/03/2020","52,90","55,98","56,52","52,12","6,79M","-8,51%"
"11/03/2020","57,82","57,94","59,38","57,62","3,63M","0,91%"
"10/03/2020","57,30","58,82","60,24","56,82","4,36M","-1,41%"
"09/03/2020","58,12","58,04","59,90","57,82","5,56M","-4,66%"
"06/03/2020","60,96","61,74","62,22","60,60","3,17M","-2,87%"
"05/03/2020","62,76","63,38","63,54","61,94","3,28M","-0,29%"
"04/03/2020","62,94","62,80","64,00","62,28","3,32M","0,22%"
"03/03/2020","62,80","63,64","64,36","61,90","4,93M","-0,48%"
