"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","149,60","151,85","152,40","149,50","292,12K","-0,43%"
"01/06/2020","150,25","154,25","154,40","149,80","186,57K","-1,31%"
"29/05/2020","152,25","148,40","154,10","148,15","648,45K","1,74%"
"28/05/2020","149,65","147,00","149,65","146,10","387,27K","1,80%"
"27/05/2020","147,00","149,80","149,80","145,20","477,65K","-0,64%"
"26/05/2020","147,95","146,85","149,50","146,15","390,99K","1,72%"
"25/05/2020","145,45","142,55","145,60","142,55","235,78K","2,14%"
"22/05/2020","142,40","137,65","143,15","137,50","270,76K","2,01%"
"21/05/2020","139,60","140,60","141,50","139,45","185,23K","-1,52%"
"20/05/2020","141,75","138,05","141,75","137,00","255,48K","2,49%"
"19/05/2020","138,30","142,60","142,65","137,55","325,42K","-2,33%"
"18/05/2020","141,60","139,50","142,65","138,80","215,32K","3,13%"
"15/05/2020","137,30","133,90","137,55","133,90","179,85K","2,54%"
"14/05/2020","133,90","135,00","135,95","132,90","183,83K","-2,33%"
"13/05/2020","137,10","137,25","138,60","136,60","228,48K","-0,83%"
"12/05/2020","138,25","138,00","138,40","136,15","172,34K","0,18%"
"11/05/2020","138,00","139,50","140,80","137,15","189,20K","-1,67%"
"08/05/2020","140,35","140,70","141,50","139,35","123,65K","0,68%"
"07/05/2020","139,40","137,30","140,05","135,70","224,75K","2,42%"
"06/05/2020","136,10","136,05","136,95","134,50","194,81K","0,63%"
"05/05/2020","135,25","133,55","135,25","131,75","232,76K","2,54%"
"04/05/2020","131,90","131,00","133,50","129,85","254,66K","-1,24%"
"30/04/2020","133,55","135,00","136,50","133,55","353,69K","-1,95%"
"29/04/2020","136,20","136,35","137,00","132,25","319,27K","-0,80%"
"28/04/2020","137,30","140,60","140,95","136,65","299,61K","-2,62%"
"27/04/2020","141,00","139,85","141,00","137,95","203,19K","3,79%"
"24/04/2020","135,85","134,00","139,55","133,65","266,26K","-0,66%"
"23/04/2020","136,75","140,00","140,65","135,00","238,90K","-0,73%"
"22/04/2020","137,75","133,30","140,00","133,30","243,71K","4,67%"
"21/04/2020","131,60","135,85","137,05","131,60","248,77K","-4,22%"
"20/04/2020","137,40","138,80","140,60","135,55","218,95K","-0,04%"
"17/04/2020","137,45","142,40","143,40","137,20","283,43K","-1,08%"
"16/04/2020","138,95","134,00","141,95","133,25","539,05K","5,83%"
"15/04/2020","131,30","129,65","133,80","129,15","330,74K","0,65%"
"14/04/2020","130,45","132,60","134,10","130,40","347,06K","-0,27%"
"09/04/2020","130,80","130,10","132,40","128,05","366,48K","2,03%"
"08/04/2020","128,20","122,65","128,70","122,00","288,33K","5,38%"
"07/04/2020","121,65","125,10","126,85","120,15","470,26K","-0,65%"
"06/04/2020","122,45","121,00","123,00","118,80","373,21K","3,12%"
"03/04/2020","118,75","124,30","124,65","117,70","427,05K","-5,53%"
"02/04/2020","125,70","132,00","132,00","123,35","483,63K","-5,10%"
"01/04/2020","132,45","129,80","137,40","128,55","385,59K","-1,89%"
"31/03/2020","135,00","135,00","137,95","129,55","595,63K","1,58%"
"30/03/2020","132,90","130,15","133,85","127,55","299,63K","2,15%"
"27/03/2020","130,10","127,25","131,05","125,05","494,11K","1,44%"
"26/03/2020","128,25","128,55","129,20","122,20","501,57K","-1,35%"
"25/03/2020","130,00","135,40","143,40","127,35","459,43K","-2,37%"
"24/03/2020","133,15","122,85","133,15","117,35","479,21K","13,80%"
"23/03/2020","117,00","121,05","124,10","114,65","505,87K","-7,73%"
"20/03/2020","126,80","118,10","129,00","113,50","761,99K","12,71%"
"19/03/2020","112,50","125,40","135,40","111,55","861,25K","-3,27%"
"18/03/2020","116,30","113,30","117,25","109,30","662,09K","5,49%"
"17/03/2020","110,25","111,15","112,95","105,05","836,85K","1,85%"
"16/03/2020","108,25","114,50","117,00","105,00","1,53M","-10,54%"
"13/03/2020","121,00","119,60","127,60","117,35","1,40M","2,72%"
"12/03/2020","117,80","121,20","124,35","117,20","1,41M","-8,08%"
"11/03/2020","128,15","132,05","133,20","127,70","846,80K","-2,14%"
"10/03/2020","130,95","133,05","136,05","129,90","1,03M","-0,57%"
"09/03/2020","131,70","132,00","134,35","128,15","1,26M","-5,56%"
"06/03/2020","139,45","140,60","141,75","137,85","731,47K","-2,96%"
"05/03/2020","143,70","145,70","145,70","142,20","605,78K","0,00%"
"04/03/2020","143,70","142,45","145,55","142,00","518,05K","0,38%"
"03/03/2020","143,15","143,70","146,85","142,30","772,87K","1,52%"
"02/03/2020","141,00","144,60","145,60","139,10","692,53K","-0,70%"
"28/02/2020","142,00","140,45","142,00","137,30","1,09M","-1,83%"
"27/02/2020","144,65","145,50","146,70","142,30","609,64K","-2,06%"
"26/02/2020","147,70","146,40","149,05","142,50","680,53K","0,37%"
"25/02/2020","147,15","151,60","152,80","146,50","554,82K","-2,29%"
"24/02/2020","150,60","151,80","152,00","148,60","670,24K","-2,62%"
"21/02/2020","154,65","155,45","155,85","153,85","344,34K","-0,71%"
"20/02/2020","155,75","157,20","158,00","155,60","323,15K","-1,11%"
"19/02/2020","157,50","156,95","158,15","155,65","241,34K","0,74%"
"18/02/2020","156,35","154,00","156,75","153,45","386,74K","0,71%"
"17/02/2020","155,25","155,55","155,80","154,15","217,31K","-0,03%"
"14/02/2020","155,30","154,40","155,30","152,25","309,62K","0,36%"
"13/02/2020","154,75","154,85","155,45","152,70","310,47K","-0,16%"
"12/02/2020","155,00","155,45","156,25","154,60","304,74K","-0,51%"
"11/02/2020","155,80","156,50","157,00","154,90","351,13K","0,16%"
"10/02/2020","155,55","154,50","155,75","153,70","310,04K","0,45%"
"07/02/2020","154,85","158,40","159,80","154,50","541,39K","-2,88%"
"06/02/2020","159,45","154,00","159,55","150,20","826,66K","-0,19%"
"05/02/2020","159,75","157,85","161,25","157,85","462,26K","1,20%"
"04/02/2020","157,85","159,30","159,55","157,25","393,56K","-0,32%"
"03/02/2020","158,35","157,00","158,40","156,60","364,46K","1,05%"
"31/01/2020","156,70","158,60","159,80","156,30","404,54K","-0,73%"
"30/01/2020","157,85","159,70","160,25","157,20","335,03K","-2,32%"
"29/01/2020","161,60","159,60","161,60","159,60","308,98K","1,06%"
"28/01/2020","159,90","161,00","161,55","158,55","380,96K","-0,47%"
"27/01/2020","160,65","161,70","162,05","159,10","436,83K","-2,01%"
"24/01/2020","163,95","162,00","164,15","161,55","353,20K","2,09%"
"23/01/2020","160,60","160,35","160,75","158,80","396,92K","0,06%"
"22/01/2020","160,50","158,60","160,95","158,20","356,66K","1,33%"
"21/01/2020","158,40","156,90","158,75","155,60","289,13K","0,35%"
"20/01/2020","157,85","157,90","158,20","157,00","185,59K","0,19%"
"17/01/2020","157,55","155,85","158,50","155,30","318,33K","1,51%"
"16/01/2020","155,20","156,35","156,55","154,90","220,45K","-0,54%"
"15/01/2020","156,05","154,05","156,70","154,00","310,03K","1,33%"
"14/01/2020","154,00","154,85","155,20","152,90","307,12K","-0,32%"
"13/01/2020","154,50","154,85","155,40","153,85","201,49K","0,32%"
"10/01/2020","154,00","153,70","154,95","153,35","285,05K","1,02%"
"09/01/2020","152,45","152,00","154,10","151,50","378,43K","1,30%"
"08/01/2020","150,50","147,75","151,35","147,55","344,61K","1,21%"
"07/01/2020","148,70","148,00","149,60","147,80","267,19K","0,81%"
"06/01/2020","147,50","147,00","147,95","146,60","264,59K","-0,64%"
"03/01/2020","148,45","146,55","148,70","146,55","233,41K","0,78%"
"02/01/2020","147,30","147,40","147,95","146,60","264,44K","0,51%"
"31/12/2019","146,55","147,40","147,95","146,20","83,71K","-0,78%"
"30/12/2019","147,70","147,30","148,95","147,25","239,36K","0,17%"
"27/12/2019","147,45","148,00","148,35","146,90","198,46K","-0,57%"
"24/12/2019","148,30","148,00","148,60","147,70","38,44K","0,20%"
"23/12/2019","148,00","147,25","148,80","147,10","194,30K","0,71%"
"20/12/2019","146,95","146,70","147,15","145,70","480,48K","0,31%"
"19/12/2019","146,50","143,95","146,50","143,85","394,99K","1,84%"
"18/12/2019","143,85","144,00","144,85","143,25","251,07K","-0,07%"
"17/12/2019","143,95","144,05","144,50","143,15","239,26K","-0,42%"
"16/12/2019","144,55","141,45","144,55","141,45","281,81K","2,08%"
"13/12/2019","141,60","142,50","142,50","140,35","364,45K","0,82%"
"12/12/2019","140,45","141,65","142,10","140,20","398,21K","-0,21%"
"11/12/2019","140,75","142,40","142,95","140,60","306,52K","-1,37%"
"10/12/2019","142,70","144,65","144,65","141,45","458,34K","-1,82%"
"09/12/2019","145,35","144,65","145,90","143,40","248,20K","0,03%"
"06/12/2019","145,30","142,25","145,45","141,10","375,83K","3,20%"
"05/12/2019","140,80","140,95","141,90","140,30","305,91K","-0,42%"
"04/12/2019","141,40","140,20","141,45","139,45","266,91K","1,18%"
"03/12/2019","139,75","141,05","141,20","138,80","376,95K","0,11%"
"02/12/2019","139,60","143,25","144,50","139,55","434,45K","-2,38%"
"29/11/2019","143,00","141,65","143,40","141,00","276,33K","0,28%"
"28/11/2019","142,60","142,40","142,60","141,25","173,55K","-0,24%"
"27/11/2019","142,95","143,85","143,85","142,45","212,91K","-0,24%"
"26/11/2019","143,30","140,70","143,50","140,70","541,92K","1,60%"
"25/11/2019","141,05","139,85","141,85","139,45","279,51K","0,75%"
"22/11/2019","140,00","140,15","141,00","139,40","237,61K","-0,36%"
"21/11/2019","140,50","140,55","140,95","139,25","242,11K","-0,57%"
"20/11/2019","141,30","138,80","141,50","138,05","281,43K","1,15%"
"19/11/2019","139,70","141,60","141,95","139,05","278,30K","-1,10%"
"18/11/2019","141,25","140,35","141,40","139,15","250,26K","0,86%"
"15/11/2019","140,05","141,25","141,95","139,00","289,14K","-0,14%"
"14/11/2019","140,25","140,00","142,10","139,65","293,99K","0,00%"
"13/11/2019","140,25","139,40","140,30","138,35","229,28K","0,57%"
"12/11/2019","139,45","139,75","140,15","138,00","306,13K","0,29%"
"11/11/2019","139,05","136,40","139,35","136,35","285,29K","1,76%"
"08/11/2019","136,65","136,35","137,85","135,85","249,65K","-0,36%"
"07/11/2019","137,15","137,00","137,85","136,05","253,25K","0,51%"
"06/11/2019","136,45","135,50","136,95","135,25","329,71K","0,52%"
"05/11/2019","135,75","136,00","136,20","135,10","422,90K","-0,11%"
"04/11/2019","135,90","136,45","137,40","135,75","278,81K","0,15%"
"01/11/2019","135,70","136,05","136,95","135,60","237,50K","-0,26%"
"31/10/2019","136,05","136,90","137,75","135,65","353,20K","-0,58%"
"30/10/2019","136,85","134,55","136,85","133,65","348,59K","1,26%"
"29/10/2019","135,15","135,95","136,00","134,20","365,76K","-0,63%"
"28/10/2019","136,00","134,00","136,45","132,90","394,25K","1,38%"
"25/10/2019","134,15","132,85","134,25","132,50","365,53K","1,09%"
"24/10/2019","132,70","126,80","132,70","125,40","995,54K","-0,56%"
"23/10/2019","133,45","131,85","133,45","130,60","342,05K","-0,04%"
"22/10/2019","133,50","135,50","135,65","133,20","247,33K","-1,66%"
"21/10/2019","135,75","136,40","136,55","134,45","349,92K","-0,26%"
"18/10/2019","136,10","137,45","138,15","135,80","294,71K","-1,20%"
"17/10/2019","137,75","139,50","139,70","137,45","371,14K","-1,40%"
"16/10/2019","139,70","138,95","141,65","138,75","363,76K","0,32%"
"15/10/2019","139,25","138,50","140,25","138,00","348,06K","1,13%"
"14/10/2019","137,70","137,50","138,90","136,35","247,71K","-0,43%"
"11/10/2019","138,30","136,45","138,85","135,95","373,79K","2,41%"
"10/10/2019","135,05","134,95","136,00","133,40","371,70K","0,19%"
"09/10/2019","134,80","133,00","135,30","132,50","403,03K","1,32%"
"08/10/2019","133,05","133,70","135,75","132,15","388,07K","0,04%"
"07/10/2019","133,00","132,10","133,00","130,65","298,71K","1,06%"
"04/10/2019","131,60","130,40","131,85","129,30","406,28K","1,66%"
"03/10/2019","129,45","127,10","129,60","126,45","399,19K","2,01%"
"02/10/2019","126,90","129,05","129,35","126,00","411,86K","-1,70%"
"01/10/2019","129,10","131,30","132,70","128,90","317,55K","-1,26%"
"30/09/2019","130,75","131,90","132,50","129,85","217,37K","-0,95%"
"27/09/2019","132,00","131,40","133,05","130,70","376,11K","0,80%"
"26/09/2019","130,95","126,80","131,95","125,95","516,89K","4,68%"
"25/09/2019","125,10","125,40","125,65","123,45","304,12K","-0,75%"
"24/09/2019","126,05","127,00","127,30","125,40","352,16K","-0,43%"
"23/09/2019","126,60","130,45","130,55","126,45","327,25K","-3,14%"
"20/09/2019","130,70","130,45","130,70","129,10","533,20K","0,58%"
"19/09/2019","129,95","132,40","132,65","129,90","356,59K","-1,63%"
"18/09/2019","132,10","131,55","133,10","131,05","293,67K","0,38%"
"17/09/2019","131,60","129,20","131,60","128,05","341,14K","2,25%"
"16/09/2019","128,70","130,25","130,25","128,45","408,67K","-1,83%"
"13/09/2019","131,10","129,70","132,55","129,20","509,79K","1,20%"
"12/09/2019","129,55","127,60","130,05","125,80","420,73K","1,97%"
"11/09/2019","127,05","126,45","128,05","125,75","449,03K","1,15%"
"10/09/2019","125,60","125,95","126,05","121,80","578,64K","-0,48%"
"09/09/2019","126,20","129,35","129,65","126,20","266,47K","-2,47%"
"06/09/2019","129,40","129,25","129,80","128,50","283,40K","0,43%"
"05/09/2019","128,85","130,60","130,95","128,85","248,57K","-0,35%"
"04/09/2019","129,30","128,90","130,25","127,75","210,52K","1,02%"
"03/09/2019","128,00","127,70","129,30","127,40","243,98K","0,31%"
"02/09/2019","127,60","128,45","128,75","126,75","145,24K","-0,43%"
"30/08/2019","128,15","126,85","129,40","126,85","283,18K","1,34%"
"29/08/2019","126,45","125,95","127,80","125,60","387,10K","0,24%"
"28/08/2019","126,15","127,00","127,30","125,65","467,06K","-1,83%"
"27/08/2019","128,50","128,75","129,40","126,45","288,13K","0,43%"
"26/08/2019","127,95","126,20","128,55","125,05","237,14K","0,67%"
"23/08/2019","127,10","129,45","130,75","127,10","283,33K","-0,39%"
"22/08/2019","127,60","131,90","132,00","127,35","304,62K","-3,59%"
"21/08/2019","132,35","128,60","132,45","128,60","276,62K","2,80%"
"20/08/2019","128,75","128,70","129,35","128,00","407,00K","0,39%"
"19/08/2019","128,25","128,25","128,80","126,85","251,68K","0,59%"
"16/08/2019","127,50","125,80","128,55","125,40","351,11K","2,00%"
"15/08/2019","125,00","126,25","127,05","123,50","397,06K","-0,83%"
"14/08/2019","126,05","130,15","130,70","125,50","376,89K","-3,08%"
"13/08/2019","130,05","127,80","130,75","127,10","358,54K","1,29%"
"12/08/2019","128,40","130,60","131,70","128,40","233,12K","-1,12%"
"09/08/2019","129,85","131,45","132,40","129,75","238,04K","-1,70%"
"08/08/2019","132,10","131,65","133,65","130,65","362,50K","2,05%"
"07/08/2019","129,45","129,75","130,85","128,15","291,08K","1,05%"
"06/08/2019","128,10","129,10","130,00","128,10","280,43K","-0,62%"
"05/08/2019","128,90","133,35","133,40","128,25","533,34K","-4,34%"
"02/08/2019","134,75","136,70","137,85","134,75","425,29K","-3,37%"
"01/08/2019","139,45","136,45","139,45","136,45","363,33K","1,05%"
"31/07/2019","138,00","136,30","138,50","134,45","341,09K","0,73%"
