"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"10/12/2020","12,43","12,59","12,62","12,38","2,46M","-1,15%"
"09/12/2020","12,57","12,43","12,57","12,36","5,16M","1,62%"
"08/12/2020","12,38","12,50","12,53","12,31","5,54M","-1,32%"
"07/12/2020","12,54","12,41","12,54","12,26","4,63M","0,32%"
"04/12/2020","12,50","12,55","12,66","12,48","4,81M","-0,68%"
"03/12/2020","12,59","12,82","12,83","12,56","5,51M","-1,68%"
"02/12/2020","12,80","12,64","12,80","12,58","8,07M","2,32%"
"01/12/2020","12,51","12,43","12,52","12,34","4,59M","1,13%"
"30/11/2020","12,37","12,56","12,60","12,37","7,63M","-1,20%"
"27/11/2020","12,52","12,59","12,69","12,52","5,63M","0,00%"
"26/11/2020","12,52","12,70","12,72","12,52","3,66M","-0,87%"
"25/11/2020","12,64","12,43","12,65","12,41","6,35M","1,69%"
"24/11/2020","12,43","12,34","12,44","12,30","5,09M","1,59%"
"23/11/2020","12,23","12,27","12,32","12,22","4,44M","0,53%"
"20/11/2020","12,16","12,01","12,26","11,99","5,47M","0,91%"
"19/11/2020","12,06","11,96","12,19","11,94","5,58M","-1,27%"
"18/11/2020","12,21","12,17","12,31","12,10","4,31M","-0,25%"
"17/11/2020","12,24","12,33","12,40","12,14","5,22M","-1,21%"
"16/11/2020","12,39","12,47","12,59","12,35","8,03M","0,73%"
"13/11/2020","12,30","12,25","12,48","12,18","10,25M","3,19%"
"12/11/2020","11,92","12,18","12,22","11,92","7,88M","-2,81%"
"11/11/2020","12,27","12,00","12,33","11,95","8,14M","2,42%"
"10/11/2020","11,98","11,76","11,99","11,71","10,37M","1,83%"
"09/11/2020","11,76","11,18","11,98","11,16","14,87M","6,57%"
"06/11/2020","11,03","11,15","11,35","11,00","5,51M","-1,87%"
"05/11/2020","11,24","11,15","11,32","11,09","5,91M","1,58%"
"04/11/2020","11,07","10,54","11,10","10,50","7,72M","2,31%"
"03/11/2020","10,82","10,77","10,88","10,66","5,97M","2,03%"
"02/11/2020","10,60","10,41","10,66","10,26","5,51M","2,12%"
"30/10/2020","10,39","10,15","10,40","10,11","5,96M","1,12%"
"29/10/2020","10,27","10,40","10,44","10,10","7,72M","-1,77%"
"28/10/2020","10,45","10,65","10,68","10,31","9,54M","-4,04%"
