"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","119,90","118,45","120,90","117,95","646,34K","1,78%"
"01/06/2020","117,80","117,90","120,15","117,00","344,83K","1,77%"
"29/05/2020","115,75","119,00","120,25","115,75","1,84M","-3,26%"
"28/05/2020","119,65","118,20","120,90","116,75","804,08K","2,35%"
"27/05/2020","116,90","111,80","116,90","111,70","936,79K","4,89%"
"26/05/2020","111,45","113,30","114,20","111,25","570,13K","-0,54%"
"25/05/2020","112,05","111,80","112,10","110,85","358,28K","1,49%"
"22/05/2020","110,40","110,00","111,05","109,45","446,84K","-0,94%"
"21/05/2020","111,45","112,25","112,55","110,45","352,45K","-1,33%"
"20/05/2020","112,95","112,30","113,60","110,25","527,09K","0,40%"
"19/05/2020","112,50","114,30","114,30","110,95","817,03K","0,36%"
"18/05/2020","112,10","111,00","112,40","108,35","545,28K","4,13%"
"15/05/2020","107,65","108,35","108,90","106,50","503,75K","0,14%"
"14/05/2020","107,50","106,90","108,25","104,85","679,62K","-1,10%"
"13/05/2020","108,70","112,95","112,95","108,35","620,26K","-4,27%"
"12/05/2020","113,55","113,65","114,35","112,70","423,93K","-0,09%"
"11/05/2020","113,65","111,10","114,70","111,05","623,39K","2,66%"
"08/05/2020","110,70","112,40","112,55","109,90","261,86K","0,00%"
"07/05/2020","110,70","110,00","111,55","109,70","388,34K","1,47%"
"06/05/2020","109,10","110,00","111,70","108,85","481,76K","-1,09%"
"05/05/2020","110,30","106,25","110,85","105,25","704,68K","3,08%"
"04/05/2020","107,00","109,10","109,30","105,05","898,62K","-5,02%"
"30/04/2020","112,65","113,40","115,20","111,80","1,16M","1,17%"
"29/04/2020","111,35","108,15","112,45","108,00","791,25K","2,63%"
"28/04/2020","108,50","108,00","109,20","107,25","592,28K","0,28%"
"27/04/2020","108,20","107,05","109,15","105,60","536,73K","3,05%"
"24/04/2020","105,00","104,05","105,95","103,80","604,91K","-1,04%"
"23/04/2020","106,10","105,05","107,05","104,00","493,37K","1,34%"
"22/04/2020","104,70","107,70","107,70","103,80","692,04K","-1,09%"
"21/04/2020","105,85","108,00","109,25","105,75","673,01K","-3,99%"
"20/04/2020","110,25","111,55","113,50","109,80","684,04K","-0,77%"
"17/04/2020","111,10","108,45","111,55","107,55","1,19M","4,27%"
"16/04/2020","106,55","107,35","108,90","105,65","648,14K","1,38%"
"15/04/2020","105,10","106,50","108,05","104,45","703,20K","-2,50%"
"14/04/2020","107,80","107,05","109,40","105,90","810,36K","1,03%"
"09/04/2020","106,70","107,00","109,30","104,65","776,11K","0,66%"
"08/04/2020","106,00","107,00","107,10","103,10","951,59K","-1,99%"
"07/04/2020","108,15","109,00","110,70","106,90","889,37K","2,76%"
"06/04/2020","105,25","100,25","106,55","99,22","918,05K","7,66%"
"03/04/2020","97,76","94,78","98,50","94,66","636,12K","1,47%"
"02/04/2020","96,34","95,00","99,38","94,40","1,09M","2,73%"
"01/04/2020","93,78","96,26","96,26","92,04","1,14M","-4,58%"
"31/03/2020","98,28","100,45","101,20","96,78","1,31M","-1,15%"
"30/03/2020","99,42","102,25","102,70","97,10","934,54K","-3,05%"
"27/03/2020","102,55","105,40","107,00","100,05","1,31M","-6,48%"
"26/03/2020","109,65","109,30","110,90","105,50","1,17M","-2,14%"
"25/03/2020","112,05","108,60","112,50","105,10","1,32M","2,75%"
"24/03/2020","109,05","102,40","109,05","99,88","1,32M","10,33%"
"23/03/2020","98,84","102,40","108,95","95,18","1,56M","-10,39%"
"20/03/2020","110,30","107,00","113,70","105,35","1,60M","5,55%"
"19/03/2020","104,50","99,08","108,30","99,08","1,32M","4,40%"
"18/03/2020","100,10","91,20","102,60","88,66","1,59M","3,30%"
"17/03/2020","96,90","105,75","106,05","93,12","1,48M","1,04%"
"16/03/2020","95,90","93,48","97,30","86,76","2,66M","-4,20%"
"13/03/2020","100,10","104,45","107,75","97,68","3,10M","-0,89%"
"12/03/2020","101,00","102,40","104,90","99,26","3,34M","-7,17%"
"11/03/2020","108,80","108,20","109,80","106,95","1,86M","1,49%"
"10/03/2020","107,20","114,50","117,30","107,05","2,32M","-5,76%"
"09/03/2020","113,75","113,30","115,15","110,10","2,74M","-5,29%"
"06/03/2020","120,10","121,00","123,60","119,65","1,48M","-3,88%"
