"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"03/06/2020","773,20","755,00","777,00","752,00","74,99K","2,46%"
"02/06/2020","754,60","743,40","765,60","742,80","95,17K","1,15%"
"01/06/2020","746,00","754,20","756,20","738,20","46,11K","-0,24%"
"29/05/2020","747,80","743,40","751,60","727,60","127,47K","0,16%"
"28/05/2020","746,60","715,00","746,60","714,20","97,93K","4,86%"
"27/05/2020","712,00","713,00","714,40","702,60","67,12K","0,28%"
"26/05/2020","710,00","705,00","713,00","701,40","56,58K","1,40%"
"25/05/2020","700,20","700,00","703,00","693,00","30,80K","0,34%"
"22/05/2020","697,80","682,40","699,80","681,00","57,24K","0,98%"
"21/05/2020","691,00","688,00","697,40","685,20","43,42K","-0,37%"
"20/05/2020","693,60","688,20","694,80","685,40","69,61K","0,52%"
"19/05/2020","690,00","699,60","702,00","681,80","107,34K","-1,43%"
"18/05/2020","700,00","672,00","700,00","672,00","63,05K","5,23%"
"15/05/2020","665,20","669,60","676,20","665,20","41,39K","-0,27%"
"14/05/2020","667,00","666,60","677,20","665,00","48,55K","-0,98%"
"13/05/2020","673,60","663,60","677,80","657,20","52,57K","0,48%"
"12/05/2020","670,40","660,00","671,00","660,00","60,26K","1,36%"
"11/05/2020","661,40","679,00","682,20","660,60","49,23K","-2,71%"
"08/05/2020","679,80","678,00","689,80","677,60","29,07K","1,13%"
"07/05/2020","672,20","648,60","672,20","648,00","52,12K","3,42%"
"06/05/2020","650,00","664,60","666,80","649,00","38,20K","-2,37%"
"05/05/2020","665,80","652,80","665,80","649,00","60,60K","3,03%"
"04/05/2020","646,20","654,00","661,60","646,20","69,23K","-3,23%"
"30/04/2020","667,80","685,00","686,80","666,60","58,17K","-1,97%"
"29/04/2020","681,20","678,40","686,20","672,80","37,71K","0,65%"
"28/04/2020","676,80","684,60","688,40","674,80","47,74K","-1,28%"
"27/04/2020","685,60","686,00","687,40","671,60","59,90K","1,66%"
"24/04/2020","674,40","695,00","697,00","673,00","56,03K","-3,79%"
"23/04/2020","701,00","695,00","701,00","679,40","56,75K","4,22%"
"22/04/2020","672,60","675,00","677,60","669,40","40,19K","0,51%"
"21/04/2020","669,20","688,60","697,40","669,20","47,95K","-3,68%"
"20/04/2020","694,80","685,00","696,60","683,00","30,48K","1,46%"
"17/04/2020","684,80","686,00","689,20","679,00","51,81K","2,42%"
"16/04/2020","668,60","678,60","692,40","668,60","85,30K","-1,04%"
"15/04/2020","675,60","666,00","683,00","666,00","69,57K","0,42%"
"14/04/2020","672,80","647,40","672,80","644,00","62,94K","4,83%"
"09/04/2020","641,80","640,00","645,00","632,80","51,56K","0,91%"
"08/04/2020","636,00","611,00","636,00","611,00","61,27K","3,05%"
"07/04/2020","617,20","617,00","630,00","613,60","82,14K","2,05%"
"06/04/2020","604,80","624,00","625,20","604,80","60,24K","0,00%"
"03/04/2020","604,80","601,00","604,80","595,20","51,39K","1,04%"
"02/04/2020","598,60","600,00","607,80","592,20","72,33K","1,11%"
"01/04/2020","592,00","620,00","622,20","592,00","99,75K","-5,85%"
"31/03/2020","628,80","650,00","659,00","623,20","96,11K","-1,72%"
"30/03/2020","639,80","642,40","650,00","621,20","77,48K","-0,81%"
"27/03/2020","645,00","655,80","663,20","630,20","75,26K","-3,93%"
"26/03/2020","671,40","636,60","671,60","626,00","101,18K","2,32%"
"25/03/2020","656,20","650,00","658,00","620,00","122,49K","2,34%"
"24/03/2020","641,20","618,00","641,20","607,00","123,58K","6,26%"
"23/03/2020","603,40","581,20","603,40","569,20","125,46K","-0,46%"
"20/03/2020","606,20","588,00","622,20","587,80","182,83K","8,25%"
"19/03/2020","560,00","530,00","560,00","526,60","121,39K","6,67%"
"18/03/2020","525,00","551,80","557,80","516,00","163,93K","-6,02%"
"17/03/2020","558,60","567,80","576,80","547,00","159,77K","1,90%"
"16/03/2020","548,20","538,60","556,80","529,60","198,49K","-4,29%"
