"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"10/12/2020","71,02","70,72","71,22","70,38","267,92K","0,79%"
"09/12/2020","70,46","70,60","71,06","70,24","512,01K","0,37%"
"08/12/2020","70,20","69,90","70,34","69,56","419,85K","0,57%"
"07/12/2020","69,80","69,74","70,00","69,42","417,54K","0,17%"
"04/12/2020","69,68","69,08","69,68","68,78","549,70K","0,96%"
"03/12/2020","69,02","70,16","70,20","68,80","455,10K","-1,23%"
"02/12/2020","69,88","70,50","70,80","69,68","446,10K","-1,22%"
"01/12/2020","70,74","70,72","71,40","70,30","505,13K","-0,34%"
"30/11/2020","70,98","71,28","72,70","70,98","970,49K","-0,62%"
"27/11/2020","71,42","71,22","71,68","71,00","489,46K","0,79%"
"26/11/2020","70,86","71,12","71,20","70,68","236,66K","0,06%"
"25/11/2020","70,82","71,10","71,42","70,62","476,95K","0,03%"
"24/11/2020","70,80","72,10","72,50","70,80","562,99K","-1,20%"
"23/11/2020","71,66","72,50","72,64","71,66","379,09K","-0,47%"
"20/11/2020","72,00","71,50","72,62","71,50","471,79K","0,28%"
"19/11/2020","71,80","72,00","72,30","71,32","507,12K","-1,45%"
"18/11/2020","72,86","72,26","73,34","71,86","753,77K","1,11%"
"17/11/2020","72,06","72,10","72,52","71,76","488,32K","0,08%"
"16/11/2020","72,00","71,66","72,50","71,04","594,03K","0,42%"
"13/11/2020","71,70","71,40","71,96","70,96","403,08K","-0,11%"
"12/11/2020","71,78","71,80","72,72","71,52","536,63K","-0,86%"
"11/11/2020","72,40","72,02","72,58","71,70","543,17K","0,61%"
"10/11/2020","71,96","72,12","72,48","71,56","852,19K","-0,06%"
"09/11/2020","72,00","70,90","73,78","70,60","1,05M","3,75%"
"06/11/2020","69,40","68,80","69,82","67,64","726,93K","3,30%"
"05/11/2020","67,18","67,50","69,78","66,98","1,03M","1,63%"
"04/11/2020","66,10","64,52","66,22","64,00","838,72K","1,26%"
"03/11/2020","65,28","65,28","65,98","65,16","658,95K","0,99%"
"02/11/2020","64,64","63,80","64,90","63,22","648,16K","1,83%"
"30/10/2020","63,48","62,62","63,72","62,60","630,92K","0,13%"
"29/10/2020","63,40","63,84","64,22","62,86","524,32K","-0,44%"
"28/10/2020","63,68","64,90","64,90","63,00","725,08K","-2,81%"
"27/10/2020","65,52","66,68","66,74","65,12","590,88K","-1,68%"
"26/10/2020","66,64","67,62","68,40","66,64","412,44K","-2,86%"
"23/10/2020","68,60","68,32","69,26","68,22","393,45K","0,12%"
"22/10/2020","68,52","67,60","68,58","67,06","526,94K","1,09%"
"21/10/2020","67,78","70,58","70,84","67,74","496,11K","-3,12%"
"20/10/2020","69,96","70,10","70,86","69,76","460,79K","0,95%"
"19/10/2020","69,30","69,84","70,34","68,08","219,40K","-0,49%"
"16/10/2020","69,64","68,92","70,04","68,90","479,29K","1,84%"
"15/10/2020","68,38","70,50","70,82","68,38","652,08K","-4,10%"
"14/10/2020","71,30","71,16","71,66","70,84","258,23K","0,34%"
"13/10/2020","71,06","70,00","71,06","69,96","396,36K","1,43%"
"12/10/2020","70,06","69,78","70,48","68,94","707,25K","0,34%"
"09/10/2020","69,82","70,46","70,50","69,54","396,08K","-0,23%"
"08/10/2020","69,98","70,80","71,14","69,94","356,48K","-0,82%"
"07/10/2020","70,56","70,80","71,36","70,18","448,27K","-0,28%"
"06/10/2020","70,76","71,14","71,50","70,54","372,47K","-0,06%"
"05/10/2020","70,80","70,24","71,02","70,22","421,52K","1,32%"
"02/10/2020","69,88","68,40","69,94","68,06","735,50K","1,33%"
