"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","384,95","383,60","386,70","380,10","885,11K","1,60%"
"01/06/2020","378,90","383,35","383,60","375,45","591,27K","1,04%"
"29/05/2020","375,00","386,00","386,00","375,00","1,16M","-3,05%"
"28/05/2020","386,80","377,50","387,30","374,35","744,83K","3,46%"
"27/05/2020","373,85","367,90","375,50","363,15","755,72K","2,31%"
"26/05/2020","365,40","365,00","371,50","363,45","571,25K","0,95%"
"25/05/2020","361,95","357,70","362,05","352,80","344,73K","1,87%"
"22/05/2020","355,30","353,00","357,80","351,00","449,90K","-1,26%"
"21/05/2020","359,85","356,55","362,20","355,10","417,30K","-0,53%"
"20/05/2020","361,75","355,65","361,75","352,70","515,79K","1,19%"
"19/05/2020","357,50","355,00","359,45","349,95","933,64K","2,13%"
"18/05/2020","350,05","336,15","351,50","334,55","768,35K","6,00%"
"15/05/2020","330,25","333,75","335,55","327,70","608,57K","-0,23%"
"14/05/2020","331,00","330,10","333,20","324,30","727,90K","-1,21%"
"13/05/2020","335,05","343,50","344,15","333,20","619,81K","-3,40%"
"12/05/2020","346,85","346,75","350,55","346,55","355,70K","-0,59%"
"11/05/2020","348,90","355,00","356,00","345,90","340,32K","-0,95%"
"08/05/2020","352,25","350,00","354,40","349,05","388,99K","1,94%"
"07/05/2020","345,55","339,25","347,45","338,50","459,32K","2,72%"
"06/05/2020","336,40","342,55","344,00","335,70","451,64K","-1,78%"
"05/05/2020","342,50","342,00","343,70","336,80","523,20K","1,17%"
"04/05/2020","338,55","345,00","345,80","332,95","935,41K","-3,94%"
"30/04/2020","352,45","361,60","362,85","351,40","826,05K","-2,04%"
"29/04/2020","359,80","356,50","359,80","350,05","542,48K","0,78%"
"28/04/2020","357,00","350,55","360,55","348,35","537,05K","1,72%"
"27/04/2020","350,95","347,30","350,95","346,15","416,67K","2,96%"
"24/04/2020","340,85","344,00","348,25","340,85","487,27K","-2,24%"
"23/04/2020","348,65","358,00","358,00","345,50","457,68K","-1,36%"
"22/04/2020","353,45","353,00","354,65","347,80","461,39K","0,99%"
"21/04/2020","350,00","353,35","356,75","349,05","661,02K","-2,90%"
"20/04/2020","360,45","364,25","364,30","352,45","688,27K","0,68%"
"17/04/2020","358,00","360,00","363,30","357,15","1,23M","4,43%"
"16/04/2020","342,80","343,40","348,20","339,70","698,90K","0,23%"
"15/04/2020","342,00","352,00","352,05","337,95","743,85K","-2,84%"
"14/04/2020","352,00","351,20","355,10","348,50","634,00K","1,32%"
"09/04/2020","347,40","351,00","351,15","338,90","697,15K","1,22%"
"08/04/2020","343,20","349,45","350,00","339,70","466,78K","-0,38%"
"07/04/2020","344,50","350,00","354,45","342,65","814,97K","1,40%"
"06/04/2020","339,75","336,50","346,60","334,40","770,04K","4,52%"
"03/04/2020","325,05","323,55","328,95","320,05","507,46K","-0,09%"
"02/04/2020","325,35","326,15","328,25","316,10","697,47K","0,22%"
"01/04/2020","324,65","328,00","332,55","321,10","1,04M","-4,08%"
"31/03/2020","338,45","355,00","355,95","335,80","1,01M","-3,30%"
"30/03/2020","350,00","348,60","350,00","333,05","711,28K","2,44%"
"27/03/2020","341,65","351,40","355,90","335,80","1,07M","-6,06%"
"26/03/2020","363,70","350,50","363,70","341,15","1,25M","0,06%"
"25/03/2020","363,50","349,30","363,50","338,65","1,33M","7,18%"
"24/03/2020","339,15","324,05","342,00","320,20","1,46M","8,91%"
"23/03/2020","311,40","300,00","318,80","300,00","1,22M","0,13%"
"20/03/2020","311,00","315,55","323,10","307,30","2,00M","5,44%"
"19/03/2020","294,95","291,30","299,00","282,15","1,33M","2,43%"
"18/03/2020","287,95","296,10","304,75","285,15","1,60M","-7,49%"
"17/03/2020","311,25","307,00","316,00","297,20","1,97M","4,59%"
"16/03/2020","297,60","292,00","305,75","278,70","2,80M","-5,49%"
"13/03/2020","314,90","316,55","338,35","309,60","2,33M","4,44%"
"12/03/2020","301,50","307,10","317,30","295,00","3,10M","-8,68%"
"11/03/2020","330,15","337,20","340,30","329,80","1,57M","-1,39%"
"10/03/2020","334,80","342,30","357,95","332,80","1,61M","-0,95%"
"09/03/2020","338,00","340,75","344,15","331,05","2,44M","-6,20%"
"06/03/2020","360,35","365,00","370,25","355,95","1,52M","-3,79%"
"05/03/2020","374,55","388,00","388,00","373,80","911,97K","-2,76%"
"04/03/2020","385,20","378,25","387,00","374,85","918,25K","2,08%"
"03/03/2020","377,35","385,00","388,80","376,00","1,36M","0,33%"
"02/03/2020","376,10","385,00","385,00","361,10","1,69M","1,42%"
"28/02/2020","370,85","355,75","373,35","353,15","2,35M","0,27%"
"27/02/2020","369,85","375,00","377,50","362,65","1,80M","-4,00%"
"26/02/2020","385,25","377,00","386,95","368,05","1,16M","1,37%"
"25/02/2020","380,05","387,55","389,05","380,05","1,08M","-1,45%"
"24/02/2020","385,65","384,20","391,95","375,25","1,63M","-4,66%"
"21/02/2020","404,50","407,95","411,95","403,20","719,45K","-1,29%"
"20/02/2020","409,80","419,05","419,50","409,80","506,68K","-2,21%"
"19/02/2020","419,05","412,35","419,05","407,60","541,05K","2,49%"
"18/02/2020","408,85","409,90","411,00","407,75","552,57K","-1,34%"
"17/02/2020","414,40","415,75","418,60","414,05","310,15K","-0,13%"
"14/02/2020","414,95","421,00","421,50","414,95","439,40K","-1,57%"
"13/02/2020","421,55","421,55","423,45","416,05","564,01K","-0,74%"
"12/02/2020","424,70","414,10","424,70","412,80","646,87K","3,00%"
"11/02/2020","412,35","416,05","417,70","411,10","485,46K","-0,29%"
"10/02/2020","413,55","411,00","414,45","409,70","538,24K","-0,10%"
"07/02/2020","413,95","414,15","417,15","409,00","557,45K","-0,98%"
"06/02/2020","418,05","418,35","420,10","412,05","576,99K","0,73%"
"05/02/2020","415,00","408,55","418,70","406,35","851,04K","1,07%"
"04/02/2020","410,60","400,00","410,60","399,45","721,60K","3,49%"
"03/02/2020","396,75","394,65","399,20","391,05","561,46K","0,37%"
