"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","94,32","93,50","96,08","93,38","746,99K","1,42%"
"01/06/2020","93,00","92,56","93,16","90,18","507,80K","2,36%"
"29/05/2020","90,86","92,90","93,40","90,30","1,07M","-3,53%"
"28/05/2020","94,18","95,40","95,94","93,72","639,09K","0,49%"
"27/05/2020","93,72","88,26","94,94","87,60","912,53K","6,04%"
"26/05/2020","88,38","89,00","89,50","87,62","569,20K","0,41%"
"25/05/2020","88,02","87,68","88,10","86,68","181,16K","1,43%"
"22/05/2020","86,78","84,70","87,64","84,22","312,72K","1,02%"
"21/05/2020","85,90","85,70","87,40","84,62","339,03K","-0,88%"
"20/05/2020","86,66","87,30","88,20","85,52","520,83K","-1,75%"
"19/05/2020","88,20","89,28","90,10","87,30","718,69K","-0,45%"
"18/05/2020","88,60","83,66","88,60","83,66","495,39K","7,81%"
"15/05/2020","82,18","82,22","83,82","81,08","376,92K","0,96%"
"14/05/2020","81,40","82,20","82,58","79,20","445,72K","-2,42%"
"13/05/2020","83,42","86,02","86,36","82,94","371,39K","-4,05%"
"12/05/2020","86,94","87,02","87,36","86,50","248,15K","-0,21%"
"11/05/2020","87,12","89,66","90,44","86,98","300,26K","-2,42%"
"08/05/2020","89,28","88,40","90,40","87,58","187,72K","2,20%"
"07/05/2020","87,36","86,46","88,06","84,94","314,09K","1,04%"
"06/05/2020","86,46","86,00","87,86","85,36","372,27K","0,82%"
"05/05/2020","85,76","85,16","85,98","84,32","296,97K","2,31%"
"04/05/2020","83,82","85,22","85,94","83,36","466,66K","-5,93%"
"30/04/2020","89,10","91,92","93,60","88,56","628,54K","-1,13%"
"29/04/2020","90,12","87,52","90,72","87,40","407,66K","2,97%"
"28/04/2020","87,52","86,92","90,00","86,46","436,37K","-0,41%"
"27/04/2020","87,88","84,66","88,18","83,82","479,49K","6,65%"
"24/04/2020","82,40","80,18","84,12","79,64","332,22K","0,19%"
"23/04/2020","82,24","83,88","84,88","81,94","400,66K","-1,84%"
"22/04/2020","83,78","85,64","85,72","83,14","341,97K","-1,04%"
"21/04/2020","84,66","85,84","87,58","84,60","362,60K","-2,62%"
"20/04/2020","86,94","88,98","89,04","86,60","411,87K","-1,94%"
"17/04/2020","88,66","85,84","90,48","85,32","667,32K","5,22%"
