"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","10,98","10,92","11,03","10,81","9,64M","-0,54%"
"01/06/2020","11,04","10,97","11,10","10,91","5,83M","1,80%"
"29/05/2020","10,85","10,74","11,02","10,70","11,84M","0,60%"
"28/05/2020","10,78","10,53","10,81","10,52","9,41M","3,16%"
"27/05/2020","10,45","10,24","10,73","10,22","10,05M","2,45%"
"26/05/2020","10,20","10,45","10,48","10,15","11,65M","-1,88%"
"25/05/2020","10,40","10,35","10,43","10,27","3,48M","1,12%"
"22/05/2020","10,28","10,17","10,32","10,14","5,00M","-0,19%"
"21/05/2020","10,30","10,26","10,32","10,22","4,82M","-0,39%"
"20/05/2020","10,34","10,13","10,34","10,06","7,21M","1,77%"
"19/05/2020","10,16","10,64","10,65","10,11","10,86M","-3,56%"
"18/05/2020","10,53","10,20","10,54","10,19","7,28M","4,15%"
"15/05/2020","10,11","10,28","10,39","10,06","10,20M","-1,12%"
"14/05/2020","10,23","10,38","10,53","10,11","8,74M","-1,63%"
"13/05/2020","10,40","10,58","10,58","10,38","6,46M","-2,53%"
"12/05/2020","10,67","10,66","10,84","10,57","5,83M","0,33%"
"11/05/2020","10,64","10,76","10,80","10,53","3,69M","-0,84%"
"08/05/2020","10,73","10,82","10,84","10,69","3,11M","0,33%"
"07/05/2020","10,69","10,73","10,84","10,65","4,83M","-0,33%"
"06/05/2020","10,73","10,91","10,93","10,69","5,43M","-1,52%"
"05/05/2020","10,89","10,86","11,04","10,80","7,13M","1,07%"
"04/05/2020","10,77","10,97","10,97","10,72","8,92M","-3,23%"
"30/04/2020","11,14","11,30","11,43","11,06","9,80M","-0,58%"
"29/04/2020","11,20","11,16","11,26","11,03","7,57M","-0,44%"
"28/04/2020","11,25","11,28","11,35","11,10","7,36M","-0,62%"
"27/04/2020","11,32","11,31","11,40","11,27","3,40M","1,21%"
"24/04/2020","11,19","11,05","11,44","11,02","5,04M","-1,11%"
"23/04/2020","11,31","11,44","11,45","11,13","4,39M","0,04%"
"22/04/2020","11,31","11,16","11,45","11,15","6,30M","2,68%"
"21/04/2020","11,01","11,44","11,45","11,01","7,06M","-4,34%"
"20/04/2020","11,51","11,37","11,51","11,19","6,28M","1,28%"
"17/04/2020","11,36","11,36","11,52","11,27","8,40M","1,84%"
"16/04/2020","11,16","11,31","11,39","11,11","6,76M","-1,37%"
"15/04/2020","11,31","11,42","11,65","11,19","6,68M","-2,88%"
"14/04/2020","11,65","11,55","11,66","11,40","8,14M","2,51%"
"09/04/2020","11,36","11,50","11,52","11,05","8,48M","-0,87%"
"08/04/2020","11,47","11,15","11,47","11,15","5,43M","1,19%"
"07/04/2020","11,33","11,58","11,68","11,16","9,39M","-0,44%"
"06/04/2020","11,38","11,14","11,49","11,10","7,31M","3,60%"
"03/04/2020","10,98","10,98","11,06","10,86","5,17M","-0,59%"
"02/04/2020","11,05","10,97","11,05","10,62","8,49M","1,61%"
"01/04/2020","10,88","10,90","11,13","10,70","10,29M","-2,33%"
"31/03/2020","11,14","11,24","11,39","10,95","9,73M","-0,67%"
"30/03/2020","11,21","10,83","11,30","10,74","8,72M","2,51%"
"27/03/2020","10,94","11,19","11,37","10,70","10,59M","-4,62%"
"26/03/2020","11,47","11,11","11,59","10,81","12,47M","0,31%"
"25/03/2020","11,43","11,69","11,88","11,02","11,29M","-1,89%"
"24/03/2020","11,65","11,57","11,69","11,22","12,25M","4,11%"
"23/03/2020","11,19","11,35","11,55","11,00","13,89M","0,49%"
"20/03/2020","11,14","11,60","11,75","11,07","21,54M","1,83%"
"19/03/2020","10,94","10,35","11,60","10,32","16,33M","4,34%"
"18/03/2020","10,48","10,46","11,35","10,22","22,09M","0,19%"
"17/03/2020","10,46","10,12","10,56","9,05","24,28M","11,28%"
"16/03/2020","9,40","9,24","9,53","8,84","28,13M","-2,19%"
"13/03/2020","9,61","9,82","10,42","9,48","30,08M","0,00%"
"12/03/2020","9,61","9,90","10,32","9,52","34,56M","-10,35%"
"11/03/2020","10,72","10,96","11,12","10,68","16,93M","-1,20%"
"10/03/2020","10,85","11,37","11,59","10,82","21,50M","-3,98%"
"09/03/2020","11,30","11,54","11,73","11,29","26,36M","-6,61%"
"06/03/2020","12,10","12,20","12,39","12,04","13,99M","-1,94%"
"05/03/2020","12,34","12,55","12,59","12,30","10,05M","-1,59%"
"04/03/2020","12,54","12,12","12,57","12,06","14,40M","3,47%"
"03/03/2020","12,12","12,29","12,37","12,05","14,67M","-0,49%"
"02/03/2020","12,18","12,31","12,40","11,97","17,24M","-0,08%"
"28/02/2020","12,19","12,52","12,54","11,97","26,85M","-4,24%"
"27/02/2020","12,73","12,71","12,97","12,69","17,41M","-1,39%"
"26/02/2020","12,91","12,96","12,96","12,74","12,57M","-0,39%"
"25/02/2020","12,96","13,29","13,30","12,90","11,66M","-2,04%"
"24/02/2020","13,23","13,37","13,40","13,12","14,68M","-1,56%"
"21/02/2020","13,44","13,40","13,45","13,33","5,75M","0,00%"
"20/02/2020","13,44","13,44","13,54","13,38","6,49M","-0,15%"
"19/02/2020","13,46","13,48","13,54","13,39","6,75M","0,22%"
"18/02/2020","13,43","13,39","13,43","13,32","7,20M","0,37%"
"17/02/2020","13,38","13,42","13,44","13,35","4,98M","0,15%"
"14/02/2020","13,36","13,30","13,52","13,28","10,78M","0,68%"
"13/02/2020","13,27","13,07","13,27","13,00","16,49M","3,27%"
"12/02/2020","12,85","12,70","12,90","12,69","10,66M","1,18%"
"11/02/2020","12,70","12,82","12,86","12,70","8,02M","-0,63%"
"10/02/2020","12,78","12,79","12,83","12,71","3,87M","-0,08%"
"07/02/2020","12,79","12,72","12,79","12,71","5,36M","0,24%"
"06/02/2020","12,76","12,62","12,83","12,62","7,86M","1,19%"
"05/02/2020","12,61","12,57","12,68","12,56","9,03M","-0,16%"
"04/02/2020","12,63","12,74","12,79","12,54","9,84M","-1,33%"
"03/02/2020","12,80","12,80","12,88","12,79","5,87M","0,00%"
"31/01/2020","12,80","12,90","12,96","12,76","7,55M","-0,62%"
"30/01/2020","12,88","12,90","12,92","12,80","7,88M","-0,62%"
"29/01/2020","12,96","13,04","13,11","12,90","7,71M","-1,07%"
"28/01/2020","13,10","12,98","13,20","12,94","8,38M","1,16%"
"27/01/2020","12,95","13,00","13,06","12,90","8,51M","-1,07%"
"24/01/2020","13,09","13,12","13,16","13,04","5,68M","0,23%"
"23/01/2020","13,06","13,13","13,13","13,01","7,14M","-0,53%"
"22/01/2020","13,13","13,14","13,19","13,06","6,03M","0,23%"
"21/01/2020","13,10","13,06","13,12","12,98","6,03M","0,31%"
"20/01/2020","13,06","13,04","13,11","12,97","4,01M","0,23%"
"17/01/2020","13,03","12,85","13,03","12,81","10,07M","1,32%"
"16/01/2020","12,86","12,94","12,95","12,77","12,09M","-1,30%"
"15/01/2020","13,03","13,04","13,07","12,97","5,47M","-0,08%"
"14/01/2020","13,04","13,06","13,12","12,96","6,33M","-0,08%"
"13/01/2020","13,05","13,12","13,15","13,00","6,61M","-0,53%"
"10/01/2020","13,12","13,20","13,22","13,07","6,47M","-0,23%"
"09/01/2020","13,15","13,20","13,27","13,13","8,94M","0,31%"
"08/01/2020","13,11","13,17","13,21","13,11","7,07M","-0,68%"
"07/01/2020","13,20","13,25","13,30","13,18","5,67M","0,08%"
"06/01/2020","13,19","13,24","13,26","13,15","5,00M","-0,53%"
"03/01/2020","13,26","13,15","13,29","13,13","5,61M","0,61%"
"02/01/2020","13,18","13,27","13,29","13,18","5,80M","0,46%"
