"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","261,20","260,10","263,80","259,10","553,46K","0,93%"
"01/06/2020","258,80","264,00","264,70","257,50","528,95K","-1,18%"
"29/05/2020","261,90","260,00","263,50","255,40","944,07K","0,65%"
"28/05/2020","260,20","252,60","261,60","251,10","782,29K","3,50%"
"27/05/2020","251,40","248,30","251,40","244,80","754,99K","1,17%"
"26/05/2020","248,50","253,50","253,70","246,30","486,11K","-1,04%"
"25/05/2020","251,10","250,20","251,10","247,40","246,27K","1,21%"
"22/05/2020","248,10","245,00","248,70","243,40","396,69K","-0,08%"
"21/05/2020","248,30","251,80","251,90","247,60","322,84K","-1,97%"
"20/05/2020","253,30","247,90","254,00","245,70","530,87K","2,01%"
"19/05/2020","248,30","254,40","254,50","245,70","795,89K","-0,80%"
"18/05/2020","250,30","248,10","253,60","245,30","479,41K","3,13%"
"15/05/2020","242,70","241,70","244,60","240,00","467,10K","0,54%"
"14/05/2020","241,40","241,00","245,10","239,10","575,67K","-1,63%"
"13/05/2020","245,40","250,40","252,40","243,20","442,63K","-3,12%"
"12/05/2020","253,30","255,40","257,80","250,90","334,96K","-1,02%"
"11/05/2020","255,90","254,20","256,50","251,50","304,90K","0,95%"
"08/05/2020","253,50","249,80","254,80","248,30","288,75K","1,81%"
"07/05/2020","249,00","243,50","249,00","243,00","362,43K","2,47%"
"06/05/2020","243,00","248,90","250,50","243,00","459,21K","-2,10%"
"05/05/2020","248,20","252,00","252,90","247,00","581,63K","-0,80%"
"04/05/2020","250,20","255,00","257,50","246,80","897,57K","-5,69%"
"30/04/2020","265,30","256,80","265,30","254,30","900,07K","3,55%"
"29/04/2020","256,20","255,00","257,80","251,80","586,86K","0,71%"
"28/04/2020","254,40","245,20","254,70","243,30","549,91K","3,33%"
"27/04/2020","246,20","245,70","248,50","242,70","396,76K","1,19%"
"24/04/2020","243,30","242,20","245,50","241,60","422,75K","-1,02%"
"23/04/2020","245,80","247,80","249,00","243,70","353,59K","-0,93%"
"22/04/2020","248,10","245,40","250,40","245,10","483,39K","0,94%"
"21/04/2020","245,80","255,00","256,00","245,60","514,51K","-3,87%"
"20/04/2020","255,70","248,00","255,70","245,10","526,61K","3,27%"
"17/04/2020","247,60","256,20","256,80","244,40","876,93K","1,27%"
"16/04/2020","244,50","246,90","248,50","236,40","631,99K","-0,57%"
"15/04/2020","245,90","250,00","254,50","244,60","617,54K","-1,84%"
"14/04/2020","250,50","247,20","255,90","245,80","560,10K","2,33%"
"09/04/2020","244,80","247,00","249,30","240,20","593,29K","0,99%"
"08/04/2020","242,40","234,20","242,40","233,20","520,81K","1,00%"
"07/04/2020","240,00","239,10","240,50","233,30","728,07K","1,95%"
"06/04/2020","235,40","241,60","243,50","234,40","671,01K","-0,38%"
"03/04/2020","236,30","237,30","240,90","234,60","510,86K","-0,71%"
