"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","142,55","142,70","144,75","142,20","347,26K","0,56%"
"01/06/2020","141,75","141,45","143,15","141,25","258,23K","1,18%"
"29/05/2020","140,10","143,05","143,50","139,75","613,36K","-2,27%"
"28/05/2020","143,35","141,75","144,40","141,25","464,04K","1,70%"
"27/05/2020","140,95","139,10","141,15","138,20","557,93K","1,62%"
"26/05/2020","138,70","137,75","139,40","136,65","400,38K","1,54%"
"25/05/2020","136,60","134,20","137,40","133,80","223,89K","2,75%"
"22/05/2020","132,95","132,60","133,30","131,05","361,18K","-0,82%"
"21/05/2020","134,05","133,45","135,20","132,25","282,76K","0,04%"
"20/05/2020","134,00","132,55","134,15","132,00","495,64K","1,09%"
"19/05/2020","132,55","133,35","134,55","131,75","582,23K","0,53%"
"18/05/2020","131,85","128,20","132,25","128,20","369,42K","3,70%"
"15/05/2020","127,15","126,25","128,60","126,05","420,62K","1,15%"
"14/05/2020","125,70","127,60","129,10","125,70","470,30K","-3,01%"
"13/05/2020","129,60","133,00","133,00","128,80","469,04K","-3,10%"
"12/05/2020","133,75","134,50","135,20","133,65","285,54K","-0,93%"
"11/05/2020","135,00","136,95","137,70","134,65","272,29K","-1,24%"
"08/05/2020","136,70","135,95","136,95","134,75","176,41K","1,37%"
"07/05/2020","134,85","132,75","134,85","132,70","240,97K","1,74%"
"06/05/2020","132,55","133,50","134,60","132,55","273,96K","-0,56%"
"05/05/2020","133,30","137,30","137,85","132,55","413,17K","-2,13%"
"04/05/2020","136,20","136,25","137,95","135,35","403,97K","-2,08%"
"30/04/2020","139,10","138,15","141,15","137,20","370,25K","0,83%"
"29/04/2020","137,95","134,85","139,05","134,40","348,41K","1,70%"
"28/04/2020","135,65","136,70","137,50","134,60","489,02K","-0,99%"
"27/04/2020","137,00","136,55","138,10","136,40","236,75K","1,48%"
"24/04/2020","135,00","134,35","136,15","133,00","388,69K","-2,00%"
"23/04/2020","137,75","139,50","140,10","135,80","315,64K","0,92%"
"22/04/2020","136,50","139,50","140,10","136,10","333,00K","-1,23%"
"21/04/2020","138,20","139,25","140,50","138,20","310,67K","-1,60%"
"20/04/2020","140,45","140,20","142,70","139,10","216,57K","0,36%"
"17/04/2020","139,95","139,00","140,85","137,90","500,96K","2,15%"
"16/04/2020","137,00","136,30","137,95","134,60","327,40K","1,37%"
"15/04/2020","135,15","137,05","139,60","134,35","542,60K","-1,39%"
"14/04/2020","137,05","141,00","141,00","136,45","475,31K","-1,76%"
"09/04/2020","139,50","134,80","140,65","134,70","651,88K","4,03%"
"08/04/2020","134,10","133,50","135,25","133,40","413,22K","-0,89%"
"07/04/2020","135,30","138,25","138,35","133,25","537,57K","0,74%"
"06/04/2020","134,30","130,50","135,25","128,40","668,54K","5,91%"
"03/04/2020","126,80","127,90","128,25","125,15","544,08K","-0,86%"
"02/04/2020","127,90","131,10","131,25","126,85","679,42K","-0,54%"
"01/04/2020","128,60","127,00","132,95","125,95","737,72K","-0,66%"
"31/03/2020","129,45","132,80","133,25","126,85","781,19K","-0,99%"
"30/03/2020","130,75","130,25","131,40","126,30","461,11K","0,62%"
"27/03/2020","129,95","131,25","134,85","129,15","604,26K","-3,92%"
"26/03/2020","135,25","130,00","137,70","129,20","695,43K","1,81%"
"25/03/2020","132,85","129,75","133,55","127,35","656,10K","4,07%"
"24/03/2020","127,65","124,30","129,00","122,90","850,22K","3,61%"
"23/03/2020","123,20","122,45","125,70","118,30","962,38K","-3,07%"
"20/03/2020","127,10","132,15","132,15","122,60","1,01M","3,67%"
"19/03/2020","122,60","125,35","127,85","116,75","877,41K","0,20%"
"18/03/2020","122,35","117,15","127,40","116,45","1,01M","1,33%"
"17/03/2020","120,75","126,35","127,85","117,60","1,16M","-1,07%"
"16/03/2020","122,05","116,00","124,45","112,25","1,68M","-0,04%"
"13/03/2020","122,10","125,60","130,60","120,50","1,93M","-1,37%"
"12/03/2020","123,80","130,80","132,25","122,60","1,65M","-9,83%"
"11/03/2020","137,30","140,75","141,45","137,10","1,11M","-1,93%"
"10/03/2020","140,00","145,40","147,75","138,55","1,38M","-3,05%"
"09/03/2020","144,40","145,00","147,75","142,10","1,27M","-3,89%"
"06/03/2020","150,25","149,55","151,25","147,70","933,90K","-1,35%"
"05/03/2020","152,30","150,80","153,05","150,40","636,73K","1,63%"
"04/03/2020","149,85","149,35","151,55","147,85","607,04K","0,37%"
"03/03/2020","149,30","151,50","152,35","148,85","739,96K","0,03%"
"02/03/2020","149,25","153,70","155,15","146,60","1,07M","1,95%"
"28/02/2020","146,40","148,85","151,15","144,55","1,43M","-3,62%"
"27/02/2020","151,90","153,35","155,35","150,55","765,12K","-2,60%"
"26/02/2020","155,95","156,15","156,75","152,60","734,69K","-0,38%"
"25/02/2020","156,55","159,95","160,30","155,95","798,17K","-1,76%"
"24/02/2020","159,35","161,95","161,95","158,20","755,28K","-3,69%"
"21/02/2020","165,45","164,65","166,85","164,15","433,23K","0,06%"
"20/02/2020","165,35","168,30","168,80","165,35","486,72K","-2,19%"
"19/02/2020","169,05","166,65","170,40","166,55","745,27K","1,53%"
"18/02/2020","166,50","165,10","167,25","164,95","532,10K","0,06%"
"17/02/2020","166,40","165,35","167,50","165,35","540,15K","0,24%"
"14/02/2020","166,00","166,00","166,55","163,35","778,78K","-0,45%"
"13/02/2020","166,75","158,00","166,95","158,00","879,56K","3,80%"
"12/02/2020","160,65","160,00","161,30","159,80","465,03K","0,41%"
"11/02/2020","160,00","160,85","162,60","160,00","357,38K","-0,50%"
"10/02/2020","160,80","161,05","161,40","159,80","388,65K","-0,31%"
"07/02/2020","161,30","161,40","162,70","160,85","449,15K","-0,06%"
"06/02/2020","161,40","159,35","161,95","158,75","482,20K","1,96%"
"05/02/2020","158,30","158,80","159,45","157,90","508,73K","-0,63%"
"04/02/2020","159,30","158,40","160,10","157,85","583,66K","1,46%"
"03/02/2020","157,00","157,00","157,65","155,45","579,97K","0,32%"
"31/01/2020","156,50","157,15","157,30","154,75","482,92K","-0,03%"
"30/01/2020","156,55","158,35","158,35","156,05","479,25K","-1,20%"
"29/01/2020","158,45","157,65","159,10","157,30","334,88K","0,28%"
"28/01/2020","158,00","158,65","159,20","156,40","586,63K","-0,38%"
"27/01/2020","158,60","161,10","162,15","158,50","763,09K","-3,41%"
"24/01/2020","164,20","164,65","167,65","162,30","797,82K","-0,97%"
"23/01/2020","165,80","166,75","167,85","165,80","332,95K","-0,96%"
