"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","13,60","13,50","14,06","13,47","5,23M","1,57%"
"01/06/2020","13,40","13,28","13,48","13,06","4,29M","4,61%"
"29/05/2020","12,81","13,11","13,24","12,67","8,80M","-4,65%"
"28/05/2020","13,43","14,00","14,19","13,31","6,09M","-1,10%"
"27/05/2020","13,58","13,00","14,12","12,92","10,25M","4,91%"
"26/05/2020","12,94","12,60","13,03","12,52","8,04M","5,76%"
"25/05/2020","12,24","11,91","12,24","11,64","3,80M","6,20%"
"22/05/2020","11,52","11,22","11,88","11,09","4,59M","1,19%"
"21/05/2020","11,39","11,40","11,77","11,10","4,86M","-1,94%"
"20/05/2020","11,61","11,57","11,65","10,73","5,95M","0,30%"
"19/05/2020","11,58","12,39","12,47","11,24","8,94M","-5,62%"
"18/05/2020","12,27","11,86","12,31","11,73","3,31M","6,56%"
"15/05/2020","11,52","11,66","11,80","11,10","3,80M","0,83%"
"14/05/2020","11,42","12,00","12,01","11,04","4,09M","-5,23%"
"13/05/2020","12,05","12,70","12,70","12,05","2,47M","-5,97%"
"12/05/2020","12,81","13,06","13,14","12,81","2,23M","-2,47%"
"11/05/2020","13,14","13,63","13,70","13,08","1,70M","-2,12%"
"08/05/2020","13,43","13,16","13,52","12,99","1,62M","3,75%"
"07/05/2020","12,94","13,21","13,31","12,90","2,25M","-0,99%"
"06/05/2020","13,07","13,05","13,44","12,88","1,79M","0,42%"
"05/05/2020","13,02","13,06","13,20","12,77","2,33M","3,54%"
"04/05/2020","12,57","12,85","12,94","12,40","3,31M","-3,86%"
"30/04/2020","13,07","13,86","14,08","12,95","3,90M","-4,42%"
"29/04/2020","13,68","13,14","13,76","12,74","3,09M","5,23%"
"28/04/2020","13,00","12,65","13,18","12,42","2,92M","3,26%"
"27/04/2020","12,59","12,90","12,94","12,44","2,04M","1,66%"
"24/04/2020","12,39","12,05","12,71","12,01","2,81M","-0,12%"
"23/04/2020","12,40","12,52","12,76","12,31","2,84M","0,16%"
"22/04/2020","12,38","11,94","12,53","11,81","3,74M","5,86%"
"21/04/2020","11,69","11,60","12,12","11,36","3,99M","0,26%"
"20/04/2020","11,66","11,87","11,94","11,50","3,20M","-0,30%"
"17/04/2020","11,70","11,82","11,85","11,39","5,95M","3,59%"
"16/04/2020","11,30","11,80","12,17","11,20","4,03M","-3,87%"
"15/04/2020","11,75","12,63","12,72","11,75","3,70M","-6,97%"
"14/04/2020","12,63","13,82","13,86","12,34","4,29M","-5,85%"
"09/04/2020","13,41","13,85","13,89","12,94","3,06M","0,64%"
"08/04/2020","13,33","13,55","13,84","13,11","3,28M","-2,27%"
"07/04/2020","13,64","13,44","14,23","13,44","5,47M","5,94%"
"06/04/2020","12,88","12,69","13,27","12,40","4,55M","8,97%"
"03/04/2020","11,81","11,95","12,15","11,76","2,33M","-0,38%"
"02/04/2020","11,86","11,44","12,02","11,33","3,66M","4,26%"
"01/04/2020","11,38","12,00","12,03","11,33","3,76M","-6,49%"
"31/03/2020","12,16","12,01","12,25","11,81","5,32M","3,36%"
"30/03/2020","11,77","12,01","12,17","11,50","3,00M","-2,45%"
"27/03/2020","12,06","12,27","12,43","11,81","3,21M","-4,17%"
"26/03/2020","12,59","11,90","12,60","11,72","3,74M","2,36%"
"25/03/2020","12,30","12,80","13,33","11,70","4,97M","2,76%"
"24/03/2020","11,97","11,62","11,97","11,14","5,23M","10,63%"
"23/03/2020","10,82","10,76","11,16","10,31","6,27M","-4,33%"
"20/03/2020","11,31","10,74","11,31","10,04","9,10M","12,71%"
"19/03/2020","10,03","9,70","10,48","8,88","7,29M","4,97%"
"18/03/2020","9,56","11,07","11,38","9,56","8,16M","-13,09%"
"17/03/2020","11,00","11,66","12,09","10,00","9,11M","-0,36%"
"16/03/2020","11,04","11,46","11,46","9,76","10,74M","-7,15%"
"13/03/2020","11,89","12,08","13,45","11,65","11,04M","2,94%"
"12/03/2020","11,55","13,00","13,56","11,40","12,72M","-18,09%"
"11/03/2020","14,10","14,38","14,66","13,97","6,81M","1,51%"
"10/03/2020","13,89","14,74","15,10","13,84","10,85M","-2,94%"
"09/03/2020","14,31","14,75","14,84","14,31","11,63M","-11,39%"
"06/03/2020","16,15","16,38","16,38","15,87","8,53M","-3,24%"
"05/03/2020","16,69","17,37","17,37","16,64","5,39M","-2,45%"
"04/03/2020","17,11","17,08","17,28","16,80","5,13M","1,06%"
"03/03/2020","16,93","17,20","17,59","16,91","7,19M","1,07%"
"02/03/2020","16,75","17,81","17,91","16,41","7,13M","-4,29%"
"28/02/2020","17,50","17,50","17,80","17,16","8,76M","-3,74%"
"27/02/2020","18,18","18,11","18,43","17,74","7,74M","-1,84%"
"26/02/2020","18,52","18,00","19,06","17,52","9,28M","4,75%"
"25/02/2020","17,68","17,97","18,02","17,32","5,71M","-0,67%"
"24/02/2020","17,80","18,50","18,57","17,54","8,24M","-7,00%"
"21/02/2020","19,14","19,32","19,58","18,95","3,38M","-1,49%"
"20/02/2020","19,43","19,50","19,78","19,29","3,45M","-0,36%"
"19/02/2020","19,50","19,40","19,50","19,12","2,49M","0,83%"
"18/02/2020","19,34","19,25","19,39","19,05","3,58M","-1,12%"
"17/02/2020","19,56","19,65","19,95","19,54","2,04M","0,98%"
"14/02/2020","19,37","19,79","20,02","19,34","2,42M","-1,68%"
"13/02/2020","19,70","19,89","19,93","19,52","3,56M","-2,09%"
"12/02/2020","20,12","19,15","20,17","19,15","4,43M","4,96%"
"11/02/2020","19,17","19,25","19,61","19,00","3,76M","1,16%"
"10/02/2020","18,95","19,18","19,46","18,84","3,08M","-2,32%"
"07/02/2020","19,40","19,80","19,80","19,09","4,03M","-2,41%"
"06/02/2020","19,88","19,78","20,45","19,76","4,80M","1,53%"
"05/02/2020","19,58","19,16","19,80","19,00","4,07M","1,98%"
"04/02/2020","19,20","19,05","19,41","18,83","3,47M","1,59%"
"03/02/2020","18,90","18,60","18,98","18,55","3,23M","1,56%"
"31/01/2020","18,61","19,08","19,09","18,59","6,01M","-2,67%"
"30/01/2020","19,12","19,09","19,23","18,95","3,98M","-1,39%"
"29/01/2020","19,39","19,10","19,45","18,95","3,42M","1,36%"
"28/01/2020","19,13","18,90","19,14","18,59","3,13M","2,14%"
"27/01/2020","18,73","19,00","19,05","18,54","4,67M","-2,80%"
"24/01/2020","19,27","19,38","19,54","19,18","4,03M","0,78%"
"23/01/2020","19,12","19,29","19,39","18,98","2,78M","-1,60%"
"22/01/2020","19,43","19,59","19,93","19,35","2,40M","-0,46%"
"21/01/2020","19,52","19,65","19,86","19,52","2,57M","-1,21%"
"20/01/2020","19,76","19,91","19,95","19,68","1,44M","-0,20%"
"17/01/2020","19,80","20,10","20,19","19,80","2,30M","-0,60%"
"16/01/2020","19,92","19,96","20,25","19,70","3,59M","-0,20%"
"15/01/2020","19,96","20,50","20,53","19,93","3,63M","-2,63%"
"14/01/2020","20,50","20,68","20,71","20,40","2,96M","-0,92%"
"13/01/2020","20,69","21,00","21,00","20,54","2,07M","-0,86%"
"10/01/2020","20,87","20,90","21,22","20,79","2,48M","-0,10%"
"09/01/2020","20,89","21,30","21,38","20,79","2,78M","-0,24%"
"08/01/2020","20,94","21,05","21,19","20,78","2,27M","-1,13%"
"07/01/2020","21,18","21,06","21,33","21,03","3,11M","0,95%"
"06/01/2020","20,98","21,01","21,05","20,53","2,49M","-1,59%"
"03/01/2020","21,32","21,50","21,68","21,12","2,28M","-1,93%"
"02/01/2020","21,74","21,41","22,01","21,41","1,88M","2,07%"
"31/12/2019","21,30","21,50","21,55","21,30","860,56K","-1,25%"
"30/12/2019","21,57","21,74","21,80","21,54","1,53M","-1,15%"
"27/12/2019","21,82","21,81","22,00","21,80","1,62M","-0,05%"
"24/12/2019","21,83","22,00","22,00","21,77","468,96K","-0,73%"
"23/12/2019","21,99","22,14","22,16","21,78","2,17M","-1,21%"
"20/12/2019","22,26","22,28","22,40","22,15","4,48M","-0,18%"
"19/12/2019","22,30","22,55","22,59","22,13","4,25M","-0,49%"
"18/12/2019","22,41","23,00","23,11","22,32","5,08M","1,36%"
"17/12/2019","22,11","21,88","22,11","21,57","3,34M","0,87%"
"16/12/2019","21,92","22,13","22,16","21,75","2,99M","0,14%"
"13/12/2019","21,89","21,90","22,29","21,74","5,38M","2,24%"
"12/12/2019","21,41","20,92","21,56","20,90","3,21M","2,34%"
"11/12/2019","20,92","20,99","21,19","20,87","2,09M","-0,05%"
"10/12/2019","20,93","21,00","21,06","20,83","2,40M","-0,85%"
"09/12/2019","21,11","21,55","21,62","20,93","2,79M","-1,86%"
"06/12/2019","21,51","21,39","21,54","21,01","2,79M","1,27%"
"05/12/2019","21,24","21,45","21,58","21,24","2,11M","-1,03%"
"04/12/2019","21,46","21,18","21,53","21,18","3,20M","1,47%"
"03/12/2019","21,15","21,52","21,67","21,07","3,32M","-1,76%"
"02/12/2019","21,53","21,99","22,13","21,45","3,31M","-1,78%"
"29/11/2019","21,92","22,10","22,30","21,92","1,88M","-1,44%"
"28/11/2019","22,24","22,35","22,42","22,12","1,11M","-0,85%"
"27/11/2019","22,43","22,46","22,64","22,26","2,24M","0,81%"
"26/11/2019","22,25","22,50","22,60","22,23","2,85M","-0,67%"
"25/11/2019","22,40","22,80","22,85","22,40","2,04M","-0,67%"
"22/11/2019","22,55","22,32","22,72","22,27","3,07M","0,36%"
"21/11/2019","22,47","22,31","22,83","22,00","5,67M","-0,13%"
"20/11/2019","22,50","22,52","22,61","22,37","3,23M","-0,88%"
"19/11/2019","22,70","23,12","23,31","22,67","3,48M","-1,35%"
"18/11/2019","23,01","23,39","23,62","22,80","3,92M","-3,28%"
"15/11/2019","23,79","23,94","24,08","23,71","2,17M","0,68%"
"14/11/2019","23,63","23,67","23,97","23,46","2,50M","-0,71%"
"13/11/2019","23,80","24,33","24,35","23,64","2,46M","-2,10%"
"12/11/2019","24,31","24,19","24,53","24,04","3,21M","1,25%"
"11/11/2019","24,01","24,07","24,16","23,78","2,56M","-0,46%"
"08/11/2019","24,12","23,93","24,13","23,77","2,37M","0,50%"
"07/11/2019","24,00","24,17","24,45","23,96","3,37M","0,00%"
"06/11/2019","24,00","24,50","24,54","23,88","3,39M","-1,68%"
"05/11/2019","24,41","24,32","24,53","24,03","3,24M","1,08%"
