"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","28,49","27,69","28,79","27,42","1,48M","3,22%"
"01/06/2020","27,60","26,03","27,68","25,99","1,11M","8,15%"
"29/05/2020","25,52","26,56","26,81","25,37","1,40M","-4,78%"
"28/05/2020","26,80","27,59","28,31","26,54","1,28M","-2,69%"
"27/05/2020","27,54","25,66","27,54","25,43","1,35M","7,16%"
"26/05/2020","25,70","25,38","26,49","25,26","843,84K","2,31%"
"25/05/2020","25,12","24,92","25,12","24,56","410,47K","2,07%"
"22/05/2020","24,61","23,99","25,13","23,55","778,40K","1,36%"
"21/05/2020","24,28","25,32","25,42","24,28","807,32K","-4,82%"
"20/05/2020","25,51","24,87","25,54","23,76","1,03M","2,20%"
"19/05/2020","24,96","26,00","26,23","24,75","1,15M","-3,52%"
"18/05/2020","25,87","25,41","25,93","25,25","719,31K","2,41%"
"15/05/2020","25,26","24,30","25,36","24,02","749,52K","4,64%"
"14/05/2020","24,14","23,44","24,22","23,18","819,18K","1,90%"
"13/05/2020","23,69","25,50","25,50","23,51","1,15M","-7,71%"
"12/05/2020","25,67","26,09","26,11","25,57","434,84K","-2,13%"
"11/05/2020","26,23","26,70","26,86","25,72","698,29K","-0,04%"
"08/05/2020","26,24","25,72","26,43","25,69","362,09K","3,23%"
"07/05/2020","25,42","25,00","25,59","24,86","471,28K","2,29%"
"06/05/2020","24,85","25,73","25,82","24,81","871,34K","-3,76%"
"05/05/2020","25,82","26,10","26,64","25,73","911,32K","0,58%"
"04/05/2020","25,67","26,90","27,46","25,67","967,01K","-5,38%"
"30/04/2020","27,13","28,71","28,80","26,95","890,16K","-5,40%"
"29/04/2020","28,68","26,50","28,87","25,80","1,34M","4,86%"
"28/04/2020","27,35","27,20","27,94","27,09","684,54K","0,74%"
"27/04/2020","27,15","27,50","27,70","26,52","587,48K","0,93%"
"24/04/2020","26,90","25,66","27,71","25,35","2,23M","3,07%"
"23/04/2020","26,10","24,66","26,10","24,65","1,02M","5,88%"
"22/04/2020","24,65","24,91","25,19","23,75","628,57K","0,90%"
"21/04/2020","24,43","25,97","25,98","24,43","696,49K","-5,97%"
"20/04/2020","25,98","26,45","26,63","25,30","746,81K","-1,48%"
"17/04/2020","26,37","25,77","26,68","25,60","1,00M","4,11%"
"16/04/2020","25,33","27,10","28,17","25,33","1,30M","-6,19%"
"15/04/2020","27,00","29,81","29,89","27,00","1,17M","-9,58%"
"14/04/2020","29,86","30,05","30,35","28,92","803,29K","-0,73%"
"09/04/2020","30,08","29,30","30,08","28,25","1,02M","2,87%"
"08/04/2020","29,24","28,69","29,53","28,38","1,06M","-0,14%"
"07/04/2020","29,28","29,53","30,55","28,56","1,39M","-0,64%"
"06/04/2020","29,47","27,61","29,47","27,16","5,06M","8,51%"
"03/04/2020","27,16","27,00","27,78","26,96","2,08M","4,22%"
"02/04/2020","26,06","25,45","26,74","25,23","1,26M","3,45%"
"01/04/2020","25,19","25,50","25,67","24,03","1,22M","-3,56%"
"31/03/2020","26,12","23,83","26,12","23,82","1,66M","11,96%"
"30/03/2020","23,33","23,09","23,66","21,71","826,28K","2,06%"
"27/03/2020","22,86","24,90","24,93","22,68","983,42K","-6,16%"
"26/03/2020","24,36","25,67","25,88","23,90","1,49M","-6,05%"
"25/03/2020","25,93","26,42","27,58","23,30","1,21M","3,18%"
"24/03/2020","25,13","23,05","25,13","23,05","990,03K","12,54%"
"23/03/2020","22,33","21,41","23,02","21,32","934,11K","-0,98%"
"20/03/2020","22,55","23,12","24,28","21,90","2,35M","1,44%"
"19/03/2020","22,23","22,58","24,46","22,23","1,58M","-0,04%"
"18/03/2020","22,24","21,22","24,99","21,22","1,23M","1,83%"
"17/03/2020","21,84","23,81","24,21","20,94","1,85M","-4,67%"
"16/03/2020","22,91","24,28","24,28","21,67","2,15M","-9,02%"
"13/03/2020","25,18","25,94","27,19","24,71","2,00M","0,20%"
"12/03/2020","25,13","27,91","28,14","25,13","2,73M","-15,02%"
"11/03/2020","29,57","30,35","30,91","29,57","1,59M","-0,74%"
"10/03/2020","29,79","31,15","31,93","29,62","1,79M","-3,28%"
"09/03/2020","30,80","31,00","31,70","30,22","1,92M","-6,24%"
"06/03/2020","32,85","32,17","32,85","31,51","1,43M","-0,51%"
"05/03/2020","33,02","35,09","35,09","32,98","1,30M","-5,03%"
"04/03/2020","34,77","34,50","35,19","34,15","830,46K","1,08%"
"03/03/2020","34,40","34,34","34,88","34,18","1,28M","1,30%"
"02/03/2020","33,96","35,56","35,67","33,72","1,41M","-2,92%"
"28/02/2020","34,98","34,35","35,06","34,00","2,81M","-0,68%"
"27/02/2020","35,22","37,03","37,12","35,06","2,51M","-6,83%"
"26/02/2020","37,80","38,22","38,26","37,46","1,13M","-1,51%"
"25/02/2020","38,38","39,41","39,57","38,24","1,01M","-2,44%"
"24/02/2020","39,34","40,51","40,54","39,00","1,98M","-4,33%"
"21/02/2020","41,12","41,59","41,81","41,09","742,42K","-1,51%"
"20/02/2020","41,75","41,28","42,33","41,25","904,24K","1,11%"
"19/02/2020","41,29","41,11","41,44","41,06","590,73K","0,46%"
"18/02/2020","41,10","40,75","41,18","40,75","726,28K","0,07%"
"17/02/2020","41,07","41,05","41,21","40,99","429,74K","0,37%"
"14/02/2020","40,92","41,04","41,32","40,84","582,42K","0,37%"
"13/02/2020","40,77","41,00","41,07","40,70","707,64K","-0,73%"
"12/02/2020","41,07","40,34","41,25","40,23","1,31M","1,73%"
"11/02/2020","40,37","40,63","40,75","39,87","939,36K","-0,54%"
"10/02/2020","40,59","40,60","40,82","40,44","579,03K","0,10%"
"07/02/2020","40,55","40,25","40,88","40,25","1,15M","0,82%"
"06/02/2020","40,22","41,00","42,50","40,12","1,92M","0,20%"
