"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","21,69","21,78","22,52","21,54","3,04M","1,10%"
"01/06/2020","21,45","20,75","21,53","20,41","2,45M","6,19%"
"29/05/2020","20,20","21,25","21,50","20,17","5,35M","-7,74%"
"28/05/2020","21,90","22,66","23,16","21,67","5,92M","-2,67%"
"27/05/2020","22,50","19,44","23,05","19,36","9,60M","17,47%"
"26/05/2020","19,15","18,42","19,28","18,25","4,98M","6,62%"
"25/05/2020","17,96","17,32","17,96","17,00","2,87M","4,44%"
"22/05/2020","17,20","17,02","17,96","16,80","2,80M","-2,86%"
"21/05/2020","17,71","17,69","18,15","17,24","2,31M","-1,52%"
"20/05/2020","17,98","16,93","18,14","16,58","3,74M","6,16%"
"19/05/2020","16,94","19,00","19,01","16,70","4,60M","-10,85%"
"18/05/2020","19,00","17,97","19,00","17,96","2,42M","8,70%"
"15/05/2020","17,48","17,40","18,22","17,00","2,34M","2,90%"
"14/05/2020","16,99","17,00","17,37","15,89","2,50M","-0,47%"
"13/05/2020","17,07","17,13","17,65","16,53","1,76M","-0,51%"
"12/05/2020","17,15","17,70","17,74","17,08","1,00M","-2,88%"
"11/05/2020","17,66","17,85","18,71","17,66","1,97M","0,78%"
"08/05/2020","17,53","17,31","17,53","17,09","984,24K","2,54%"
"07/05/2020","17,09","17,20","17,36","16,91","1,37M","-0,05%"
"06/05/2020","17,10","17,35","17,74","17,05","1,19M","-1,24%"
"05/05/2020","17,31","17,63","18,16","17,12","1,77M","1,42%"
"04/05/2020","17,07","17,77","17,85","16,90","2,40M","-5,71%"
"30/04/2020","18,11","19,75","19,88","18,02","2,65M","-7,62%"
"29/04/2020","19,60","18,15","19,60","18,00","2,38M","7,89%"
"28/04/2020","18,17","17,70","18,29","17,46","2,02M","3,33%"
"27/04/2020","17,58","16,96","17,58","16,59","2,38M","9,86%"
"24/04/2020","16,00","16,00","16,69","15,90","1,70M","-2,95%"
"23/04/2020","16,49","16,48","16,57","15,91","2,12M","4,16%"
"22/04/2020","15,83","16,52","16,52","15,80","2,39M","-3,07%"
"21/04/2020","16,33","16,39","16,63","15,94","1,55M","-2,07%"
"20/04/2020","16,68","16,76","17,04","16,21","1,49M","1,82%"
"17/04/2020","16,38","16,90","17,03","16,07","2,79M","2,37%"
"16/04/2020","16,00","16,68","17,03","15,99","1,92M","-3,50%"
"15/04/2020","16,58","18,00","18,05","16,58","2,20M","-8,03%"
"14/04/2020","18,03","19,10","19,16","18,03","1,87M","-2,75%"
"09/04/2020","18,54","18,90","19,15","18,03","2,06M","0,82%"
"08/04/2020","18,39","18,23","18,43","17,78","1,48M","-0,52%"
"07/04/2020","18,48","18,70","19,58","17,83","2,44M","2,39%"
"06/04/2020","18,05","17,70","18,05","17,05","2,18M","14,17%"
"03/04/2020","15,81","16,45","16,67","15,77","1,10M","-3,07%"
"02/04/2020","16,31","16,61","17,20","15,98","1,58M","0,00%"
"01/04/2020","16,31","17,35","17,48","16,31","1,70M","-7,88%"
"31/03/2020","17,71","17,30","17,88","16,82","2,13M","2,91%"
"30/03/2020","17,21","18,27","18,46","16,81","2,28M","-4,01%"
"27/03/2020","17,93","19,83","19,85","17,80","2,20M","-7,45%"
"26/03/2020","19,37","17,89","19,50","17,70","2,48M","5,78%"
"25/03/2020","18,31","18,87","19,46","17,02","3,44M","1,91%"
"24/03/2020","17,97","15,98","17,97","15,77","3,17M","17,53%"
"23/03/2020","15,29","16,00","16,10","14,72","3,48M","-5,35%"
"20/03/2020","16,15","16,38","16,70","15,57","8,15M","4,76%"
"19/03/2020","15,42","15,25","16,19","14,72","2,95M","2,16%"
"18/03/2020","15,09","16,00","16,48","14,77","3,19M","-5,63%"
"17/03/2020","15,99","15,40","16,62","14,50","4,59M","9,90%"
"16/03/2020","14,55","15,76","16,00","12,77","7,53M","-12,87%"
"13/03/2020","16,70","17,69","18,75","16,28","5,55M","2,27%"
"12/03/2020","16,33","20,00","20,18","16,33","5,97M","-21,90%"
"11/03/2020","20,91","20,92","21,86","20,45","3,88M","3,41%"
"10/03/2020","20,22","20,36","22,18","19,85","5,82M","2,85%"
"09/03/2020","19,66","21,05","21,07","19,66","4,59M","-15,98%"
"06/03/2020","23,40","22,54","23,64","21,96","4,86M","1,04%"
"05/03/2020","23,16","25,34","25,34","23,10","3,66M","-7,58%"
"04/03/2020","25,06","25,19","25,48","24,75","2,34M","0,08%"
"03/03/2020","25,04","26,00","26,21","24,77","4,05M","-2,34%"
"02/03/2020","25,64","26,96","27,00","25,14","3,16M","-3,25%"
"28/02/2020","26,50","26,00","26,70","25,23","4,42M","-2,68%"
"27/02/2020","27,23","28,36","28,59","27,02","3,50M","-6,39%"
"26/02/2020","29,09","28,50","29,68","28,14","3,87M","1,25%"
"25/02/2020","28,73","29,73","29,95","28,54","2,55M","-2,91%"
