"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","93,52","89,00","93,96","88,32","1,46M","5,91%"
"01/06/2020","88,30","87,40","88,78","85,90","748,73K","2,84%"
"29/05/2020","85,86","87,84","87,84","85,56","1,73M","-3,40%"
"28/05/2020","88,88","89,90","91,24","88,14","1,48M","1,37%"
"27/05/2020","87,68","86,50","89,02","84,44","1,54M","1,25%"
"26/05/2020","86,60","81,54","87,08","81,04","1,51M","7,77%"
"25/05/2020","80,36","76,80","80,36","75,78","1,06M","6,18%"
"22/05/2020","75,68","76,94","77,04","74,52","1,07M","-2,12%"
"21/05/2020","77,32","77,12","79,30","76,46","724,01K","-0,85%"
"20/05/2020","77,98","77,84","78,26","75,24","741,83K","-0,64%"
"19/05/2020","78,48","79,50","80,86","76,06","1,27M","-1,26%"
"18/05/2020","79,48","74,40","79,48","74,30","1,11M","8,88%"
"15/05/2020","73,00","74,22","75,16","72,62","863,72K","-0,90%"
"14/05/2020","73,66","74,00","75,42","70,38","1,36M","-2,44%"
"13/05/2020","75,50","75,70","76,70","74,00","1,23M","-2,30%"
"12/05/2020","77,28","77,00","78,80","75,72","1,18M","-1,55%"
"11/05/2020","78,50","81,62","81,66","77,34","695,74K","-3,23%"
"08/05/2020","81,12","81,88","82,62","80,82","418,99K","0,05%"
"07/05/2020","81,08","78,22","81,08","78,00","664,08K","3,47%"
"06/05/2020","78,36","79,40","80,24","77,12","668,83K","-2,05%"
"05/05/2020","80,00","78,94","81,36","77,98","1,00M","2,56%"
"04/05/2020","78,00","81,44","81,84","77,28","1,54M","-7,39%"
"30/04/2020","84,22","91,84","93,20","83,98","2,07M","-3,53%"
"29/04/2020","87,30","81,02","87,42","80,68","1,13M","6,08%"
"28/04/2020","82,30","77,80","82,40","77,20","1,02M","6,44%"
"27/04/2020","77,32","78,30","78,50","75,52","565,72K","1,50%"
"24/04/2020","76,18","75,10","76,88","74,00","886,83K","-1,83%"
"23/04/2020","77,60","75,14","78,28","72,82","900,03K","3,47%"
"22/04/2020","75,00","74,10","75,32","72,50","907,28K","1,46%"
"21/04/2020","73,92","79,54","79,92","73,80","1,14M","-8,63%"
"20/04/2020","80,90","81,00","82,00","79,22","856,38K","0,50%"
"17/04/2020","80,50","79,02","83,16","78,66","1,92M","7,28%"
"16/04/2020","75,04","74,84","77,46","73,16","1,30M","1,41%"
"15/04/2020","74,00","79,00","79,60","72,50","1,50M","-7,22%"
"14/04/2020","79,76","80,38","80,84","75,24","1,42M","0,20%"
"09/04/2020","79,60","76,32","79,60","73,26","1,91M","6,16%"
"08/04/2020","74,98","70,64","74,98","67,02","1,67M","4,14%"
"07/04/2020","72,00","70,80","75,96","70,30","2,10M","6,89%"
"06/04/2020","67,36","66,50","68,50","64,50","1,71M","6,92%"
"03/04/2020","63,00","68,28","68,72","63,00","1,62M","-8,16%"
"02/04/2020","68,60","70,12","71,42","67,94","1,83M","2,45%"
"01/04/2020","66,96","75,00","76,82","66,96","2,65M","-16,45%"
"31/03/2020","80,14","87,44","88,38","79,18","2,18M","-5,61%"
"30/03/2020","84,90","86,82","89,60","78,10","1,45M","-2,41%"
"27/03/2020","87,00","89,00","93,24","86,14","2,06M","-5,35%"
"26/03/2020","91,92","80,00","91,92","77,16","2,12M","12,12%"
"25/03/2020","81,98","71,90","82,78","69,22","2,16M","18,85%"
"24/03/2020","68,98","61,50","70,92","60,00","2,13M","20,93%"
"23/03/2020","57,04","62,58","66,56","56,32","2,53M","-13,84%"
"20/03/2020","66,20","59,72","69,48","57,00","5,32M","19,28%"
"19/03/2020","55,50","52,10","58,76","51,10","3,84M","4,44%"
"18/03/2020","53,14","66,00","67,50","52,10","3,77M","-22,87%"
"17/03/2020","68,90","77,22","78,78","63,00","3,38M","-7,57%"
"16/03/2020","74,54","78,28","79,80","70,22","3,65M","-11,56%"
"13/03/2020","84,28","88,44","91,74","82,44","3,68M","-1,50%"
"12/03/2020","85,56","93,58","97,10","84,50","4,00M","-16,85%"
"11/03/2020","102,90","107,20","107,85","102,20","2,55M","-2,60%"
"10/03/2020","105,65","108,30","111,45","105,35","2,45M","-1,72%"
"09/03/2020","107,50","109,40","111,10","105,60","3,05M","-6,64%"
"06/03/2020","115,15","118,85","119,60","114,70","2,28M","-5,61%"
"05/03/2020","122,00","127,85","128,25","121,45","1,52M","-3,90%"
"04/03/2020","126,95","127,10","128,60","125,75","1,39M","-0,16%"
"03/03/2020","127,15","125,10","129,10","123,85","2,06M","3,12%"
"02/03/2020","123,30","125,70","126,80","119,10","2,60M","-0,64%"
"28/02/2020","124,10","124,00","126,30","121,65","2,93M","-4,28%"
"27/02/2020","129,65","130,15","134,15","127,90","2,13M","-2,00%"
"26/02/2020","132,30","132,40","132,90","127,70","1,72M","-0,38%"
"25/02/2020","132,80","137,80","138,05","132,60","1,50M","-3,07%"
"24/02/2020","137,00","141,45","141,45","136,35","1,42M","-4,73%"
"21/02/2020","143,80","145,15","145,20","143,05","832,43K","-1,20%"
"20/02/2020","145,55","145,35","147,50","145,30","702,20K","-0,27%"
"19/02/2020","145,95","144,25","145,95","144,05","754,79K","1,81%"
