"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","88,82","89,37","89,48","87,69","2,58M","0,15%"
"01/06/2020","88,69","88,38","89,56","88,16","1,56M","1,33%"
"29/05/2020","87,53","88,50","89,75","87,04","4,12M","-1,11%"
"28/05/2020","88,51","85,83","88,97","85,18","2,69M","2,70%"
"27/05/2020","86,18","86,20","86,94","84,76","3,31M","-0,40%"
"26/05/2020","86,53","89,20","89,57","86,46","2,63M","-1,30%"
"25/05/2020","87,67","87,31","88,06","86,66","1,22M","0,93%"
"22/05/2020","86,86","86,18","87,70","85,41","2,51M","-0,15%"
"21/05/2020","86,99","86,99","88,06","86,85","1,57M","-0,85%"
"20/05/2020","87,74","86,89","88,74","86,74","2,33M","1,04%"
"19/05/2020","86,84","87,74","88,12","86,83","3,40M","-0,82%"
"18/05/2020","87,56","87,50","88,33","85,71","3,16M","0,39%"
"15/05/2020","87,22","88,30","89,20","86,57","2,71M","-1,09%"
"14/05/2020","88,18","89,15","89,74","87,20","2,88M","-1,46%"
"13/05/2020","89,49","89,59","91,14","89,27","2,18M","-1,67%"
"12/05/2020","91,01","88,35","91,45","88,35","2,23M","2,35%"
"11/05/2020","88,92","88,05","89,74","87,44","2,13M","-0,73%"
"08/05/2020","89,57","89,95","90,38","88,92","1,43M","-1,30%"
"07/05/2020","90,75","92,38","92,38","89,55","2,68M","-1,81%"
"06/05/2020","92,42","91,31","92,78","90,99","2,36M","1,90%"
"05/05/2020","90,70","88,85","91,29","88,73","2,43M","2,58%"
"04/05/2020","88,42","88,00","89,02","86,70","4,22M","-0,86%"
"30/04/2020","89,19","90,50","91,26","88,58","3,55M","-1,66%"
"29/04/2020","90,70","91,27","91,91","89,70","2,11M","-1,62%"
"28/04/2020","92,19","93,47","94,48","91,42","2,92M","-1,30%"
"27/04/2020","93,40","91,89","94,54","91,57","2,72M","2,71%"
"24/04/2020","90,94","91,56","92,65","87,05","3,90M","2,31%"
"23/04/2020","88,89","89,00","90,67","87,82","4,93M","0,83%"
"22/04/2020","88,16","88,70","89,74","86,68","2,92M","0,08%"
"21/04/2020","88,09","88,82","89,80","87,20","2,87M","-0,35%"
"20/04/2020","88,40","87,10","88,63","85,08","3,13M","2,11%"
"17/04/2020","86,57","85,51","86,93","85,26","4,41M","2,05%"
"16/04/2020","84,83","83,67","85,47","82,91","3,39M","2,44%"
"15/04/2020","82,81","83,00","84,96","82,30","2,77M","0,19%"
"14/04/2020","82,65","82,46","84,85","82,29","3,21M","0,63%"
"09/04/2020","82,13","82,46","82,80","80,73","3,19M","0,16%"
"08/04/2020","82,00","82,50","83,01","80,93","2,48M","-2,38%"
"07/04/2020","84,00","85,22","85,98","81,43","3,52M","-0,98%"
"06/04/2020","84,83","83,71","85,55","83,00","3,23M","4,26%"
"03/04/2020","81,36","81,37","81,50","80,27","2,70M","2,37%"
"02/04/2020","79,48","80,38","80,43","77,50","3,02M","0,68%"
"01/04/2020","78,94","77,70","79,55","76,12","3,32M","-1,50%"
"31/03/2020","80,14","82,30","82,56","78,22","3,82M","-0,46%"
"30/03/2020","80,51","78,00","81,56","75,05","3,56M","4,56%"
"27/03/2020","77,00","79,00","79,66","75,78","4,12M","-0,90%"
"26/03/2020","77,70","75,00","77,71","73,69","3,84M","1,17%"
"25/03/2020","76,80","76,05","76,80","73,06","5,18M","2,76%"
