"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"04/06/2020","94,34","93,64","95,94","93,36","1,54M","-1,13%"
"03/06/2020","95,42","92,00","95,50","91,34","1,66M","4,97%"
"02/06/2020","90,90","90,24","91,78","89,76","1,29M","1,34%"
"01/06/2020","89,70","90,50","90,66","89,48","725,84K","0,52%"
"29/05/2020","89,24","88,06","90,40","87,20","2,02M","0,81%"
"28/05/2020","88,52","89,00","89,48","87,18","1,40M","0,98%"
"27/05/2020","87,66","86,50","89,50","86,14","1,80M","1,98%"
"26/05/2020","85,96","86,32","86,66","85,22","1,06M","0,70%"
"25/05/2020","85,36","85,00","85,64","84,04","540,46K","1,26%"
"22/05/2020","84,30","81,00","84,84","80,50","1,10M","2,28%"
"21/05/2020","82,42","83,16","83,96","82,30","688,12K","-2,11%"
"20/05/2020","84,20","82,98","84,44","82,42","1,02M","1,25%"
"19/05/2020","83,16","84,16","84,20","81,82","1,41M","0,05%"
"18/05/2020","83,12","79,30","83,60","78,98","1,31M","6,37%"
"15/05/2020","78,14","78,28","79,28","77,04","1,21M","0,88%"
"14/05/2020","77,46","78,90","79,84","75,04","1,64M","-3,39%"
"13/05/2020","80,18","80,18","81,56","78,82","1,15M","-1,45%"
"12/05/2020","81,36","80,42","82,08","80,08","895,56K","1,37%"
"11/05/2020","80,26","80,60","80,92","79,70","947,16K","-0,20%"
"08/05/2020","80,42","80,00","80,88","79,86","792,96K","1,39%"
"07/05/2020","79,32","80,10","80,34","78,52","1,11M","-0,23%"
"06/05/2020","79,50","81,34","81,98","79,50","884,09K","-2,29%"
"05/05/2020","81,36","80,80","81,36","79,46","1,36M","1,02%"
"04/05/2020","80,54","81,00","81,36","80,04","1,92M","-3,50%"
"30/04/2020","83,46","86,00","87,08","83,16","2,03M","-3,34%"
"29/04/2020","86,34","84,00","86,98","83,66","1,22M","1,31%"
"28/04/2020","85,22","82,68","87,34","82,50","1,32M","2,67%"
"27/04/2020","83,00","82,00","83,00","80,84","1,14M","3,52%"
"24/04/2020","80,18","80,84","83,00","80,16","1,40M","-3,61%"
"23/04/2020","83,18","83,34","84,60","81,74","1,12M","0,75%"
"22/04/2020","82,56","82,58","83,82","81,50","1,13M","1,60%"
"21/04/2020","81,26","82,76","83,54","81,26","1,58M","-5,14%"
"20/04/2020","85,66","84,36","86,04","81,56","1,07M","3,35%"
"17/04/2020","82,88","81,72","84,94","81,48","1,77M","4,25%"
"16/04/2020","79,50","79,86","80,58","78,40","1,26M","0,35%"
"15/04/2020","79,22","82,38","82,90","79,00","1,42M","-3,74%"
"14/04/2020","82,30","82,54","82,90","79,50","1,57M","2,54%"
"09/04/2020","80,26","82,84","84,30","78,76","1,79M","-2,38%"
"08/04/2020","82,22","80,58","82,36","78,94","1,58M","0,29%"
"07/04/2020","81,98","83,64","84,72","81,50","1,97M","0,89%"
"06/04/2020","81,26","77,80","81,92","77,10","1,85M","9,07%"
"03/04/2020","74,50","73,32","75,30","73,00","1,41M","1,22%"
"02/04/2020","73,60","74,62","75,52","71,40","2,12M","0,08%"
"01/04/2020","73,54","75,88","77,24","72,48","2,05M","-6,41%"
"31/03/2020","78,58","79,48","81,06","75,84","2,71M","-0,81%"
"30/03/2020","79,22","79,76","80,68","77,66","1,66M","-0,33%"
"27/03/2020","79,48","78,80","80,96","77,38","2,17M","-2,81%"
"26/03/2020","81,78","76,60","84,04","76,60","2,41M","3,91%"
"25/03/2020","78,70","79,90","81,90","71,92","2,23M","3,69%"
"24/03/2020","75,90","70,20","75,90","70,20","2,94M","12,01%"
"23/03/2020","67,76","65,94","69,48","63,52","3,18M","-2,81%"
"20/03/2020","69,72","74,00","76,28","68,16","3,63M","3,63%"
"19/03/2020","67,28","72,80","72,80","61,72","3,35M","-1,26%"
"18/03/2020","68,14","70,02","71,34","63,52","3,19M","-7,17%"
"17/03/2020","73,40","73,10","75,56","68,76","3,96M","4,23%"
"16/03/2020","70,42","67,74","74,02","63,74","5,35M","-2,14%"
"13/03/2020","71,96","72,60","77,34","70,00","5,26M","1,84%"
"12/03/2020","70,66","75,02","77,76","69,74","5,81M","-14,02%"
"11/03/2020","82,18","82,46","84,08","81,10","3,75M","1,58%"
"10/03/2020","80,90","83,68","85,88","80,30","4,24M","-1,51%"
"09/03/2020","82,14","83,00","85,00","80,00","5,21M","-9,02%"
"06/03/2020","90,28","92,66","93,82","89,42","3,10M","-6,35%"
"05/03/2020","96,40","97,64","97,64","94,16","2,47M","0,31%"
"04/03/2020","96,10","94,86","96,62","93,42","2,66M","1,54%"
"03/03/2020","94,64","94,00","97,10","93,14","3,61M","2,60%"
"02/03/2020","92,24","98,08","98,24","90,32","3,62M","1,92%"
"28/02/2020","90,50","90,30","91,62","88,20","3,36M","-3,46%"
"27/02/2020","93,74","95,60","95,78","91,94","2,62M","-3,46%"
