"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","85,98","84,74","86,26","84,44","1,34M","2,41%"
"01/06/2020","83,96","84,50","84,86","82,78","631,59K","1,11%"
"29/05/2020","83,04","82,60","85,08","82,56","2,06M","-1,10%"
"28/05/2020","83,96","84,68","85,00","82,54","1,59M","-0,47%"
"27/05/2020","84,36","82,50","85,40","81,26","1,96M","2,48%"
"26/05/2020","82,32","81,48","82,70","80,48","1,53M","1,60%"
"25/05/2020","81,02","77,88","81,02","77,48","933,22K","5,44%"
"22/05/2020","76,84","77,00","78,04","76,16","827,70K","-1,08%"
"21/05/2020","77,68","77,76","78,82","76,90","724,10K","-1,40%"
"20/05/2020","78,78","77,60","79,00","76,46","1,30M","0,97%"
"19/05/2020","78,02","80,00","80,36","76,90","1,86M","-1,81%"
"18/05/2020","79,46","74,46","79,64","74,34","1,60M","8,85%"
"15/05/2020","73,00","73,10","74,38","72,62","1,26M","0,27%"
"14/05/2020","72,80","72,04","73,62","71,66","1,76M","-0,63%"
"13/05/2020","73,26","74,42","74,42","72,48","1,76M","-3,61%"
"12/05/2020","76,00","75,36","76,58","74,84","987,83K","1,01%"
"11/05/2020","75,24","77,00","77,16","74,66","922,89K","-2,03%"
"08/05/2020","76,80","74,62","77,14","74,46","899,61K","3,90%"
"07/05/2020","73,92","72,50","74,48","72,32","1,12M","2,04%"
"06/05/2020","72,44","72,48","73,24","71,86","1,05M","-0,14%"
"05/05/2020","72,54","72,38","74,18","71,68","1,27M","3,22%"
"04/05/2020","70,28","69,74","71,74","69,20","2,16M","-5,92%"
"30/04/2020","74,70","75,98","77,38","73,40","1,84M","-1,48%"
"29/04/2020","75,82","75,08","76,14","73,70","1,22M","0,99%"
"28/04/2020","75,08","73,70","76,70","73,20","1,33M","1,82%"
"27/04/2020","73,74","72,00","73,74","70,86","1,34M","5,43%"
"24/04/2020","69,94","70,58","72,98","69,56","1,60M","-0,34%"
"23/04/2020","70,18","72,32","73,06","69,10","1,55M","-2,37%"
"22/04/2020","71,88","70,00","72,10","69,52","1,36M","2,69%"
"21/04/2020","70,00","74,10","74,70","70,00","1,56M","-7,65%"
"20/04/2020","75,80","77,00","77,00","72,88","1,44M","-0,86%"
"17/04/2020","76,46","73,64","77,84","73,48","2,44M","7,57%"
"16/04/2020","71,08","71,40","73,44","70,62","1,61M","0,74%"
"15/04/2020","70,56","76,52","77,70","70,20","1,82M","-8,41%"
"14/04/2020","77,04","77,00","78,52","75,58","1,73M","0,71%"
"09/04/2020","76,50","74,90","76,60","72,58","1,97M","3,16%"
"08/04/2020","74,16","71,34","74,16","70,22","1,50M","3,11%"
"07/04/2020","71,92","71,72","73,86","70,22","1,78M","2,25%"
"06/04/2020","70,34","66,90","70,90","66,26","2,24M","10,18%"
"03/04/2020","63,84","64,74","66,00","63,40","1,72M","-1,94%"
"02/04/2020","65,10","67,50","67,98","64,00","2,33M","-2,92%"
"01/04/2020","67,06","72,20","72,20","66,98","2,76M","-11,06%"
