"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","30,69","29,75","30,69","29,63","3,53M","4,99%"
"01/06/2020","29,23","29,50","29,60","29,11","966,63K","0,55%"
"29/05/2020","29,07","28,43","29,29","28,10","4,50M","0,80%"
"28/05/2020","28,84","28,70","29,51","28,42","2,78M","1,94%"
"27/05/2020","28,29","28,35","28,81","27,87","3,20M","1,40%"
"26/05/2020","27,90","27,90","28,35","27,50","2,58M","0,25%"
"25/05/2020","27,83","27,17","27,83","26,75","2,12M","3,80%"
"22/05/2020","26,81","26,07","27,32","25,68","3,49M","2,84%"
"21/05/2020","26,07","24,74","27,01","24,51","3,96M","4,87%"
"20/05/2020","24,86","24,61","24,97","23,68","1,78M","0,16%"
"19/05/2020","24,82","25,45","25,45","24,24","1,69M","-1,86%"
"18/05/2020","25,29","23,79","25,29","23,44","1,66M","9,39%"
"15/05/2020","23,12","23,68","24,00","22,95","1,32M","-1,15%"
"14/05/2020","23,39","23,55","23,59","22,64","1,71M","-1,76%"
"13/05/2020","23,81","24,41","24,41","23,69","1,19M","-2,50%"
"12/05/2020","24,42","25,10","25,24","24,30","1,14M","-2,71%"
"11/05/2020","25,10","25,70","25,75","24,91","891,73K","-1,18%"
"08/05/2020","25,40","24,67","25,58","24,61","1,42M","4,44%"
"07/05/2020","24,32","23,90","24,32","23,44","1,31M","1,97%"
"06/05/2020","23,85","24,28","24,59","23,85","1,05M","-1,69%"
"05/05/2020","24,26","23,60","24,26","23,42","1,18M","5,02%"
"04/05/2020","23,10","23,61","23,62","23,05","1,46M","-4,58%"
"30/04/2020","24,21","25,61","25,94","24,11","2,02M","-4,87%"
"29/04/2020","25,45","23,85","25,45","23,66","2,35M","6,98%"
"28/04/2020","23,79","23,40","23,98","23,31","1,83M","1,67%"
"27/04/2020","23,40","23,76","23,88","23,11","1,29M","1,92%"
"24/04/2020","22,96","23,70","23,74","22,96","1,80M","-4,85%"
"23/04/2020","24,13","24,31","24,39","23,69","1,39M","-0,08%"
"22/04/2020","24,15","23,80","24,62","23,70","1,02M","1,98%"
"21/04/2020","23,68","24,45","24,50","23,67","1,27M","-4,09%"
"20/04/2020","24,69","25,01","25,14","23,96","880,17K","-0,48%"
"17/04/2020","24,81","25,08","25,35","24,45","1,76M","2,56%"
"16/04/2020","24,19","24,01","24,57","23,96","1,71M","1,17%"
"15/04/2020","23,91","25,18","25,39","23,81","2,53M","-4,78%"
"14/04/2020","25,11","26,34","26,36","24,92","1,64M","-3,35%"
"09/04/2020","25,98","25,56","26,26","24,97","2,56M","4,72%"
"08/04/2020","24,81","25,12","25,50","24,25","1,78M","-1,70%"
"07/04/2020","25,24","24,90","25,92","24,61","2,19M","4,64%"
"06/04/2020","24,12","23,10","24,46","22,55","3,37M","11,20%"
"03/04/2020","21,69","21,86","21,94","21,33","1,41M","-0,50%"
"02/04/2020","21,80","21,63","22,28","21,26","1,43M","1,02%"
"01/04/2020","21,58","21,98","22,08","21,00","1,85M","-2,64%"
"31/03/2020","22,17","22,40","22,42","21,49","2,50M","3,36%"
"30/03/2020","21,44","21,88","22,33","20,82","1,42M","-1,27%"
"27/03/2020","21,72","22,36","22,90","21,45","2,65M","-2,93%"
"26/03/2020","22,38","21,07","22,40","20,50","2,78M","3,06%"
"25/03/2020","21,71","21,43","23,14","20,24","3,33M","8,14%"
"24/03/2020","20,08","18,70","20,08","18,35","3,36M","11,91%"
"23/03/2020","17,94","18,50","19,39","17,15","3,30M","-4,20%"
"20/03/2020","18,72","19,20","19,72","18,37","4,18M","3,29%"
"19/03/2020","18,13","18,08","18,65","16,41","3,35M","0,71%"
"18/03/2020","18,00","19,11","19,44","17,36","3,30M","-8,77%"
"17/03/2020","19,73","20,16","20,16","17,75","4,50M","1,91%"
"16/03/2020","19,36","21,39","21,89","19,14","5,49M","-17,12%"
"13/03/2020","23,36","24,52","25,45","22,93","5,15M","-1,64%"
"12/03/2020","23,75","26,50","26,84","23,54","6,05M","-15,87%"
"11/03/2020","28,23","28,68","29,45","28,12","3,14M","-0,18%"
"10/03/2020","28,28","29,00","30,15","28,14","3,83M","-1,46%"
"09/03/2020","28,70","28,50","30,07","28,40","4,41M","-8,92%"
"06/03/2020","31,51","31,86","32,35","31,46","3,30M","-3,43%"
"05/03/2020","32,63","33,47","33,68","32,35","2,16M","-1,54%"
"04/03/2020","33,14","32,90","33,66","32,62","2,45M","1,04%"
"03/03/2020","32,80","32,73","33,49","32,66","3,88M","2,76%"
"02/03/2020","31,92","32,44","32,49","31,09","3,27M","1,01%"
"28/02/2020","31,60","32,36","32,73","31,59","5,14M","-4,36%"
"27/02/2020","33,04","33,90","34,19","32,78","3,20M","-4,07%"
"26/02/2020","34,44","34,08","34,44","33,62","2,55M","0,50%"
"25/02/2020","34,27","34,72","34,80","34,15","2,03M","-1,10%"
"24/02/2020","34,65","34,93","34,93","34,29","3,41M","-3,24%"
"21/02/2020","35,81","35,58","36,05","35,23","1,23M","0,08%"
"20/02/2020","35,78","35,60","36,13","35,51","1,19M","0,45%"
"19/02/2020","35,62","35,66","35,79","35,35","880,33K","0,11%"
"18/02/2020","35,58","35,95","36,02","35,49","1,48M","-2,25%"
"17/02/2020","36,40","35,90","36,48","35,87","897,18K","1,42%"
"14/02/2020","35,89","36,14","36,31","35,85","806,22K","-0,47%"
"13/02/2020","36,06","35,90","36,06","35,72","1,11M","0,03%"
"12/02/2020","36,05","35,43","36,10","35,36","1,34M","1,64%"
"11/02/2020","35,47","35,45","35,64","35,15","986,41K","0,91%"
"10/02/2020","35,15","34,92","35,28","34,91","797,11K","-0,11%"
"07/02/2020","35,19","34,95","35,19","34,82","906,73K","0,14%"
"06/02/2020","35,14","35,48","35,91","35,14","1,91M","0,20%"
"05/02/2020","35,07","34,61","35,41","34,59","1,81M","1,01%"
"04/02/2020","34,72","34,34","34,84","34,30","1,33M","1,55%"
"03/02/2020","34,19","34,23","34,59","34,13","1,32M","-0,12%"
"31/01/2020","34,23","34,94","35,09","34,06","1,70M","-1,47%"
"30/01/2020","34,74","34,91","34,99","34,52","1,55M","-1,84%"
"29/01/2020","35,39","35,01","35,69","35,01","1,25M","1,09%"
"28/01/2020","35,01","35,07","35,15","34,67","1,15M","0,06%"
"27/01/2020","34,99","34,80","34,99","34,52","1,63M","-0,62%"
"24/01/2020","35,21","35,05","35,78","35,05","1,66M","1,59%"
"23/01/2020","34,66","34,84","34,97","34,56","1,42M","-0,97%"
"22/01/2020","35,00","35,12","35,40","34,84","1,69M","-0,26%"
"21/01/2020","35,09","35,00","35,36","34,72","1,19M","-0,11%"
"20/01/2020","35,13","35,38","35,45","35,13","679,33K","-0,68%"
"17/01/2020","35,37","35,20","35,67","35,19","1,32M","0,86%"
"16/01/2020","35,07","35,37","35,45","34,84","1,43M","-0,99%"
"15/01/2020","35,42","35,88","35,95","35,30","1,38M","-1,47%"
"14/01/2020","35,95","35,78","36,28","35,48","1,28M","0,78%"
"13/01/2020","35,67","35,26","35,80","35,26","1,35M","1,28%"
"10/01/2020","35,22","35,64","35,75","35,05","1,85M","-1,32%"
"09/01/2020","35,69","36,20","36,30","35,47","1,18M","-0,58%"
"08/01/2020","35,90","35,50","35,90","35,12","1,74M","0,14%"
"07/01/2020","35,85","36,06","36,26","35,73","1,32M","-0,42%"
"06/01/2020","36,00","35,75","36,05","35,47","1,50M","-0,94%"
"03/01/2020","36,34","36,81","36,81","36,14","1,31M","-1,73%"
"02/01/2020","36,98","36,70","37,26","36,62","1,05M","1,32%"
"31/12/2019","36,50","36,45","36,70","36,30","401,39K","-0,05%"
"30/12/2019","36,52","36,93","36,98","36,47","998,71K","-1,51%"
"27/12/2019","37,08","37,07","37,23","36,85","837,08K","0,03%"
"24/12/2019","37,07","36,96","37,28","36,96","277,25K","0,22%"
"23/12/2019","36,99","37,02","37,29","36,90","707,54K","-0,38%"
"20/12/2019","37,13","37,20","37,38","37,01","2,23M","-0,19%"
"19/12/2019","37,20","37,41","37,51","36,94","1,31M","-0,64%"
"18/12/2019","37,44","37,77","38,06","37,35","1,50M","-1,08%"
"17/12/2019","37,85","38,68","38,80","37,85","1,55M","-2,27%"
"16/12/2019","38,73","38,28","38,91","38,25","1,70M","1,73%"
"13/12/2019","38,07","39,00","39,56","38,07","3,10M","0,32%"
"12/12/2019","37,95","38,00","38,36","37,59","1,48M","0,08%"
"11/12/2019","37,92","37,59","38,01","37,26","1,64M","0,66%"
"10/12/2019","37,67","37,50","37,68","37,06","1,64M","0,53%"
"09/12/2019","37,47","37,67","37,75","37,34","1,08M","-0,53%"
"06/12/2019","37,67","37,86","38,14","37,53","1,43M","-0,05%"
"05/12/2019","37,69","37,34","37,83","37,28","2,05M","1,40%"
"04/12/2019","37,17","36,20","37,26","36,17","1,89M","3,11%"
"03/12/2019","36,05","36,87","37,00","35,82","2,05M","-1,88%"
"02/12/2019","36,74","36,81","37,49","36,64","2,11M","-0,03%"
"29/11/2019","36,75","37,01","37,02","36,62","1,18M","-1,37%"
"28/11/2019","37,26","37,35","37,40","37,08","781,99K","-0,77%"
"27/11/2019","37,55","37,15","37,81","37,00","1,60M","1,24%"
"26/11/2019","37,09","36,60","37,11","36,35","2,24M","1,37%"
"25/11/2019","36,59","36,54","37,02","36,52","1,33M","1,02%"
"22/11/2019","36,22","36,35","36,85","36,04","1,55M","-0,22%"
"21/11/2019","36,30","36,41","36,55","36,10","1,51M","-1,20%"
"20/11/2019","36,74","36,60","36,87","36,11","1,50M","-0,62%"
"19/11/2019","36,97","37,02","37,37","36,77","1,00M","-0,24%"
"18/11/2019","37,06","37,40","37,51","36,80","1,02M","-1,12%"
"15/11/2019","37,48","36,82","37,84","36,82","1,88M","2,15%"
"14/11/2019","36,69","36,72","36,92","36,38","1,57M","-0,08%"
"13/11/2019","36,72","37,85","38,00","36,72","2,21M","-3,50%"
"12/11/2019","38,05","37,65","38,35","37,42","1,42M","1,60%"
"11/11/2019","37,45","37,19","37,73","36,98","771,73K","0,00%"
"08/11/2019","37,45","37,34","37,51","37,01","1,08M","-0,11%"
"07/11/2019","37,49","37,60","37,77","37,28","997,40K","0,00%"
"06/11/2019","37,49","37,67","37,88","37,34","1,10M","-0,35%"
"05/11/2019","37,62","37,88","38,00","37,42","1,16M","-0,21%"
"04/11/2019","37,70","37,16","37,85","37,12","1,46M","1,95%"
"01/11/2019","36,98","36,68","37,05","36,61","1,05M","1,40%"
"31/10/2019","36,47","37,30","37,30","36,23","1,79M","-1,91%"
"30/10/2019","37,18","37,56","37,56","36,75","1,07M","-0,99%"
"29/10/2019","37,55","36,91","37,82","36,87","1,96M","1,87%"
"28/10/2019","36,86","37,00","37,35","36,74","1,83M","-0,49%"
"25/10/2019","37,04","36,70","37,30","36,50","2,63M","-1,09%"
"24/10/2019","37,45","37,91","38,23","37,33","1,44M","-0,69%"
"23/10/2019","37,71","37,20","38,02","37,05","1,44M","-0,34%"
"22/10/2019","37,84","38,15","38,37","37,52","1,73M","-0,86%"
"21/10/2019","38,17","37,66","38,50","37,64","1,46M","1,27%"
"18/10/2019","37,69","37,67","38,27","37,58","1,47M","-0,29%"
"17/10/2019","37,80","37,55","38,48","37,43","1,54M","0,00%"
"16/10/2019","37,80","37,91","38,09","37,39","1,60M","-0,29%"
"15/10/2019","37,91","36,96","38,38","36,95","2,60M","3,13%"
"14/10/2019","36,76","36,79","36,84","36,25","1,52M","-0,38%"
"11/10/2019","36,90","35,46","36,95","35,12","2,49M","4,71%"
"10/10/2019","35,24","34,41","35,30","34,18","2,45M","4,14%"
"09/10/2019","33,84","33,63","34,17","33,49","1,15M","0,74%"
"08/10/2019","33,59","34,70","34,70","33,55","2,18M","-3,28%"
"07/10/2019","34,73","34,84","34,84","34,10","1,52M","-0,23%"
"04/10/2019","34,81","34,40","34,85","34,05","1,64M","1,49%"
"03/10/2019","34,30","34,88","34,88","33,85","2,03M","-1,86%"
"02/10/2019","34,95","36,28","36,45","34,95","2,52M","-3,93%"
"01/10/2019","36,38","36,20","36,77","35,85","2,35M","1,06%"
"30/09/2019","36,00","35,49","36,27","35,40","2,50M","2,19%"
"27/09/2019","35,23","34,55","35,28","34,51","1,75M","2,47%"
"26/09/2019","34,38","34,10","34,58","34,10","870,61K","0,50%"
"25/09/2019","34,21","34,22","34,23","33,66","1,24M","-0,49%"
"24/09/2019","34,38","34,74","34,95","34,30","862,31K","-0,81%"
"23/09/2019","34,66","35,32","35,42","34,44","1,21M","-2,04%"
"20/09/2019","35,38","35,30","35,75","35,24","2,56M","0,37%"
"19/09/2019","35,25","34,82","35,34","34,70","1,27M","1,59%"
"18/09/2019","34,70","34,38","34,85","34,26","1,23M","0,49%"
"17/09/2019","34,53","35,38","35,38","34,23","1,73M","-2,65%"
"16/09/2019","35,47","35,68","35,72","35,27","1,26M","-1,42%"
"13/09/2019","35,98","35,17","36,17","35,17","1,56M","2,42%"
"12/09/2019","35,13","35,41","35,69","34,83","1,92M","-0,40%"
"11/09/2019","35,27","35,50","35,86","35,23","1,42M","-0,20%"
"10/09/2019","35,34","34,00","35,37","34,00","2,62M","4,09%"
"09/09/2019","33,95","33,50","33,95","33,33","844,30K","1,37%"
"06/09/2019","33,49","33,47","33,73","33,35","1,00M","0,27%"
"05/09/2019","33,40","33,12","33,60","33,07","1,17M","1,71%"
"04/09/2019","32,84","32,73","33,02","32,65","950,59K","1,14%"
"03/09/2019","32,47","32,60","32,66","32,22","744,78K","-0,46%"
"02/09/2019","32,62","32,76","33,08","32,57","929,22K","-0,61%"
"30/08/2019","32,82","32,09","32,88","32,09","2,02M","2,76%"
"29/08/2019","31,94","31,25","32,09","31,25","1,25M","1,85%"
"28/08/2019","31,36","31,73","31,73","31,12","1,65M","-1,38%"
"27/08/2019","31,80","31,67","31,98","31,20","1,33M","0,38%"
"26/08/2019","31,68","31,59","31,98","31,35","791,64K","0,00%"
"23/08/2019","31,68","32,17","32,37","31,68","1,25M","-1,19%"
"22/08/2019","32,06","32,03","32,37","31,76","1,69M","-0,22%"
"21/08/2019","32,13","32,06","32,55","32,05","1,06M","0,34%"
"20/08/2019","32,02","32,34","32,40","31,86","1,19M","-0,99%"
"19/08/2019","32,34","32,12","32,50","32,03","1,22M","1,35%"
"16/08/2019","31,91","31,52","31,91","31,39","942,50K","1,53%"
"15/08/2019","31,43","32,02","32,14","31,05","1,84M","-1,50%"
"14/08/2019","31,91","32,98","33,00","31,75","1,96M","-2,95%"
"13/08/2019","32,88","32,65","33,38","32,23","1,87M","0,40%"
"12/08/2019","32,75","33,02","33,27","32,63","823,21K","-0,15%"
"09/08/2019","32,80","33,19","33,22","32,67","1,26M","-2,06%"
"08/08/2019","33,49","33,19","33,49","32,83","1,43M","2,45%"
"07/08/2019","32,69","32,78","33,22","32,45","1,33M","0,31%"
"06/08/2019","32,59","32,23","33,24","32,12","2,11M","1,02%"
"05/08/2019","32,26","33,00","33,04","32,02","2,60M","-3,06%"
"02/08/2019","33,28","34,00","34,05","32,97","2,50M","-4,59%"
"01/08/2019","34,88","34,75","35,15","34,62","1,01M","0,35%"
"31/07/2019","34,76","35,00","35,27","34,76","1,51M","-0,60%"
"30/07/2019","34,97","36,23","36,26","34,75","2,45M","-3,56%"
"29/07/2019","36,26","36,32","36,61","36,05","1,31M","-0,93%"
"26/07/2019","36,60","35,49","36,70","35,48","2,85M","3,74%"
"25/07/2019","35,28","35,49","35,66","34,87","2,01M","0,34%"
"24/07/2019","35,16","34,72","35,34","34,38","2,16M","1,53%"
"23/07/2019","34,63","34,27","34,84","34,27","1,52M","1,38%"
"22/07/2019","34,16","34,14","34,21","33,73","1,16M","0,06%"
"19/07/2019","34,14","34,39","34,58","34,01","869,42K","-0,03%"
"18/07/2019","34,15","34,35","34,43","33,97","1,43M","-0,64%"
"17/07/2019","34,37","34,66","34,98","34,23","1,11M","-0,87%"
"16/07/2019","34,67","33,95","34,77","33,90","1,61M","2,33%"
"15/07/2019","33,88","33,80","34,10","33,55","952,17K","0,56%"
"12/07/2019","33,69","33,30","33,92","33,23","1,15M","1,17%"
"11/07/2019","33,30","33,67","33,79","33,26","1,37M","-1,16%"
"10/07/2019","33,69","33,45","34,12","33,45","1,49M","0,93%"
"09/07/2019","33,38","33,80","33,88","33,20","1,68M","-1,74%"
"08/07/2019","33,97","33,98","34,22","33,85","869,23K","-0,23%"
"05/07/2019","34,05","34,54","34,54","33,88","1,09M","-1,45%"
"04/07/2019","34,55","34,56","34,77","34,53","654,30K","-0,03%"
"03/07/2019","34,56","34,30","34,62","33,97","1,43M","1,23%"
"02/07/2019","34,14","34,83","34,84","33,93","2,03M","-2,01%"
"01/07/2019","34,84","34,70","35,30","34,51","2,07M","1,66%"
"28/06/2019","34,27","33,90","34,27","33,88","1,29M","0,91%"
"27/06/2019","33,96","33,94","34,19","33,85","1,04M","0,18%"
"26/06/2019","33,90","33,76","34,09","33,67","1,39M","0,00%"
"25/06/2019","33,90","33,90","33,97","33,67","1,36M","-0,79%"
"24/06/2019","34,17","34,05","34,31","33,92","2,01M","0,44%"
"21/06/2019","34,02","34,45","34,91","34,02","4,09M","-1,02%"
"20/06/2019","34,37","34,83","34,95","34,37","1,51M","-0,64%"
"19/06/2019","34,59","34,36","34,88","34,25","1,86M","0,55%"
"18/06/2019","34,40","33,15","34,40","32,98","3,05M","3,68%"
"17/06/2019","33,18","33,35","33,41","33,12","992,84K","-0,27%"
"14/06/2019","33,27","33,62","33,62","33,20","1,21M","-1,48%"
"13/06/2019","33,77","33,12","33,77","32,97","1,48M","0,84%"
"12/06/2019","33,49","33,20","33,53","32,95","1,72M","0,03%"
"11/06/2019","33,48","32,66","33,65","32,58","2,29M","2,70%"
