"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","14,27","13,96","14,62","13,79","8,50M","3,24%"
"01/06/2020","13,82","13,71","13,96","13,54","4,23M","4,44%"
"29/05/2020","13,23","13,64","13,95","13,19","9,59M","-4,92%"
"28/05/2020","13,92","14,55","14,72","13,69","8,78M","-2,71%"
"27/05/2020","14,30","13,49","14,81","13,42","15,17M","6,56%"
"26/05/2020","13,42","12,75","13,49","12,70","9,61M","7,02%"
"25/05/2020","12,54","12,68","12,69","12,31","4,48M","0,84%"
"22/05/2020","12,44","12,15","12,98","12,10","7,38M","0,29%"
"21/05/2020","12,40","12,55","12,75","12,32","5,30M","-2,53%"
"20/05/2020","12,73","12,22","12,86","11,77","7,91M","2,99%"
"19/05/2020","12,36","13,17","13,24","11,99","10,88M","-4,76%"
"18/05/2020","12,97","12,10","13,08","12,04","8,30M","10,27%"
"15/05/2020","11,77","12,06","12,28","11,52","7,43M","-0,66%"
"14/05/2020","11,84","12,05","12,15","11,35","9,48M","-2,03%"
"13/05/2020","12,09","12,50","12,50","12,05","6,83M","-4,76%"
"12/05/2020","12,69","12,99","13,09","12,53","5,92M","-1,67%"
"11/05/2020","12,91","13,53","13,56","12,83","5,15M","-2,70%"
"08/05/2020","13,27","13,22","13,30","12,98","3,73M","1,55%"
"07/05/2020","13,07","12,93","13,09","12,85","5,39M","2,08%"
"06/05/2020","12,80","13,34","13,35","12,80","7,79M","-3,93%"
"05/05/2020","13,32","13,49","13,76","13,15","7,69M","1,32%"
"04/05/2020","13,15","13,70","13,75","13,15","9,07M","-7,78%"
"30/04/2020","14,26","15,12","15,25","14,11","11,37M","-8,62%"
"29/04/2020","15,61","14,80","15,61","14,70","7,02M","5,47%"
"28/04/2020","14,80","14,29","15,01","14,20","7,58M","4,20%"
"27/04/2020","14,20","14,16","14,20","13,70","4,01M","5,05%"
"24/04/2020","13,52","13,88","13,99","13,52","4,27M","-4,88%"
"23/04/2020","14,21","13,80","14,38","13,46","4,91M","5,18%"
"22/04/2020","13,51","13,30","13,54","13,17","3,60M","2,67%"
"21/04/2020","13,16","13,45","13,66","13,16","5,26M","-5,60%"
"20/04/2020","13,94","13,97","14,04","13,52","3,46M","0,00%"
"17/04/2020","13,94","14,33","14,48","13,59","6,49M","3,80%"
"16/04/2020","13,43","13,67","14,09","13,15","7,10M","-0,30%"
"15/04/2020","13,47","14,62","14,62","13,47","7,62M","-8,20%"
"14/04/2020","14,68","15,37","15,42","14,65","5,23M","-2,30%"
"09/04/2020","15,02","15,07","15,25","14,50","6,51M","2,99%"
"08/04/2020","14,59","14,49","14,59","13,95","4,50M","-0,08%"
"07/04/2020","14,60","14,50","15,19","14,26","8,83M","4,48%"
"06/04/2020","13,97","13,82","14,02","13,50","6,59M","9,16%"
"03/04/2020","12,80","13,94","13,98","12,80","15,73M","-8,15%"
"02/04/2020","13,94","14,00","14,08","13,21","8,41M","0,36%"
"01/04/2020","13,89","14,80","14,90","13,89","7,77M","-9,53%"
"31/03/2020","15,35","15,90","15,93","15,00","7,23M","-0,57%"
"30/03/2020","15,44","16,11","16,11","14,96","5,78M","-5,06%"
"27/03/2020","16,26","17,10","17,36","15,83","8,78M","-8,03%"
"26/03/2020","17,68","16,85","17,68","16,50","6,29M","2,17%"
"25/03/2020","17,30","16,21","17,92","15,95","10,26M","11,44%"
"24/03/2020","15,53","14,60","15,53","14,33","7,97M","12,65%"
"23/03/2020","13,78","13,70","14,71","13,57","8,17M","-6,03%"
"20/03/2020","14,67","14,42","15,01","14,13","18,45M","6,28%"
"19/03/2020","13,80","14,42","14,86","13,01","11,28M","-2,54%"
"18/03/2020","14,16","15,58","15,88","14,06","9,07M","-9,58%"
"17/03/2020","15,66","15,34","15,87","14,23","9,21M","7,85%"
"16/03/2020","14,52","16,29","16,29","14,22","13,20M","-15,34%"
"13/03/2020","17,15","16,35","18,47","15,65","17,11M","10,29%"
"12/03/2020","15,55","17,60","18,30","15,55","18,25M","-17,11%"
"11/03/2020","18,76","18,50","19,77","18,36","9,65M","3,36%"
"10/03/2020","18,15","18,13","19,49","17,68","18,07M","3,01%"
"09/03/2020","17,62","18,40","19,26","17,62","19,01M","-17,66%"
"06/03/2020","21,40","22,16","22,45","21,34","10,83M","-6,10%"
"05/03/2020","22,79","24,28","24,35","22,62","10,23M","-5,75%"
"04/03/2020","24,18","24,54","24,55","23,77","7,81M","-0,21%"
"03/03/2020","24,23","25,43","25,58","24,10","8,51M","-3,16%"
"02/03/2020","25,02","25,95","26,02","24,14","9,25M","-2,23%"
"28/02/2020","25,59","25,99","26,12","25,02","11,42M","-4,23%"
"27/02/2020","26,72","28,02","28,07","26,39","11,23M","-6,44%"
"26/02/2020","28,56","28,69","28,85","28,02","6,12M","-1,01%"
"25/02/2020","28,85","30,09","30,16","28,61","6,83M","-3,64%"
"24/02/2020","29,94","30,36","30,43","29,64","7,20M","-3,64%"
"21/02/2020","31,07","31,02","31,27","30,73","4,60M","-0,48%"
"20/02/2020","31,22","31,91","31,91","31,22","3,88M","-1,82%"
"19/02/2020","31,80","31,95","32,11","31,70","3,08M","0,06%"
"18/02/2020","31,78","31,91","32,10","31,77","2,93M","-0,47%"
"17/02/2020","31,93","31,85","32,05","31,77","2,27M","0,63%"
"14/02/2020","31,73","31,89","32,07","31,70","3,52M","0,22%"
"13/02/2020","31,66","31,30","31,71","31,25","3,78M","0,35%"
"12/02/2020","31,55","30,45","31,73","30,40","6,14M","3,78%"
"11/02/2020","30,40","30,35","30,63","30,20","3,11M","0,83%"
"10/02/2020","30,15","30,52","30,66","30,07","2,78M","-1,31%"
"07/02/2020","30,55","30,41","30,66","30,00","3,96M","-0,16%"
"06/02/2020","30,60","30,27","30,86","30,20","4,78M","1,02%"
"05/02/2020","30,29","29,60","30,39","29,56","4,42M","2,19%"
"04/02/2020","29,64","29,45","29,78","29,39","3,72M","1,19%"
"03/02/2020","29,29","29,29","29,53","29,11","2,72M","0,21%"
"31/01/2020","29,23","29,64","29,80","29,09","3,89M","-0,95%"
"30/01/2020","29,51","29,40","29,71","29,28","3,56M","-1,07%"
"29/01/2020","29,83","29,91","30,14","29,83","3,63M","0,03%"
"28/01/2020","29,82","29,74","30,09","29,25","3,78M","0,17%"
"27/01/2020","29,77","29,82","30,04","29,50","3,95M","-1,39%"
"24/01/2020","30,19","30,51","30,72","30,15","2,86M","0,03%"
"23/01/2020","30,18","30,26","30,60","29,82","3,70M","-0,46%"
"22/01/2020","30,32","30,45","30,61","30,09","3,06M","-0,36%"
"21/01/2020","30,43","30,32","30,64","30,18","2,50M","-0,52%"
"20/01/2020","30,59","30,55","30,74","30,37","1,78M","-0,20%"
"17/01/2020","30,65","30,74","31,01","30,50","3,91M","0,13%"
"16/01/2020","30,61","30,95","31,05","30,34","4,14M","-1,10%"
"15/01/2020","30,95","31,31","31,35","30,75","3,71M","-1,53%"
"14/01/2020","31,43","31,50","31,53","31,09","2,86M","0,00%"
"13/01/2020","31,43","31,50","31,61","31,19","3,01M","0,00%"
"10/01/2020","31,43","31,85","31,90","31,43","2,48M","-1,13%"
"09/01/2020","31,79","32,06","32,23","31,68","2,99M","0,06%"
"08/01/2020","31,77","31,20","31,79","31,10","2,94M","0,99%"
"07/01/2020","31,46","31,28","31,55","31,12","3,11M","1,22%"
"06/01/2020","31,08","30,91","31,12","30,50","3,41M","-0,83%"
"03/01/2020","31,34","31,40","31,40","31,10","2,99M","-1,01%"
"02/01/2020","31,66","31,32","31,82","31,29","3,27M","2,06%"
"31/12/2019","31,02","30,84","31,11","30,83","698,89K","0,13%"
"30/12/2019","30,98","31,03","31,21","30,98","1,84M","-0,32%"
"27/12/2019","31,08","31,11","31,30","30,88","2,18M","-0,32%"
"24/12/2019","31,18","31,00","31,20","30,91","540,46K","-0,03%"
"23/12/2019","31,19","31,47","31,48","31,02","2,27M","-0,67%"
"20/12/2019","31,40","31,06","31,40","31,01","9,51M","1,06%"
"19/12/2019","31,07","30,96","31,07","30,82","3,27M","0,52%"
"18/12/2019","30,91","30,73","31,17","30,65","4,38M","0,52%"
"17/12/2019","30,75","30,75","30,84","30,33","3,48M","-0,03%"
"16/12/2019","30,76","30,50","30,95","30,36","3,52M","1,52%"
"13/12/2019","30,30","31,02","31,55","30,27","7,02M","0,63%"
"12/12/2019","30,11","29,34","30,23","29,29","5,22M","2,94%"
"11/12/2019","29,25","29,14","29,41","29,06","1,93M","0,31%"
"10/12/2019","29,16","29,30","29,30","28,77","3,08M","-0,58%"
"09/12/2019","29,33","29,30","29,59","29,26","2,30M","-0,10%"
"06/12/2019","29,36","29,24","29,45","28,83","3,92M","0,93%"
"05/12/2019","29,09","28,90","29,30","28,80","3,43M","0,80%"
"04/12/2019","28,86","27,98","28,94","27,91","4,57M","3,07%"
"03/12/2019","28,00","28,63","28,64","27,76","3,87M","-1,48%"
"02/12/2019","28,42","28,72","29,14","28,31","4,44M","-0,49%"
"29/11/2019","28,56","28,39","28,80","28,35","3,52M","0,78%"
"28/11/2019","28,34","28,50","28,60","28,20","1,80M","-0,74%"
"27/11/2019","28,55","28,55","28,63","28,36","2,79M","0,25%"
"26/11/2019","28,48","28,64","28,70","28,27","6,70M","-0,45%"
"25/11/2019","28,61","28,82","29,05","28,60","2,70M","-0,10%"
"22/11/2019","28,64","28,30","28,84","28,26","3,78M","1,45%"
"21/11/2019","28,23","28,21","28,42","27,95","3,13M","-0,32%"
"20/11/2019","28,32","27,99","28,41","27,83","3,39M","-0,21%"
"19/11/2019","28,38","28,29","28,72","28,25","3,05M","0,39%"
"18/11/2019","28,27","28,50","28,77","27,95","3,19M","-0,74%"
"15/11/2019","28,48","28,40","28,58","28,17","3,40M","0,92%"
"14/11/2019","28,22","28,06","28,46","27,82","3,81M","0,21%"
"13/11/2019","28,16","28,51","28,58","27,97","4,80M","-2,09%"
"12/11/2019","28,76","28,94","29,05","28,60","3,67M","0,00%"
"11/11/2019","28,76","28,20","28,88","27,92","4,67M","1,30%"
"08/11/2019","28,39","28,46","28,70","28,16","4,95M","-1,01%"
"07/11/2019","28,68","27,92","28,68","27,86","7,24M","2,83%"
"06/11/2019","27,89","27,50","28,56","27,39","11,11M","3,41%"
"05/11/2019","26,97","26,80","27,06","26,50","4,40M","1,51%"
"04/11/2019","26,57","26,17","26,65","26,12","4,53M","2,75%"
"01/11/2019","25,86","25,41","25,96","25,32","3,10M","1,61%"
"31/10/2019","25,45","25,76","25,79","25,11","3,96M","-0,90%"
"30/10/2019","25,68","26,30","26,45","25,43","4,30M","-2,47%"
"29/10/2019","26,33","26,38","26,51","26,07","2,42M","-0,08%"
"28/10/2019","26,35","26,27","26,59","26,19","2,82M","0,57%"
"25/10/2019","26,20","26,20","26,31","25,73","2,90M","0,08%"
"24/10/2019","26,18","26,60","26,77","25,98","3,76M","-1,17%"
"23/10/2019","26,49","26,00","26,57","25,92","2,96M","0,15%"
"22/10/2019","26,45","26,50","26,69","26,21","3,52M","-0,38%"
"21/10/2019","26,55","26,09","26,91","26,04","4,64M","2,00%"
"18/10/2019","26,03","26,00","26,27","25,84","3,65M","0,00%"
"17/10/2019","26,03","25,82","26,62","25,74","5,14M","0,19%"
"16/10/2019","25,98","25,70","26,25","25,41","4,58M","0,89%"
"15/10/2019","25,75","25,47","25,97","25,11","4,67M","2,14%"
"14/10/2019","25,21","25,00","25,31","24,80","2,71M","-0,16%"
"11/10/2019","25,25","24,14","25,29","24,12","6,37M","5,25%"
"10/10/2019","23,99","23,18","23,99","23,18","4,65M","3,32%"
"09/10/2019","23,22","23,06","23,30","22,90","2,50M","0,48%"
"08/10/2019","23,11","23,59","23,61","22,86","3,69M","-1,74%"
"07/10/2019","23,52","23,16","23,56","23,04","2,64M","0,56%"
"04/10/2019","23,39","23,38","23,45","22,98","3,14M","0,26%"
"03/10/2019","23,33","23,62","23,69","23,00","4,09M","-1,27%"
"02/10/2019","23,63","24,48","24,61","23,63","5,10M","-4,06%"
"01/10/2019","24,63","25,05","25,33","24,55","3,67M","-2,03%"
"30/09/2019","25,14","24,95","25,39","24,95","4,13M","0,80%"
"27/09/2019","24,94","24,98","25,30","24,82","3,02M","0,04%"
"26/09/2019","24,93","24,80","25,00","24,54","4,04M","0,08%"
