"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","22,74","22,46","23,35","22,35","3,00M","1,74%"
"01/06/2020","22,35","22,44","22,51","22,01","2,02M","1,18%"
"29/05/2020","22,09","21,88","22,18","21,74","7,06M","-0,54%"
"28/05/2020","22,21","22,24","22,65","22,01","3,26M","2,07%"
"27/05/2020","21,76","22,92","22,96","21,52","3,79M","-5,06%"
"26/05/2020","22,92","22,51","23,46","22,50","3,80M","3,20%"
"25/05/2020","22,21","22,28","22,35","21,84","1,14M","1,18%"
"22/05/2020","21,95","21,54","22,18","21,40","2,28M","0,23%"
"21/05/2020","21,90","22,20","22,48","21,75","2,75M","-2,58%"
"20/05/2020","22,48","22,03","22,61","21,55","2,83M","1,26%"
"19/05/2020","22,20","22,66","22,70","21,37","4,70M","-0,09%"
"18/05/2020","22,22","22,21","22,40","21,87","2,31M","2,82%"
"15/05/2020","21,61","22,86","23,07","21,51","3,26M","-2,96%"
"14/05/2020","22,27","22,25","22,68","21,76","1,83M","-2,28%"
"13/05/2020","22,79","23,46","23,46","22,75","2,18M","-3,84%"
"12/05/2020","23,70","22,63","23,94","22,60","2,01M","3,90%"
"11/05/2020","22,81","23,46","23,65","22,81","2,26M","-2,44%"
"08/05/2020","23,38","23,56","23,64","23,27","1,21M","1,08%"
"07/05/2020","23,13","23,01","23,41","22,81","1,92M","1,00%"
"06/05/2020","22,90","22,70","23,20","22,55","1,73M","0,53%"
"05/05/2020","22,78","23,00","23,25","22,00","3,80M","1,70%"
"04/05/2020","22,40","22,51","23,09","21,80","3,56M","-5,53%"
"30/04/2020","23,71","25,20","25,41","23,71","3,16M","-5,05%"
"29/04/2020","24,97","24,30","24,97","24,15","2,85M","2,76%"
"28/04/2020","24,30","23,99","25,04","23,89","3,03M","1,59%"
"27/04/2020","23,92","23,63","23,92","23,20","2,11M","5,70%"
"24/04/2020","22,63","21,67","23,30","21,31","2,19M","1,21%"
"23/04/2020","22,36","21,54","22,50","21,42","2,72M","4,49%"
"22/04/2020","21,40","20,80","21,55","19,97","4,00M","8,63%"
"21/04/2020","19,70","20,81","21,02","19,66","3,53M","-6,37%"
"20/04/2020","21,04","21,46","21,64","20,52","2,26M","-1,54%"
"17/04/2020","21,37","21,36","21,74","21,11","3,67M","3,64%"
"16/04/2020","20,62","21,12","21,33","20,45","3,46M","1,08%"
"15/04/2020","20,40","21,83","22,11","20,40","4,36M","-7,69%"
"14/04/2020","22,10","22,25","22,41","21,71","3,68M","-0,45%"
"09/04/2020","22,20","21,66","22,43","21,63","4,26M","4,87%"
"08/04/2020","21,17","20,35","21,17","20,26","3,14M","3,02%"
"07/04/2020","20,55","20,56","21,21","20,11","4,68M","5,06%"
"06/04/2020","19,56","18,90","19,56","18,54","3,61M","9,06%"
"03/04/2020","17,93","18,40","18,80","17,93","2,99M","-3,00%"
"02/04/2020","18,49","19,00","19,18","18,32","3,67M","-2,53%"
"01/04/2020","18,97","19,20","19,52","18,83","3,46M","-4,55%"
"31/03/2020","19,88","19,96","19,98","19,15","4,44M","2,45%"
"30/03/2020","19,40","18,90","19,59","18,17","3,24M","4,95%"
"27/03/2020","18,49","18,88","19,55","18,43","3,46M","-4,32%"
"26/03/2020","19,32","18,56","19,32","18,30","4,41M","-0,69%"
"25/03/2020","19,45","19,09","19,81","18,44","4,33M","6,17%"
"24/03/2020","18,33","17,25","18,33","16,91","5,47M","13,93%"
"23/03/2020","16,08","14,93","16,62","14,74","6,22M","-1,68%"
"20/03/2020","16,36","15,70","17,52","15,52","6,21M","8,81%"
"19/03/2020","15,03","14,73","15,03","13,73","4,78M","7,78%"
"18/03/2020","13,95","15,75","16,16","13,95","6,75M","-13,89%"
"17/03/2020","16,20","17,16","17,55","15,73","6,02M","-1,52%"
"16/03/2020","16,45","16,34","17,02","14,59","12,79M","-9,07%"
"13/03/2020","18,09","18,14","20,16","17,70","9,14M","2,55%"
"12/03/2020","17,64","19,06","19,60","17,64","10,98M","-14,74%"
"11/03/2020","20,69","21,44","21,51","20,50","5,96M","-2,04%"
"10/03/2020","21,12","21,46","22,62","21,04","9,67M","0,43%"
"09/03/2020","21,03","21,25","21,67","20,66","11,19M","-9,70%"
"06/03/2020","23,29","23,68","23,94","23,05","5,95M","-4,63%"
"05/03/2020","24,42","25,10","25,20","24,03","3,44M","-1,21%"
"04/03/2020","24,72","25,09","25,27","24,46","3,95M","-0,88%"
"03/03/2020","24,94","25,09","25,65","24,44","5,87M","2,55%"
"02/03/2020","24,32","25,20","25,48","23,23","5,94M","-0,37%"
"28/02/2020","24,41","23,44","24,41","23,33","8,20M","-1,61%"
"27/02/2020","24,81","25,89","26,21","24,26","7,92M","-7,04%"
"26/02/2020","26,69","25,78","26,88","24,89","5,57M","2,34%"
"25/02/2020","26,08","26,72","26,86","25,79","5,82M","-0,87%"
"24/02/2020","26,31","26,65","27,08","25,77","8,78M","-7,03%"
"21/02/2020","28,30","28,73","29,29","28,05","4,08M","-1,43%"
"20/02/2020","28,71","29,10","29,41","28,71","3,67M","-1,44%"
"19/02/2020","29,13","28,21","29,13","28,16","3,03M","4,60%"
"18/02/2020","27,85","27,14","27,98","26,84","4,79M","-1,24%"
"17/02/2020","28,20","28,95","29,22","27,97","3,40M","-2,59%"
"14/02/2020","28,95","29,29","29,44","28,63","3,01M","-1,43%"
"13/02/2020","29,37","28,48","29,38","28,39","3,69M","2,91%"
"12/02/2020","28,54","28,36","28,63","28,06","3,16M","1,03%"
"11/02/2020","28,25","27,95","28,31","27,62","2,91M","2,47%"
"10/02/2020","27,57","27,10","27,57","26,80","2,64M","1,21%"
"07/02/2020","27,24","27,10","27,24","26,68","3,51M","0,15%"
"06/02/2020","27,20","27,67","27,85","26,98","3,56M","-0,62%"
"05/02/2020","27,37","26,76","27,61","26,56","5,44M","2,62%"
"04/02/2020","26,67","26,07","26,69","26,07","3,52M","3,57%"
"03/02/2020","25,75","25,29","25,83","25,06","3,35M","1,82%"
"31/01/2020","25,29","26,59","26,66","25,23","3,66M","-4,64%"
"30/01/2020","26,52","26,30","26,70","26,17","2,98M","-1,38%"
"29/01/2020","26,89","27,19","27,57","26,89","3,07M","-0,63%"
"28/01/2020","27,06","26,50","27,06","26,07","3,72M","3,52%"
"27/01/2020","26,14","26,82","27,26","26,07","4,87M","-5,77%"
"24/01/2020","27,74","27,50","27,86","27,25","3,91M","2,74%"
"23/01/2020","27,00","26,48","27,54","26,19","7,74M","6,47%"
"22/01/2020","25,36","25,21","25,36","25,09","2,81M","1,08%"
"21/01/2020","25,09","24,99","25,16","24,81","2,84M","-1,06%"
"20/01/2020","25,36","25,20","25,43","25,12","1,89M","0,79%"
"17/01/2020","25,16","25,00","25,18","24,92","3,04M","1,49%"
"16/01/2020","24,79","24,91","25,03","24,71","2,49M","0,69%"
"15/01/2020","24,62","25,15","25,24","24,44","3,78M","-1,79%"
"14/01/2020","25,07","25,01","25,18","24,79","2,39M","0,48%"
"13/01/2020","24,95","24,85","25,18","24,77","2,38M","0,89%"
"10/01/2020","24,73","25,30","25,34","24,72","2,19M","-1,87%"
"09/01/2020","25,20","24,94","25,49","24,86","2,59M","2,44%"
"08/01/2020","24,60","24,04","24,67","23,97","2,56M","-0,12%"
"07/01/2020","24,63","24,39","24,91","24,36","3,46M","2,50%"
"06/01/2020","24,03","24,15","24,25","23,41","3,07M","-2,24%"
"03/01/2020","24,58","24,61","24,72","24,30","2,06M","-0,85%"
"02/01/2020","24,79","24,20","24,94","24,13","1,99M","3,42%"
"31/12/2019","23,97","23,98","24,18","23,91","356,90K","-0,04%"
"30/12/2019","23,98","24,30","24,31","23,86","1,33M","-1,48%"
"27/12/2019","24,34","24,40","24,49","24,23","1,34M","0,25%"
"24/12/2019","24,28","24,28","24,40","24,18","418,09K","0,21%"
"23/12/2019","24,23","24,31","24,34","24,15","1,30M","-0,41%"
"20/12/2019","24,33","24,36","24,44","24,17","4,17M","1,04%"
