"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","71,24","69,82","71,96","69,04","418,27K","2,44%"
"01/06/2020","69,54","70,26","71,06","68,60","221,80K","1,10%"
"29/05/2020","68,78","70,50","70,68","68,66","697,11K","-3,13%"
"28/05/2020","71,00","69,90","71,62","69,48","512,30K","3,26%"
"27/05/2020","68,76","67,56","69,18","66,60","503,13K","1,84%"
"26/05/2020","67,52","66,60","68,02","66,16","402,36K","1,96%"
"25/05/2020","66,22","62,84","66,22","61,84","337,00K","6,81%"
"22/05/2020","62,00","63,26","63,50","61,48","371,97K","-2,55%"
"21/05/2020","63,62","62,80","64,70","61,58","325,82K","0,89%"
"20/05/2020","63,06","62,90","63,30","60,70","556,62K","-0,69%"
"19/05/2020","63,50","67,00","67,30","62,30","552,32K","-5,22%"
"18/05/2020","67,00","63,84","67,00","63,84","371,77K","5,51%"
"15/05/2020","63,50","62,28","63,50","61,60","271,93K","2,49%"
"14/05/2020","61,96","63,66","64,20","59,76","490,40K","-2,67%"
"13/05/2020","63,66","66,42","66,84","62,80","570,05K","-5,27%"
"12/05/2020","67,20","69,50","69,98","66,08","366,79K","-3,31%"
"11/05/2020","69,50","69,70","70,00","68,14","240,24K","-0,60%"
"08/05/2020","69,92","70,10","70,94","69,28","138,75K","-0,11%"
"07/05/2020","70,00","68,22","70,00","67,88","252,00K","2,73%"
"06/05/2020","68,14","66,08","69,42","66,08","280,99K","2,68%"
"05/05/2020","66,36","64,84","67,34","64,80","453,99K","2,72%"
"04/05/2020","64,60","67,96","68,36","64,60","385,19K","-6,57%"
"30/04/2020","69,14","72,50","73,98","68,06","426,52K","-4,69%"
"29/04/2020","72,54","71,00","72,78","69,96","250,07K","2,84%"
"28/04/2020","70,54","70,00","71,30","68,50","278,72K","0,77%"
"27/04/2020","70,00","70,00","70,00","68,06","190,45K","2,67%"
"24/04/2020","68,18","68,00","69,10","67,40","256,29K","-1,39%"
"23/04/2020","69,14","70,10","70,16","67,82","350,22K","-1,23%"
"22/04/2020","70,00","72,30","72,30","69,56","238,19K","-1,71%"
"21/04/2020","71,22","71,64","73,00","70,76","265,97K","-0,95%"
"20/04/2020","71,90","72,00","72,82","70,72","242,80K","-0,42%"
"17/04/2020","72,20","70,42","73,24","70,42","444,29K","5,13%"
"16/04/2020","68,68","68,70","69,44","67,66","296,64K","0,73%"
"15/04/2020","68,18","72,50","72,98","68,02","404,50K","-5,96%"
"14/04/2020","72,50","75,18","75,42","71,38","304,61K","-2,63%"
"09/04/2020","74,46","73,08","75,14","72,94","306,10K","2,45%"
"08/04/2020","72,68","73,62","74,70","70,86","565,19K","-2,07%"
"07/04/2020","74,22","75,24","77,92","73,02","396,58K","-0,56%"
"06/04/2020","74,64","73,82","74,84","72,52","287,39K","3,18%"
"03/04/2020","72,34","74,06","75,52","72,34","303,94K","-2,32%"
"02/04/2020","74,06","74,40","75,82","73,20","234,43K","0,90%"
"01/04/2020","73,40","74,98","77,52","72,88","533,23K","-3,90%"
"31/03/2020","76,38","73,50","76,94","73,50","494,99K","4,63%"
"30/03/2020","73,00","72,50","74,30","71,00","322,16K","0,69%"
"27/03/2020","72,50","73,74","76,16","69,82","459,34K","-2,00%"
"26/03/2020","73,98","67,08","73,98","65,40","567,84K","7,97%"
"25/03/2020","68,52","68,58","73,68","65,16","596,90K","2,61%"
"24/03/2020","66,78","66,28","67,80","62,72","433,42K","5,17%"
"23/03/2020","63,50","62,04","66,02","59,82","422,24K","-1,79%"
"20/03/2020","64,66","59,30","64,66","58,12","684,44K","11,06%"
"19/03/2020","58,22","55,48","58,26","52,50","456,71K","5,55%"
"18/03/2020","55,16","61,00","62,00","53,64","668,80K","-11,26%"
"17/03/2020","62,16","67,36","69,98","60,14","718,09K","-5,56%"
"16/03/2020","65,82","69,50","70,12","63,44","685,45K","-9,79%"
"13/03/2020","72,96","75,62","77,54","71,94","855,27K","-1,49%"
"12/03/2020","74,06","76,30","79,04","73,48","1,03M","-7,77%"
"11/03/2020","80,30","83,32","84,32","80,20","644,59K","-2,38%"
"10/03/2020","82,26","84,84","85,70","81,58","777,35K","-1,77%"
"09/03/2020","83,74","84,40","85,58","82,00","749,12K","-5,78%"
"06/03/2020","88,88","90,60","91,16","88,12","611,25K","-3,66%"
"05/03/2020","92,26","92,52","93,20","91,06","503,26K","0,13%"
"04/03/2020","92,14","91,66","94,36","91,50","482,14K","0,68%"
"03/03/2020","91,52","93,62","94,70","90,58","661,92K","-1,08%"
"02/03/2020","92,52","92,00","93,00","90,20","777,74K","1,89%"
"28/02/2020","90,80","92,00","93,14","90,12","846,19K","-3,69%"
"27/02/2020","94,28","95,74","96,78","92,70","642,23K","-2,48%"
"26/02/2020","96,68","91,20","97,36","91,16","1,27M","6,08%"
"25/02/2020","91,14","93,42","93,78","91,06","492,23K","-2,11%"
"24/02/2020","93,10","94,76","94,86","91,78","762,15K","-3,46%"
"21/02/2020","96,44","96,90","97,06","95,92","264,04K","-0,56%"
"20/02/2020","96,98","95,70","97,40","95,70","332,19K","1,42%"
"19/02/2020","95,62","95,42","95,98","94,88","280,95K","0,61%"
"18/02/2020","95,04","94,50","95,08","93,72","311,24K","-0,17%"
"17/02/2020","95,20","96,00","96,00","94,10","367,67K","-0,83%"
"14/02/2020","96,00","96,36","96,58","95,66","208,94K","-0,10%"
"13/02/2020","96,10","95,88","96,78","95,60","348,52K","0,15%"
"12/02/2020","95,96","95,16","96,46","95,08","418,53K","0,73%"
"11/02/2020","95,26","96,88","96,88","95,00","555,45K","-1,10%"
"10/02/2020","96,32","97,10","97,26","96,24","215,24K","-1,13%"
"07/02/2020","97,42","96,82","97,62","96,72","292,28K","0,43%"
"06/02/2020","97,00","98,08","98,58","96,66","486,82K","-0,94%"
"05/02/2020","97,92","98,44","99,42","97,92","424,35K","-0,26%"
"04/02/2020","98,18","99,40","99,64","98,18","356,21K","-1,13%"
"03/02/2020","99,30","99,18","99,48","98,64","212,49K","0,08%"
"31/01/2020","99,22","99,38","99,94","98,56","397,18K","0,30%"
"30/01/2020","98,92","98,50","99,14","98,26","250,66K","-0,28%"
"29/01/2020","99,20","98,12","99,32","97,70","258,30K","1,02%"
"28/01/2020","98,20","98,24","98,66","97,84","232,31K","0,10%"
"27/01/2020","98,10","97,84","98,58","97,10","395,50K","-0,61%"
"24/01/2020","98,70","98,20","99,08","98,20","282,26K","1,02%"
"23/01/2020","97,70","98,02","98,46","97,36","335,55K","-0,63%"
"22/01/2020","98,32","99,42","99,68","98,06","392,73K","-0,71%"
"21/01/2020","99,02","99,72","99,72","98,42","401,00K","-0,88%"
"20/01/2020","99,90","99,00","99,96","98,68","335,79K","1,13%"
"17/01/2020","98,78","97,64","99,08","97,46","414,89K","1,52%"
"16/01/2020","97,30","96,56","97,42","96,16","344,72K","1,02%"
"15/01/2020","96,32","96,50","97,10","96,12","457,43K","-0,15%"
"14/01/2020","96,46","97,20","97,28","96,24","262,93K","-0,33%"
"13/01/2020","96,78","95,92","96,78","95,82","337,85K","0,90%"
"10/01/2020","95,92","96,76","96,76","95,92","353,12K","-0,60%"
"09/01/2020","96,50","97,00","97,04","95,86","383,46K","0,33%"
"08/01/2020","96,18","94,86","96,32","94,44","406,56K","1,46%"
"07/01/2020","94,80","95,50","95,60","94,40","442,81K","-0,25%"
"06/01/2020","95,04","94,12","95,52","93,60","426,77K","0,98%"
"03/01/2020","94,12","92,70","94,48","92,42","279,59K","1,27%"
"02/01/2020","92,94","93,00","93,78","92,68","291,38K","0,45%"
"31/12/2019","92,52","92,52","92,76","91,92","104,02K","-0,22%"
"30/12/2019","92,72","92,94","93,32","92,40","224,20K","-0,30%"
"27/12/2019","93,00","93,92","93,92","92,70","244,91K","-0,90%"
"24/12/2019","93,84","93,60","93,84","93,12","72,98K","0,19%"
"23/12/2019","93,66","92,56","93,84","92,14","344,73K","0,73%"
"20/12/2019","92,98","91,80","92,98","90,54","788,73K","1,26%"
"19/12/2019","91,82","92,62","92,64","90,28","510,00K","-0,43%"
"18/12/2019","92,22","90,28","92,80","90,00","759,83K","2,54%"
"17/12/2019","89,94","89,74","90,82","88,60","612,67K","0,56%"
"16/12/2019","89,44","86,84","90,18","86,80","644,30K","3,69%"
"13/12/2019","86,26","87,34","87,90","86,26","436,78K","0,09%"
"12/12/2019","86,18","87,14","87,90","85,78","506,45K","-0,81%"
"11/12/2019","86,88","88,00","88,26","86,88","358,95K","-1,07%"
"10/12/2019","87,82","87,42","87,82","86,06","455,73K","0,43%"
"09/12/2019","87,44","88,12","88,48","87,26","263,27K","-0,59%"
"06/12/2019","87,96","88,32","88,32","87,32","276,70K","0,18%"
"05/12/2019","87,80","87,92","88,18","86,78","437,60K","0,00%"
"04/12/2019","87,80","86,30","88,14","86,30","445,70K","2,02%"
"03/12/2019","86,06","86,48","86,56","85,78","562,88K","-0,60%"
"02/12/2019","86,58","89,12","89,46","86,32","573,12K","-2,63%"
"29/11/2019","88,92","89,00","89,34","88,44","357,21K","-0,09%"
"28/11/2019","89,00","89,36","89,56","88,56","271,69K","-0,40%"
"27/11/2019","89,36","90,00","90,56","89,12","477,72K","-0,38%"
"26/11/2019","89,70","90,18","90,44","89,66","686,15K","-0,33%"
"25/11/2019","90,00","91,28","91,38","89,42","465,51K","-1,08%"
"22/11/2019","90,98","91,36","92,28","90,62","362,50K","-0,24%"
"21/11/2019","91,20","91,70","92,20","90,62","443,49K","-0,96%"
"20/11/2019","92,08","90,60","92,30","89,84","688,21K","1,48%"
"19/11/2019","90,74","90,20","91,14","89,76","466,99K","0,82%"
"18/11/2019","90,00","88,64","90,08","88,30","518,76K","1,17%"
"15/11/2019","88,96","88,90","89,26","87,66","568,27K","1,02%"
"14/11/2019","88,06","85,22","89,28","85,22","841,63K","3,50%"
"13/11/2019","85,08","86,12","86,50","84,96","577,59K","-1,16%"
"12/11/2019","86,08","86,82","87,54","86,08","388,06K","-0,58%"
"11/11/2019","86,58","86,84","87,32","86,36","312,03K","-0,14%"
"08/11/2019","86,70","87,44","88,06","86,70","289,91K","-0,85%"
"07/11/2019","87,44","86,96","87,70","86,08","630,06K","0,99%"
"06/11/2019","86,58","87,08","87,94","86,42","476,22K","-0,48%"
"05/11/2019","87,00","87,42","87,66","86,44","429,62K","-0,37%"
"04/11/2019","87,32","87,00","87,76","86,72","537,04K","0,69%"
"01/11/2019","86,72","87,80","87,82","86,72","441,18K","-1,05%"
"31/10/2019","87,64","88,32","88,82","87,64","431,44K","-0,43%"
"30/10/2019","88,02","87,00","88,02","86,74","448,27K","1,24%"
"29/10/2019","86,94","88,00","88,48","86,82","525,84K","-1,02%"
"28/10/2019","87,84","87,20","88,20","86,50","505,87K","0,92%"
"25/10/2019","87,04","86,88","87,10","86,20","435,24K","0,42%"
"24/10/2019","86,68","87,48","87,66","86,68","406,53K","-0,32%"
"23/10/2019","86,96","87,60","87,78","86,20","702,25K","-1,29%"
"22/10/2019","88,10","90,52","90,52","87,10","787,67K","-2,65%"
"21/10/2019","90,50","89,88","90,50","87,56","625,01K","0,58%"
"18/10/2019","89,98","90,80","92,04","88,20","1,64M","-5,44%"
"17/10/2019","95,16","96,50","96,82","94,66","472,75K","-1,27%"
"16/10/2019","96,38","96,62","97,14","96,06","385,16K","-0,02%"
