"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","223,90","222,40","226,50","219,40","129,20K","1,36%"
"01/06/2020","220,90","217,00","222,40","216,50","75,80K","3,66%"
"29/05/2020","213,10","223,10","225,90","213,10","416,82K","-5,08%"
"28/05/2020","224,50","219,40","226,60","217,10","178,24K","2,42%"
"27/05/2020","219,20","226,60","227,50","218,80","159,32K","-3,52%"
"26/05/2020","227,20","228,70","232,40","225,40","150,08K","0,35%"
"25/05/2020","226,40","227,20","227,20","223,00","59,85K","0,35%"
"22/05/2020","225,60","217,40","226,20","217,40","101,33K","2,13%"
"21/05/2020","220,90","218,40","223,00","214,60","80,89K","0,78%"
"20/05/2020","219,20","215,60","219,20","211,10","151,25K","1,53%"
"19/05/2020","215,90","224,20","225,20","214,60","135,49K","-3,57%"
"18/05/2020","223,90","217,40","227,50","217,10","117,11K","5,27%"
"15/05/2020","212,70","213,80","217,40","211,50","75,85K","0,57%"
"14/05/2020","211,50","212,20","215,20","209,30","87,26K","-0,80%"
"13/05/2020","213,20","216,40","217,30","210,90","103,87K","-2,65%"
"12/05/2020","219,00","218,80","220,90","214,00","123,30K","-0,23%"
"11/05/2020","219,50","227,00","227,00","218,30","85,30K","-2,49%"
"08/05/2020","225,10","226,00","230,40","224,20","48,74K","0,63%"
"07/05/2020","223,70","217,60","224,60","216,00","118,22K","3,04%"
"06/05/2020","217,10","207,90","218,40","206,70","111,32K","4,32%"
"05/05/2020","208,10","206,20","209,70","204,50","113,56K","3,53%"
"04/05/2020","201,00","199,80","208,80","198,35","143,66K","-1,71%"
"30/04/2020","204,50","207,20","207,80","200,60","140,79K","-1,45%"
"29/04/2020","207,50","208,20","210,40","197,10","228,75K","8,70%"
"28/04/2020","190,90","193,00","194,80","190,00","104,46K","0,05%"
"27/04/2020","190,80","192,75","195,00","186,75","109,67K","0,69%"
"24/04/2020","189,50","198,10","198,30","189,00","118,15K","-4,34%"
"23/04/2020","198,10","192,70","198,35","188,15","147,40K","5,09%"
"22/04/2020","188,50","193,70","196,40","188,50","128,81K","-0,55%"
"21/04/2020","189,55","192,00","197,10","188,95","79,24K","-2,65%"
"20/04/2020","194,70","199,10","199,60","193,70","77,14K","-1,39%"
"17/04/2020","197,45","194,40","199,20","192,80","137,45K","4,42%"
"16/04/2020","189,10","195,00","196,65","185,20","180,42K","-2,53%"
"15/04/2020","194,00","203,10","205,00","192,10","150,15K","-4,43%"
"14/04/2020","203,00","205,00","214,80","202,20","120,18K","-0,34%"
"09/04/2020","203,70","194,55","204,20","194,55","128,32K","5,33%"
"08/04/2020","193,40","187,65","193,40","182,20","91,86K","5,42%"
"07/04/2020","183,45","183,95","188,40","179,75","151,36K","1,94%"
"06/04/2020","179,95","174,65","179,95","169,10","161,39K","5,23%"
"03/04/2020","171,00","178,75","178,75","169,00","127,50K","-3,39%"
"02/04/2020","177,00","184,10","185,00","177,00","140,83K","-3,38%"
"01/04/2020","183,20","185,00","187,50","177,60","185,96K","-3,48%"
"31/03/2020","189,80","181,40","196,80","179,10","264,92K","5,56%"
"30/03/2020","179,80","178,00","179,80","173,90","145,40K","0,73%"
"27/03/2020","178,50","165,40","178,50","163,60","263,50K","5,00%"
"26/03/2020","170,00","156,40","170,00","154,50","326,97K","6,85%"
"25/03/2020","159,10","176,10","178,50","154,00","472,28K","-9,45%"
"24/03/2020","175,70","160,70","175,90","154,10","268,97K","13,14%"
"23/03/2020","155,30","170,70","177,00","154,40","207,86K","-11,71%"
"20/03/2020","175,90","179,00","186,00","172,50","347,59K","0,92%"
"19/03/2020","174,30","164,10","174,30","154,20","264,93K","6,35%"
"18/03/2020","163,90","156,00","167,10","150,30","252,41K","3,02%"
"17/03/2020","159,10","163,10","172,40","154,10","384,63K","-1,30%"
"16/03/2020","161,20","165,00","167,70","156,80","468,09K","-7,57%"
"13/03/2020","174,40","177,60","185,10","170,80","442,41K","-0,23%"
"12/03/2020","174,80","193,30","193,90","174,40","424,50K","-13,38%"
"11/03/2020","201,80","210,20","212,40","201,00","346,50K","-3,07%"
"10/03/2020","208,20","209,00","216,40","206,80","326,40K","0,00%"
"09/03/2020","208,20","214,60","216,20","208,20","363,71K","-7,55%"
"06/03/2020","225,20","230,40","230,40","222,20","181,29K","-3,51%"
"05/03/2020","233,40","236,00","238,20","230,80","187,56K","-1,19%"
"04/03/2020","236,20","234,00","238,00","233,60","239,20K","1,55%"
"03/03/2020","232,60","230,80","235,80","229,20","189,17K","2,29%"
"02/03/2020","227,40","217,80","227,80","216,60","378,50K","3,46%"
"28/02/2020","219,80","224,00","224,80","216,20","337,34K","-3,93%"
"27/02/2020","228,80","232,20","233,60","226,00","225,50K","-2,31%"
"26/02/2020","234,20","231,00","235,80","224,60","237,87K","0,86%"
"25/02/2020","232,20","236,40","238,80","231,20","255,25K","-1,61%"
"24/02/2020","236,00","237,80","238,60","230,40","301,09K","-1,67%"
"21/02/2020","240,00","230,00","243,60","226,40","322,77K","-0,41%"
"20/02/2020","241,00","245,00","246,20","241,00","129,89K","-1,31%"
"19/02/2020","244,20","245,00","246,80","242,00","168,47K","0,00%"
"18/02/2020","244,20","243,40","246,20","242,60","140,07K","-0,16%"
"17/02/2020","244,60","242,00","244,80","241,40","93,16K","1,24%"
"14/02/2020","241,60","241,40","242,60","240,20","87,07K","0,25%"
"13/02/2020","241,00","237,20","241,40","236,80","123,72K","1,60%"
"12/02/2020","237,20","239,40","240,40","236,40","131,18K","-1,00%"
"11/02/2020","239,60","236,20","240,40","235,60","119,68K","1,61%"
"10/02/2020","235,80","237,00","237,00","234,60","83,53K","-0,76%"
"07/02/2020","237,60","237,00","238,20","235,20","102,36K","-0,17%"
"06/02/2020","238,00","236,00","238,20","233,60","142,72K","1,36%"
"05/02/2020","234,80","232,60","237,80","232,40","134,66K","0,86%"
"04/02/2020","232,80","232,80","233,60","231,00","158,73K","0,17%"
"03/02/2020","232,40","229,40","233,60","228,40","165,84K","2,47%"
"31/01/2020","226,80","233,20","234,20","226,40","182,67K","-2,58%"
"30/01/2020","232,80","230,60","233,00","229,60","159,14K","0,34%"
"29/01/2020","232,00","230,40","233,20","229,60","125,65K","0,87%"
"28/01/2020","230,00","230,80","232,00","226,40","135,64K","-0,17%"
"27/01/2020","230,40","231,00","231,20","227,80","184,32K","-0,69%"
"24/01/2020","232,00","229,20","232,40","228,80","117,23K","1,75%"
"23/01/2020","228,00","230,80","230,80","227,20","121,12K","-1,47%"
"22/01/2020","231,40","228,00","231,60","227,40","136,25K","2,03%"
"21/01/2020","226,80","227,80","227,80","225,80","88,12K","-0,61%"
"20/01/2020","228,20","227,00","228,20","226,00","64,05K","0,62%"
"17/01/2020","226,80","227,00","229,60","226,00","118,82K","0,35%"
"16/01/2020","226,00","225,20","226,00","224,00","124,83K","0,62%"
"15/01/2020","224,60","221,60","224,80","220,80","168,25K","1,63%"
"14/01/2020","221,00","222,80","223,40","220,80","175,54K","-0,63%"
"13/01/2020","222,40","222,40","223,20","220,80","100,77K","0,27%"
"10/01/2020","221,80","224,80","225,00","220,80","149,83K","-1,25%"
"09/01/2020","224,60","224,00","225,80","221,80","167,90K","0,99%"
"08/01/2020","222,40","218,60","224,20","218,20","184,44K","1,74%"
"07/01/2020","218,60","217,80","220,00","217,60","112,22K","0,28%"
