"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","20,78","20,05","20,81","19,99","2,34M","4,50%"
"01/06/2020","19,89","19,90","20,18","19,74","1,28M","1,02%"
"29/05/2020","19,68","20,00","20,07","19,58","2,40M","-1,58%"
"28/05/2020","20,00","19,80","20,07","19,60","2,61M","1,83%"
"27/05/2020","19,64","19,29","19,91","19,09","3,12M","2,19%"
"26/05/2020","19,22","18,65","19,30","18,58","2,87M","4,37%"
"25/05/2020","18,42","18,33","18,51","18,00","1,43M","1,63%"
"22/05/2020","18,12","17,97","18,25","17,83","1,70M","-0,49%"
"21/05/2020","18,21","18,16","18,37","18,04","965,76K","-0,27%"
"20/05/2020","18,26","18,27","18,34","17,86","2,02M","0,00%"
"19/05/2020","18,26","19,17","19,17","18,20","2,46M","-4,37%"
"18/05/2020","19,10","18,50","19,10","18,48","1,49M","5,00%"
"15/05/2020","18,19","18,50","18,74","18,14","1,85M","0,41%"
"14/05/2020","18,11","18,15","18,29","17,82","1,98M","-0,79%"
"13/05/2020","18,26","18,89","18,93","18,26","1,57M","-3,72%"
"12/05/2020","18,97","18,80","19,03","18,60","1,67M","-1,30%"
"11/05/2020","19,22","20,10","20,10","19,11","1,37M","-2,14%"
"08/05/2020","19,64","19,24","19,69","19,13","953,10K","2,61%"
"07/05/2020","19,14","19,00","19,33","18,89","945,27K","0,82%"
"06/05/2020","18,98","19,46","19,47","18,91","1,53M","-2,49%"
"05/05/2020","19,47","18,91","19,52","18,70","1,87M","4,68%"
"04/05/2020","18,59","19,16","19,26","18,59","1,88M","-4,57%"
"30/04/2020","19,49","20,18","20,23","19,33","2,61M","-3,30%"
"29/04/2020","20,15","19,25","20,15","19,11","1,58M","4,22%"
"28/04/2020","19,33","19,63","19,69","19,07","1,48M","-1,23%"
"27/04/2020","19,58","19,15","19,58","18,76","1,52M","4,65%"
"24/04/2020","18,70","18,38","18,95","18,22","1,50M","-0,19%"
"23/04/2020","18,74","18,01","18,90","17,75","2,14M","4,23%"
"22/04/2020","17,98","17,97","18,10","17,50","2,27M","2,36%"
"21/04/2020","17,57","18,72","18,86","17,57","3,63M","-6,82%"
"20/04/2020","18,85","20,00","20,09","18,85","2,11M","-5,18%"
"17/04/2020","19,88","19,74","20,64","19,60","3,88M","4,25%"
"16/04/2020","19,07","19,00","19,58","18,97","2,10M","0,98%"
"15/04/2020","18,89","19,01","19,47","18,84","2,65M","-0,61%"
"14/04/2020","19,00","19,48","19,58","18,45","1,93M","-1,20%"
"09/04/2020","19,23","19,24","19,27","18,18","2,04M","3,03%"
"08/04/2020","18,67","18,63","18,79","18,17","1,56M","-0,56%"
"07/04/2020","18,77","18,91","19,40","18,33","1,84M","3,22%"
"06/04/2020","18,18","18,10","18,67","18,03","2,17M","2,65%"
"03/04/2020","17,72","18,56","18,60","17,52","2,28M","-4,71%"
"02/04/2020","18,59","18,35","19,05","17,67","2,90M","1,64%"
"01/04/2020","18,29","19,04","19,69","18,29","2,68M","-6,08%"
"31/03/2020","19,48","20,34","20,69","19,06","2,68M","-1,27%"
"30/03/2020","19,73","19,10","19,84","18,31","1,78M","4,23%"
"27/03/2020","18,92","18,85","19,13","18,28","2,58M","-2,02%"
"26/03/2020","19,32","18,00","19,32","17,82","2,74M","5,84%"
"25/03/2020","18,25","19,27","19,67","17,39","3,19M","-0,49%"
"24/03/2020","18,34","17,61","18,34","17,18","3,08M","8,07%"
"23/03/2020","16,97","17,91","17,92","16,56","3,05M","-6,91%"
"20/03/2020","18,23","19,35","19,50","17,92","4,87M","0,72%"
"19/03/2020","18,10","17,60","18,65","16,57","3,77M","4,50%"
"18/03/2020","17,32","17,48","17,62","16,26","3,10M","1,46%"
"17/03/2020","17,07","18,25","18,62","16,11","4,85M","-2,74%"
"16/03/2020","17,55","17,36","17,82","16,02","6,67M","-3,94%"
"13/03/2020","18,27","19,59","20,73","17,73","8,42M","-3,84%"
"12/03/2020","19,00","21,45","21,85","18,97","9,15M","-16,08%"
