"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","21,70","20,85","21,80","20,83","3,67M","4,53%"
"01/06/2020","20,76","20,63","20,81","20,50","2,05M","1,62%"
"29/05/2020","20,43","20,59","20,69","20,41","3,52M","-0,78%"
"28/05/2020","20,59","20,30","20,65","20,19","4,15M","2,03%"
"27/05/2020","20,18","19,86","20,19","19,86","3,45M","1,10%"
"26/05/2020","19,96","20,02","20,10","19,71","3,58M","0,05%"
"25/05/2020","19,95","19,59","19,99","19,59","2,58M","1,68%"
"22/05/2020","19,62","18,98","19,62","18,88","3,83M","2,56%"
"21/05/2020","19,13","19,41","19,43","19,11","2,99M","-2,10%"
"20/05/2020","19,54","19,33","19,55","19,25","3,18M","-0,18%"
"19/05/2020","19,58","19,58","19,79","19,50","3,20M","0,41%"
"18/05/2020","19,50","19,34","19,55","19,33","3,29M","1,30%"
"15/05/2020","19,25","19,06","19,33","19,06","3,70M","1,45%"
"14/05/2020","18,97","19,05","19,27","18,81","3,94M","-1,86%"
"13/05/2020","19,33","19,67","19,81","19,33","2,65M","-3,74%"
"12/05/2020","20,08","19,92","20,13","19,83","2,59M","0,15%"
"11/05/2020","20,05","19,82","20,05","19,59","2,33M","0,45%"
"08/05/2020","19,96","19,45","20,04","19,45","1,75M","2,36%"
"07/05/2020","19,50","19,20","19,58","19,20","2,35M","0,26%"
"06/05/2020","19,45","19,42","19,59","19,34","2,27M","-0,66%"
"05/05/2020","19,58","19,20","19,83","19,12","2,45M","0,46%"
"04/05/2020","19,49","19,21","19,73","19,08","3,14M","-1,09%"
"30/04/2020","19,70","19,87","20,52","19,56","3,43M","-1,77%"
"29/04/2020","20,06","19,51","20,06","19,45","2,85M","2,27%"
"28/04/2020","19,61","19,95","20,13","19,43","2,61M","-1,61%"
"27/04/2020","19,93","20,18","20,23","19,61","2,23M","1,45%"
"24/04/2020","19,65","20,05","20,31","19,53","3,73M","-2,53%"
"23/04/2020","20,16","20,24","20,37","19,99","2,44M","-0,79%"
"22/04/2020","20,32","20,61","20,61","20,05","2,68M","-0,64%"
"21/04/2020","20,45","20,60","21,00","20,17","3,19M","-4,71%"
"20/04/2020","21,46","21,57","21,89","21,09","3,91M","4,02%"
"17/04/2020","20,63","19,81","20,64","19,73","4,88M","5,36%"
"16/04/2020","19,58","20,75","20,86","19,48","4,87M","-4,95%"
"15/04/2020","20,60","20,90","21,28","20,60","3,01M","-2,51%"
"14/04/2020","21,13","21,29","21,37","20,57","3,30M","0,14%"
"09/04/2020","21,10","21,20","21,32","20,65","2,86M","-0,28%"
"08/04/2020","21,16","20,57","21,16","20,50","3,08M","1,34%"
"07/04/2020","20,88","20,71","20,96","20,42","3,73M","4,09%"
"06/04/2020","20,06","19,91","20,26","19,55","3,16M","3,40%"
"03/04/2020","19,40","20,00","20,05","19,33","3,20M","-2,09%"
"02/04/2020","19,82","19,93","20,07","18,89","4,10M","-0,58%"
"01/04/2020","19,93","19,15","20,34","19,07","7,06M","2,07%"
"31/03/2020","19,52","18,66","20,45","18,37","6,50M","7,40%"
"30/03/2020","18,18","18,25","18,33","17,42","4,10M","0,00%"
"27/03/2020","18,18","18,89","19,17","18,13","5,07M","-5,66%"
"26/03/2020","19,27","18,23","19,27","17,97","5,60M","2,88%"
"25/03/2020","18,73","18,99","19,23","18,06","5,22M","-0,58%"
"24/03/2020","18,84","18,80","18,98","17,75","5,92M","3,63%"
"23/03/2020","18,18","18,63","19,64","18,18","5,77M","-6,12%"
"20/03/2020","19,36","20,05","21,22","19,08","8,00M","-0,77%"
"19/03/2020","19,51","18,20","19,94","18,20","6,07M","3,97%"
"18/03/2020","18,77","17,96","18,77","17,16","5,96M","2,46%"
"17/03/2020","18,32","18,30","18,52","16,60","7,60M","4,27%"
"16/03/2020","17,57","18,09","18,32","17,00","12,88M","-7,23%"
