"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"10/12/2020","73,80","73,26","74,08","73,04","401,28K","0,79%"
"09/12/2020","73,22","74,84","75,06","73,12","701,62K","-1,85%"
"08/12/2020","74,60","75,10","76,82","74,56","669,48K","-0,29%"
"07/12/2020","74,82","74,40","74,82","73,56","733,90K","0,70%"
"04/12/2020","74,30","74,98","75,12","73,70","637,11K","-0,72%"
"03/12/2020","74,84","75,50","76,52","74,28","817,68K","-0,37%"
"02/12/2020","75,12","76,50","77,40","74,90","653,59K","-2,11%"
"01/12/2020","76,74","78,30","78,30","75,86","952,19K","-0,98%"
"30/11/2020","77,50","78,26","78,42","77,50","1,01M","-0,97%"
"27/11/2020","78,26","76,70","78,26","76,44","652,22K","2,11%"
"26/11/2020","76,64","76,90","77,84","76,44","392,02K","0,24%"
"25/11/2020","76,46","75,72","76,52","75,00","547,47K","1,38%"
"24/11/2020","75,42","75,46","76,20","74,36","653,98K","0,88%"
"23/11/2020","74,76","75,66","76,84","74,76","676,57K","-0,61%"
"20/11/2020","75,22","73,66","75,22","73,10","677,23K","2,12%"
"19/11/2020","73,66","72,72","73,66","72,60","688,12K","0,44%"
"18/11/2020","73,34","73,08","74,70","72,44","766,89K","0,80%"
"17/11/2020","72,76","73,14","73,60","72,42","546,30K","-0,44%"
"16/11/2020","73,08","75,00","75,00","72,82","734,10K","-1,46%"
"13/11/2020","74,16","72,94","74,60","72,66","571,12K","1,37%"
"12/11/2020","73,16","73,44","73,66","72,08","883,89K","-0,97%"
"11/11/2020","73,88","73,50","74,50","73,02","837,48K","0,44%"
"10/11/2020","73,56","76,60","76,98","73,56","1,33M","-4,19%"
"09/11/2020","76,78","72,20","77,44","72,02","1,81M","8,45%"
"06/11/2020","70,80","68,16","71,74","67,66","1,21M","3,18%"
"05/11/2020","68,62","67,52","68,88","66,78","1,03M","3,34%"
"04/11/2020","66,40","64,06","66,84","63,94","1,10M","3,07%"
"03/11/2020","64,42","63,98","64,54","63,76","1,01M","1,04%"
"02/11/2020","63,76","63,80","64,14","63,32","1,34M","0,19%"
"30/10/2020","63,64","64,50","65,38","63,24","1,11M","-2,36%"
"29/10/2020","65,18","61,90","65,46","61,64","1,70M","4,89%"
"28/10/2020","62,14","62,68","63,80","62,02","2,12M","-1,71%"
"27/10/2020","63,22","66,38","66,98","63,22","1,60M","-4,47%"
"26/10/2020","66,18","68,96","69,16","65,82","1,13M","-5,29%"
"23/10/2020","69,88","68,98","70,50","68,56","2,79M","0,75%"
"22/10/2020","69,36","70,00","70,54","68,94","1,17M","-0,94%"
"21/10/2020","70,02","71,52","72,00","70,02","829,59K","-1,74%"
"20/10/2020","71,26","71,44","72,26","70,28","509,60K","-0,17%"
"19/10/2020","71,38","72,38","73,70","71,34","213,59K","-0,75%"
"16/10/2020","71,92","71,06","72,78","70,68","555,07K","1,81%"
"15/10/2020","70,64","70,98","71,62","70,10","680,19K","-1,15%"
"14/10/2020","71,46","73,40","73,60","71,40","1,01M","-2,35%"
"13/10/2020","73,18","72,02","73,42","71,20","911,70K","2,72%"
"12/10/2020","71,24","70,66","71,62","70,50","715,41K","1,05%"
"09/10/2020","70,50","71,22","71,52","70,40","597,64K","-0,70%"
